Press or Release,Key,Time
P,Key.shift,1735660005508
P,T,1735660006067
R,Key.shift,1735660006195
R,T,1735660006275
P,h,1735660006450
R,h,1735660006594
P,e,1735660006610
P,Key.space,1735660006739
R,e,1735660006771
R,Key.space,1735660006866
P,b,1735660009266
R,b,1735660009410
P,o,1735660009554
P,y,1735660009779
R,o,1735660009826
R,y,1735660009906
P,Key.space,1735660010067
R,Key.space,1735660010178
P,s,1735660012019
R,s,1735660012195
P,p,1735660012531
R,p,1735660012642
P,e,1735660012754
R,e,1735660012851
P,e,1735660012946
R,e,1735660013027
P,c,1735660013203
R,c,1735660013299
P,h,1735660013363
R,h,1735660013475
P,Key.space,1735660013571
R,Key.space,1735660013666
P,i,1735660013682
R,i,1735660013810
P,s,1735660013811
P,Key.space,1735660013939
R,s,1735660013954
R,Key.space,1735660014035
P,v,1735660014036
R,v,1735660014146
P,e,1735660014242
P,r,1735660014371
R,e,1735660014419
R,r,1735660014499
P,y,1735660014499
R,y,1735660014611
P,Key.space,1735660014675
P,m,1735660014931
R,Key.space,1735660014946
R,m,1735660015043
P,o,1735660015123
R,o,1735660015251
P,t,1735660015251
P,i,1735660015363
R,t,1735660015381
R,i,1735660015490
P,v,1735660015540
R,v,1735660015667
P,a,1735660015715
R,a,1735660015906
P,Key.backspace,1735660016450
R,Key.backspace,1735660016546
P,Key.backspace,1735660016611
R,Key.backspace,1735660017058
P,Key.backspace,1735660017139
R,Key.backspace,1735660017234
P,Key.backspace,1735660017331
R,Key.backspace,1735660017378
P,Key.backspace,1735660017507
R,Key.backspace,1735660017539
P,Key.backspace,1735660017682
R,Key.backspace,1735660017746
P,Key.backspace,1735660017893
R,Key.backspace,1735660017938
P,Key.backspace,1735660018051
R,Key.backspace,1735660018131
P,Key.backspace,1735660018259
R,Key.backspace,1735660018323
P,Key.backspace,1735660018434
R,Key.backspace,1735660018498
P,Key.backspace,1735660018611
R,Key.backspace,1735660018707
P,a,1735660019587
R,a,1735660019747
P,b,1735660019747
R,b,1735660019874
P,o,1735660019986
P,u,1735660020146
R,o,1735660020162
R,u,1735660020258
P,t,1735660020322
P,Key.space,1735660020434
R,t,1735660020450
R,Key.space,1735660020514
P,f,1735660020642
R,f,1735660020788
P,e,1735660020883
R,e,1735660020979
P,a,1735660021059
P,r,1735660021186
R,a,1735660021251
P,Key.space,1735660021282
R,r,1735660021330
R,Key.space,1735660021394
P,i,1735660021603
R,i,1735660021795
P,s,1735660021827
P,Key.space,1735660021955
R,s,1735660021987
