Press or Release,Key,Time
P,Key.alt,1735660049714
R,Key.alt,1735660049874
P,Key.alt,1735660054380
R,Key.alt,1735660054395
P,Key.shift,1735660055093
P,T,1735660055213
R,T,1735660055276
R,Key.shift,1735660055342
P,h,1735660055405
R,h,1735660055514
P,e,1735660055563
P,Key.space,1735660055652
R,e,1735660055674
R,Key.space,1735660055755
P,v,1735660056290
R,v,1735660056364
P,i,1735660056399
R,i,1735660056459
P,d,1735660056563
P,e,1735660056692
R,d,1735660056740
P,o,1735660056794
R,e,1735660056810
R,o,1735660056899
P,Key.space,1735660057011
R,Key.space,1735660057140
P,c,1735660057348
R,c,1735660057444
P,a,1735660057605
P,p,1735660057708
R,a,1735660057731
R,p,1735660057812
P,t,1735660057986
R,t,1735660058078
P,u,1735660058119
R,u,1735660058196
P,r,1735660058292
R,r,1735660058370
P,e,1735660058522
R,e,1735660058602
P,Key.space,1735660059229
R,Key.space,1735660059333
P,Key.alt,1735660059482
R,Key.alt,1735660059602
P,Key.alt,1735660060349
R,Key.alt,1735660060363
P,a,1735660060667
R,a,1735660060781
P,Key.space,1735660060821
R,Key.space,1735660060947
P,p,1735660061375
R,p,1735660061431
P,o,1735660061545
R,o,1735660061622
P,w,1735660061671
R,w,1735660061751
P,e,1735660061904
R,e,1735660061974
P,r,1735660062112
R,r,1735660062183
P,f,1735660062327
P,u,1735660062416
R,f,1735660062422
R,u,1735660062487
P,l,1735660062654
R,l,1735660062764
P,Key.space,1735660062885
R,Key.space,1735660062974
P,Key.alt,1735660063110
R,Key.alt,1735660063246
P,Key.alt,1735660064099
R,Key.alt,1735660064121
P,t,1735660064606
R,t,1735660064703
P,u,1735660065167
R,u,1735660065246
P,r,1735660065335
R,r,1735660065431
P,i,1735660065503
R,i,1735660065584
P,i,1735660066049
R,i,1735660066129
P,Key.backspace,1735660066688
R,Key.backspace,1735660066769
P,Key.backspace,1735660066866
R,Key.backspace,1735660066912
P,n,1735660067176
P,i,1735660067320
R,n,1735660067342
R,i,1735660067439
P,n,1735660067529
R,n,1735660067641
P,g,1735660067833
R,g,1735660067942
P,Key.space,1735660068017
R,Key.space,1735660068168
P,Key.alt,1735660068424
R,Key.alt,1735660068544
P,Key.alt,1735660069211
R,Key.alt,1735660069226
P,p,1735660069624
R,p,1735660069712
P,o,1735660069840
R,o,1735660069913
P,i,1735660070002
R,i,1735660070075
P,n,1735660070223
R,n,1735660070339
P,t,1735660070403
R,t,1735660070489
P,Key.space,1735660070536
R,Key.space,1735660070626
P,Key.alt,1735660070912
R,Key.alt,1735660071044
P,Key.alt,1735660072004
R,Key.alt,1735660072008
P,w,1735660072526
R,w,1735660072624
