Press or Release,Key,Time
P,i,1735660018303
R,i,1735660018388
P,Key.backspace,1735660018411
R,Key.backspace,1735660018414
P,Key.shift,1735660018420
P,O,1735660018420
R,O,1735660018423
R,Key.shift,1735660018423
P,b,1735660018562
R,b,1735660018564
P,s,1735660018700
R,s,1735660018702
P,e,1735660018859
R,e,1735660018860
P,r,1735660018978
R,r,1735660018980
P,v,1735660019117
R,v,1735660019119
P,i,1735660019260
R,i,1735660019262
P,n,1735660019399
R,n,1735660019401
P,g,1735660019544
R,g,1735660019546
P,Key.space,1735660019681
R,Key.space,1735660019683
P,t,1735660019825
R,t,1735660019827
P,h,1735660019965
R,h,1735660019968
P,e,1735660020116
R,e,1735660020118
P,Key.space,1735660020246
R,Key.space,1735660020248
P,d,1735660020386
R,d,1735660020388
P,i,1735660020527
R,i,1735660020529
P,a,1735660020685
R,a,1735660020687
P,l,1735660020822
R,l,1735660020824
P,o,1735660020951
R,o,1735660020953
P,g,1735660021103
R,g,1735660021105
P,u,1735660021248
R,u,1735660021250
P,e,1735660021373
R,e,1735660021375
P,Key.space,1735660021531
R,Key.space,1735660021533
P,a,1735660021650
R,a,1735660021652
P,m,1735660021792
R,m,1735660021794
P,o,1735660021931
R,o,1735660021934
P,n,1735660022090
R,n,1735660022092
P,g,1735660022213
R,g,1735660022215
P,Key.space,1735660022363
R,Key.space,1735660022366
P,Key.shift,1735660022518
P,T,1735660022518
R,T,1735660022520
R,Key.shift,1735660022520
P,r,1735660022636
R,r,1735660022637
P,u,1735660022775
R,u,1735660022777
P,m,1735660023066
R,m,1735660023068
P,p,1735660023070
R,p,1735660023071
P,Key.comma,1735660023207
R,Key.comma,1735660023209
P,Key.space,1735660023331
R,Key.space,1735660023333
P,Key.shift,1735660023485
P,V,1735660023486
R,V,1735660023488
R,Key.shift,1735660023488
P,a,1735660023617
R,a,1735660023619
P,n,1735660023763
R,n,1735660023765
P,c,1735660023916
R,c,1735660023918
P,e,1735660024042
R,e,1735660024044
P,Key.comma,1735660024186
R,Key.comma,1735660024188
P,Key.space,1735660024331
