Press or Release,Key,Time
P,Key.shift,1735660005408
P,T,1735660005678
R,Key.shift,1735660005775
R,T,1735660005806
P,h,1735660005918
R,h,1735660006046
P,e,1735660006094
R,e,1735660006222
P,Key.space,1735660006222
R,Key.space,1735660006286
P,w,1735660006382
R,w,1735660006510
P,a,1735660006607
R,a,1735660006798
P,y,1735660006926
R,y,1735660007022
P,Key.space,1735660007134
R,Key.space,1735660007262
P,s,1735660009247
R,s,1735660009407
P,t,1735660009407
R,t,1735660009535
P,u,1735660009678
R,u,1735660009806
P,d,1735660009807
R,d,1735660009935
P,e,1735660010046
R,e,1735660010142
P,n,1735660010174
R,n,1735660010318
P,t,1735660010318
R,t,1735660010430
P,Key.space,1735660010478
R,Key.space,1735660010590
P,s,1735660010638
P,t,1735660010782
R,s,1735660010798
R,t,1735660010910
P,o,1735660011022
R,o,1735660011102
P,o,1735660011183
R,o,1735660011246
P,d,1735660011262
R,d,1735660011390
P,Key.space,1735660011390
R,Key.space,1735660011502
P,a,1735660011758
R,a,1735660011967
P,n,1735660012542
R,n,1735660012686
P,d,1735660012719
R,d,1735660012830
P,Key.space,1735660012894
R,Key.space,1735660012990
P,t,1735660014302
R,t,1735660014433
P,a,1735660014478
P,l,1735660014623
R,a,1735660014655
R,l,1735660014751
P,k,1735660014896
R,k,1735660015039
P,Key.space,1735660015151
R,Key.space,1735660015246
P,a,1735660015758
R,a,1735660015809
P,b,1735660016031
R,b,1735660016159
P,o,1735660016238
P,u,1735660016366
R,o,1735660016415
R,u,1735660016510
P,t,1735660016558
R,t,1735660016719
P,Key.space,1735660016734
R,Key.space,1735660016830
P,f,1735660017230
R,f,1735660017358
P,e,1735660017470
R,e,1735660017550
P,a,1735660017695
R,a,1735660017870
P,r,1735660017871
R,r,1735660017998
P,Key.space,1735660018030
R,Key.space,1735660018110
P,a,1735660018238
R,a,1735660018383
P,n,1735660018383
R,n,1735660018495
P,d,1735660018510
R,d,1735660018670
P,Key.space,1735660018670
R,Key.space,1735660018750
P,Key.backspace,1735660030703
R,Key.backspace,1735660030734
P,Key.backspace,1735660030879
R,Key.backspace,1735660030943
P,Key.backspace,1735660031054
R,Key.backspace,1735660031118
P,Key.backspace,1735660031231
R,Key.backspace,1735660031311
P,Key.backspace,1735660031967
R,Key.backspace,1735660032078
P,Key.space,1735660034047
R,Key.space,1735660034142
P,i,1735660034318
R,i,1735660034398
P,s,1735660034527
R,s,1735660034687
P,Key.space,1735660034688
R,Key.space,1735660034815
P,v,1735660034990
R,v,1735660035134
P,e,1735660035375
P,r,1735660035518
R,e,1735660035550
R,r,1735660035646
P,y,1735660035774
R,y,1735660035903
P,Key.space,1735660036031
R,Key.space,1735660036159
P,p,1735660039038
R,p,1735660039151
P,r,1735660039231
R,r,1735660039358
P,o,1735660039455
R,o,1735660039567
P,u,1735660041535
R,u,1735660041646
P,d,1735660041775
R,d,1735660041919
P,Key.space,1735660042127
R,Key.space,1735660042239
P,Key.backspace,1735660042862
R,Key.backspace,1735660043023
P,Key.space,1735660044415
R,Key.space,1735660044510
P,t,1735660044703
R,t,1735660044831
P,o,1735660044942
R,o,1735660045054
P,Key.space,1735660045135
R,Key.space,1735660045247
P,t,1735660049919
R,t,1735660050047
P,a,1735660050079
R,a,1735660050255
P,k,1735660050271
R,k,1735660050431
P,Key.space,1735660050511
R,Key.space,1735660050606
P,i,1735660050735
R,i,1735660050847
P,n,1735660050975
R,n,1735660051087
P,Key.backspace,1735660052000
R,Key.backspace,1735660052079
P,Key.backspace,1735660052192
R,Key.backspace,1735660052256
P,Key.backspace,1735660052335
R,Key.backspace,1735660052431
P,Key.backspace,1735660053120
R,Key.backspace,1735660053263
P,l,1735660054095
P,k,1735660054272
R,l,1735660054288
R,k,1735660054431
P,Key.space,1735660054527
R,Key.space,1735660054624
P,t,1735660143938
R,t,1735660144081
P,o,1735660144209
R,o,1735660144337
P,Key.space,1735660144369
R,Key.space,1735660144562
P,e,1735660144577
R,e,1735660144673
P,v,1735660144769
R,v,1735660144881
P,e,1735660144993
P,r,1735660145121
R,e,1735660145137
R,r,1735660145217
P,y,1735660145265
R,y,1735660145345
P,Key.space,1735660145409
R,Key.space,1735660145537
P,p,1735660145713
R,p,1735660145825
P,e,1735660145825
P,r,1735660145953
R,e,1735660146001
R,r,1735660146113
P,s,1735660146177
P,o,1735660146321
R,s,1735660146370
R,o,1735660146449
P,n,1735660146545
R,n,1735660146641
P,Key.backspace,1735660149585
R,Key.backspace,1735660149649
P,Key.backspace,1735660149761
R,Key.backspace,1735660149809
P,Key.backspace,1735660149905
R,Key.backspace,1735660149969
P,Key.backspace,1735660150065
R,Key.backspace,1735660150129
P,Key.backspace,1735660150209
R,Key.backspace,1735660150289
P,Key.backspace,1735660150369
R,Key.backspace,1735660150433
P,Key.backspace,1735660150513
R,Key.backspace,1735660150593
P,Key.backspace,1735660150674
R,Key.backspace,1735660150753
P,Key.backspace,1735660150849
R,Key.backspace,1735660150897
P,Key.backspace,1735660150993
R,Key.backspace,1735660151073
P,s,1735660151073
P,Key.backspace,1735660151169
R,Key.backspace,1735660151233
R,s,1735660151345
P,Key.backspace,1735660151569
R,Key.backspace,1735660151633
P,Key.backspace,1735660151729
R,Key.backspace,1735660151809
P,Key.backspace,1735660151906
R,Key.backspace,1735660151969
P,Key.backspace,1735660152066
R,Key.backspace,1735660152113
P,Key.backspace,1735660152194
R,Key.backspace,1735660152289
P,n,1735660153218
R,n,1735660153329
P,e,1735660153378
R,e,1735660153521
P,a,1735660153521
P,r,1735660153649
R,a,1735660153684
R,r,1735660153777
P,Key.space,1735660153793
