Press or Release,Key,Time
P,Key.shift,1735660038124
P,W,1735660038460
R,Key.shift,1735660038516
R,W,1735660038556
P,i,1735660038676
R,i,1735660038739
P,l,1735660038868
R,l,1735660038931
P,l,1735660039020
R,l,1735660039099
P,Key.space,1735660039204
P,Key.alt,1735660039267
R,Key.space,1735660039300
P,Key.shift,1735660041028
P,S,1735660041252
R,Key.shift,1735660041291
R,S,1735660041372
P,m,1735660041420
P,i,1735660041500
R,m,1735660041536
R,i,1735660041608
P,t,1735660041808
R,t,1735660041904
P,h,1735660041936
R,h,1735660042047
P,;,1735660043480
R,;,1735660043568
P,s,1735660043600
R,s,1735660043704
P,Key.space,1735660043848
R,Key.space,1735660043927
P,Key.backspace,1735660045008
R,Key.backspace,1735660045088
P,Key.backspace,1735660045200
R,Key.backspace,1735660045280
P,Key.backspace,1735660045609
R,Key.backspace,1735660045680
P,',1735660046456
R,',1735660046556
P,s,1735660046672
R,s,1735660046767
P,Key.space,1735660046832
R,Key.space,1735660046912
P,r,1735660048232
P,e,1735660048255
R,r,1735660048351
R,e,1735660048408
P,a,1735660048720
R,a,1735660048800
P,c,1735660048951
R,c,1735660049055
P,t,1735660049239
R,t,1735660049368
P,i,1735660049376
P,o,1735660049456
R,i,1735660049536
R,o,1735660049559
P,n,1735660049696
R,n,1735660049783
P,Key.space,1735660049895
R,Key.space,1735660049959
P,s,1735660053832
P,h,1735660053935
R,s,1735660053959
P,o,1735660054000
R,h,1735660054072
R,o,1735660054127
P,w,1735660054216
R,w,1735660054304
P,s,1735660054448
R,s,1735660054536
P,Key.space,1735660054608
R,Key.space,1735660054704
P,h,1735660056360
P,o,1735660056432
R,h,1735660056504
R,o,1735660056551
P,w,1735660056592
R,w,1735660056688
P,Key.space,1735660056716
R,Key.space,1735660056815
P,p,1735660056988
R,p,1735660057068
P,e,1735660057076
R,e,1735660057164
P,r,1735660057276
R,r,1735660057339
P,s,1735660057572
P,o,1735660057628
R,s,1735660057667
R,o,1735660057716
P,n,1735660057844
R,n,1735660057955
P,a,1735660057996
R,a,1735660058108
P,l,1735660058156
R,l,1735660058300
P,Key.space,1735660058483
R,Key.space,1735660058588
P,p,1735660060372
R,p,1735660060467
P,a,1735660060580
R,a,1735660060683
P,i,1735660060884
R,i,1735660060956
P,n,1735660061100
R,n,1735660061172
P,Key.space,1735660061292
R,Key.space,1735660061356
P,c,1735660061572
R,c,1735660061619
P,a,1735660061796
R,a,1735660061908
P,n,1735660061948
R,n,1735660062027
P,Key.space,1735660062171
R,Key.space,1735660062212
P,e,1735660063916
R,e,1735660064003
P,r,1735660064124
R,r,1735660064220
P,u,1735660064316
R,u,1735660064388
P,p,1735660064572
R,p,1735660064684
P,t,1735660064685
R,t,1735660064779
P,Key.space,1735660064852
R,Key.space,1735660064964
P,e,1735660066844
R,e,1735660066948
P,v,1735660067012
P,e,1735660067092
R,v,1735660067107
R,e,1735660067172
P,n,1735660067260
R,n,1735660067324
P,Key.space,1735660067427
R,Key.space,1735660067483
P,i,1735660067587
R,i,1735660067667
P,n,1735660067763
R,n,1735660067827
P,Key.space,1735660067932
R,Key.space,1735660067996
P,p,1735660068412
R,p,1735660068492
P,o,1735660068596
R,o,1735660068651
P,l,1735660068787
R,l,1735660068844
P,i,1735660068948
R,i,1735660069020
P,s,1735660069067
R,s,1735660069203
P,h,1735660069212
R,h,1735660069300
P,e,1735660069387
R,e,1735660069468
P,d,1735660069604
R,d,1735660069668
P,Key.space,1735660069732
R,Key.space,1735660069820
P,Key.backspace,1735660073440
R,Key.backspace,1735660073520
P,Key.comma,1735660074176
R,Key.comma,1735660074256
P,Key.space,1735660074368
R,Key.space,1735660074456
P,p,1735660074680
R,p,1735660074784
P,r,1735660074880
R,r,1735660074960
P,o,1735660075016
R,o,1735660075104
P,f,1735660075328
P,e,1735660075431
R,f,1735660075488
R,e,1735660075544
P,s,1735660076248
R,s,1735660076311
P,s,1735660076408
R,s,1735660076480
P,i,1735660076864
P,o,1735660076919
R,i,1735660076976
R,o,1735660077024
P,n,1735660077160
R,n,1735660077255
P,a,1735660077280
R,a,1735660077384
P,l,1735660077415
R,l,1735660077496
P,Key.space,1735660077615
R,Key.space,1735660077695
P,s,1735660079167
R,s,1735660079256
P,p,1735660079296
R,p,1735660079384
P,a,1735660079943
R,a,1735660080032
P,c,1735660080207
R,c,1735660080311
P,e,1735660080496
R,e,1735660080600
P,s,1735660080760
R,s,1735660080855
P,Key.space,1735660081008
R,Key.space,1735660081112
P,l,1735660088056
R,l,1735660088136
P,i,1735660088247
R,i,1735660088304
P,k,1735660088428
R,k,1735660088491
P,e,1735660088548
R,e,1735660088643
P,Key.space,1735660088668
R,Key.space,1735660088756
P,t,1735660088908
R,t,1735660088963
P,h,1735660089108
R,h,1735660089188
P,e,1735660089189
R,e,1735660089275
P,Key.space,1735660089340
R,Key.space,1735660089428
P,Key.shift,1735660090619
P,O,1735660091004
R,O,1735660091115
R,Key.shift,1735660091124
P,s,1735660091380
R,s,1735660091468
P,c,1735660091603
R,c,1735660091676
P,a,1735660091852
R,a,1735660091985
P,r,1735660092010
R,r,1735660092107
P,s,1735660092196
R,s,1735660092275
P,.,1735660092899
R,.,1735660092996
P,Key.shift,1735660123724
P,N,1735660124036
R,N,1735660124188
R,Key.shift,1735660124236
P,o,1735660124852
R,o,1735660124940
P,b,1735660125140
R,b,1735660125236
P,o,1735660125836
R,o,1735660125916
P,d,1735660126083
R,d,1735660126187
P,y,1735660126236
R,y,1735660126308
P,Key.space,1735660127692
R,Key.space,1735660127820
P,r,1735660128004
R,r,1735660128104
P,e,1735660128235
R,e,1735660128316
P,a,1735660128492
R,a,1735660128588
P,l,1735660128636
R,l,1735660128699
P,l,1735660128808
R,l,1735660128907
P,y,1735660128972
R,y,1735660129068
P,Key.space,1735660129116
R,Key.space,1735660129227
P,w,1735660130152
R,w,1735660130251
P,i,1735660130340
R,i,1735660130448
P,n,1735660130580
R,n,1735660130684
P,s,1735660130716
R,s,1735660130787
P,Key.space,1735660130852
R,Key.space,1735660130939
P,Key.ctrl,1735660132187
P,Key.left,1735660132332
R,Key.left,1735660132348
P,Key.left,1735660132484
R,Key.left,1735660132564
P,Key.left,1735660132660
R,Key.left,1735660132740
R,Key.ctrl,1735660132989
P,Key.space,1735660133171
R,Key.space,1735660133291
P,End,1735660133820
R,End,1735660133908
P,w,1735660135896
R,w,1735660135991
P,h,1735660136112
R,h,1735660136216
P,e,1735660136232
R,e,1735660136303
P,n,1735660136352
R,n,1735660136423
P,Key.space,1735660136520
R,Key.space,1735660136592
P,e,1735660136592
R,e,1735660136687
P,m,1735660136792
P,o,1735660136880
R,m,1735660136928
R,o,1735660136991
P,t,1735660137448
R,t,1735660137528
P,i,1735660137592
P,o,1735660137639
R,i,1735660137728
R,o,1735660137744
P,n,1735660137896
R,n,1735660138000
P,s,1735660138040
R,s,1735660138119
P,Key.space,1735660138180
R,Key.space,1735660138264
P,e,1735660140103
R,e,1735660140184
P,x,1735660140464
R,x,1735660140552
P,p,1735660140584
P,l,1735660140712
R,p,1735660140743
P,o,1735660140960
R,l,1735660140999
