Press or Release,Key,Time
P,i,1735660018370
R,i,1735660018454
P,Key.backspace,1735660018464
R,Key.backspace,1735660018466
P,Key.shift,1735660018475
P,W,1735660018475
R,W,1735660018477
R,Key.shift,1735660018477
P,a,1735660018612
R,a,1735660018613
P,t,1735660018757
R,t,1735660018758
P,c,1735660018906
R,c,1735660018907
P,h,1735660019032
R,h,1735660019034
P,i,1735660019172
R,i,1735660019174
P,n,1735660019314
R,n,1735660019315
P,g,1735660019475
R,g,1735660019476
P,Key.space,1735660019600
R,Key.space,1735660019601
P,Key.shift,1735660019740
P,T,1735660019741
R,T,1735660019743
R,Key.shift,1735660019743
P,r,1735660019876
R,r,1735660019878
P,u,1735660020022
R,u,1735660020024
P,m,1735660020172
R,m,1735660020174
P,p,1735660020298
R,p,1735660020300
P,Key.comma,1735660020439
R,Key.comma,1735660020441
P,Key.space,1735660020578
R,Key.space,1735660020580
P,Key.shift,1735660021439
P,V,1735660021439
R,V,1735660021441
R,Key.shift,1735660021442
P,a,1735660021442
R,a,1735660021443
P,n,1735660021443
R,n,1735660021445
P,c,1735660021445
R,c,1735660021447
P,e,1735660021447
R,e,1735660021448
P,Key.comma,1735660021448
R,Key.comma,1735660021449
P,Key.space,1735660021564
R,Key.space,1735660021565
P,a,1735660021744
R,a,1735660021746
P,n,1735660021844
R,n,1735660021846
P,d,1735660021987
R,d,1735660021989
P,Key.space,1735660022124
R,Key.space,1735660022126
P,Key.shift,1735660022269
P,Z,1735660022270
R,Z,1735660022273
R,Key.shift,1735660022273
P,e,1735660022408
R,e,1735660022410
P,l,1735660022619
R,l,1735660022620
P,e,1735660022692
R,e,1735660022693
P,n,1735660022825
R,n,1735660022826
P,s,1735660022971
R,s,1735660022973
P,k,1735660023146
R,k,1735660023148
P,y,1735660023251
R,y,1735660023253
P,y,1735660023392
R,y,1735660023393
P,Key.space,1735660023553
R,Key.space,1735660023555
P,s,1735660023730
R,s,1735660023732
P,e,1735660023811
R,e,1735660023813
P,a,1735660023953
R,a,1735660023955
P,t,1735660024598
R,t,1735660024600
P,e,1735660024600
R,e,1735660024601
P,d,1735660024601
R,d,1735660024602
P,Key.space,1735660024602
R,Key.space,1735660024603
P,t,1735660024657
R,t,1735660024658
P,o,1735660024798
R,o,1735660024800
P,g,1735660024938
R,g,1735660024940
P,e,1735660025077
R,e,1735660025079
P,t,1735660025220
R,t,1735660025222
P,h,1735660025363
R,h,1735660025365
P,e,1735660025508
R,e,1735660025511
P,r,1735660025648
R,r,1735660025649
P,Key.space,1735660025780
R,Key.space,1735660025782
P,i,1735660025926
R,i,1735660025927
P,n,1735660026062
R,n,1735660026064
P,Key.space,1735660026205
R,Key.space,1735660026207
P,t,1735660026343
R,t,1735660026345
P,h,1735660026484
R,h,1735660026485
P,e,1735660026624
R,e,1735660026626
P,Key.space,1735660026764
R,Key.space,1735660026767
P,Key.shift,1735660026913
P,O,1735660026913
R,O,1735660026916
R,Key.shift,1735660026916
P,v,1735660027044
R,v,1735660027045
P,a,1735660027190
R,a,1735660027192
P,l,1735660027329
R,l,1735660027330
P,Key.space,1735660027470
R,Key.space,1735660027471
P,Key.shift,1735660027631
P,O,1735660027631
R,O,1735660027633
R,Key.shift,1735660027633
P,f,1735660027754
R,f,1735660027756
P,f,1735660027894
R,f,1735660027895
P,i,1735660028106
R,i,1735660028108
P,c,1735660028194
R,c,1735660028196
P,e,1735660028310
R,e,1735660028313
P,Key.space,1735660028455
R,Key.space,1735660028457
P,f,1735660028592
R,f,1735660028593
P,e,1735660028734
R,e,1735660028737
P,e,1735660028872
R,e,1735660028874
P,l,1735660029016
R,l,1735660029018
P,s,1735660029155
R,s,1735660029157
P,Key.space,1735660029295
R,Key.space,1735660029297
P,l,1735660029435
R,l,1735660029438
P,i,1735660029576
R,i,1735660029579
P,k,1735660029726
R,k,1735660029728
P,e,1735660029858
R,e,1735660029860
P,Key.space,1735660029999
R,Key.space,1735660030002
P,a,1735660030152
R,a,1735660030155
P,Key.space,1735660030280
R,Key.space,1735660030282
P,g,1735660030420
R,g,1735660030423
P,l,1735660030558
R,l,1735660030560
P,i,1735660030778
R,i,1735660030781
P,m,1735660030853
R,m,1735660030855
P,p,1735660030988
R,p,1735660030990
P,s,1735660031127
R,s,1735660031130
P,e,1735660031268
R,e,1735660031271
P,Key.space,1735660031405
R,Key.space,1735660031407
P,i,1735660031552
R,i,1735660031553
P,n,1735660031687
R,n,1735660031688
P,t,1735660031832
R,t,1735660031833
P,o,1735660031969
R,o,1735660031971
P,Key.space,1735660032116
R,Key.space,1735660032117
P,h,1735660032246
R,h,1735660032247
P,i,1735660032394
R,i,1735660032396
P,s,1735660032530
R,s,1735660032531
P,t,1735660032704
R,t,1735660032705
P,o,1735660032810
R,o,1735660032812
P,r,1735660032952
R,r,1735660032954
P,y,1735660033092
R,y,1735660033094
P,—,1735660033233
R,—,1735660033236
P,e,1735660033377
R,e,1735660033380
P,v,1735660033517
R,v,1735660033519
P,e,1735660033657
R,e,1735660033659
P,r,1735660033807
R,r,1735660033809
P,y,1735660033958
R,y,1735660033960
P,Key.space,1735660034864
R,Key.space,1735660034867
P,g,1735660034867
R,g,1735660034868
P,e,1735660034868
R,e,1735660034870
P,s,1735660034870
R,s,1735660034872
P,t,1735660034872
R,t,1735660034873
P,u,1735660034874
R,u,1735660034875
P,r,1735660034932
R,r,1735660034935
P,e,1735660035061
R,e,1735660035063
P,Key.space,1735660035203
R,Key.space,1735660035206
P,a,1735660035341
R,a,1735660035343
P,n,1735660035482
R,n,1735660035483
P,d,1735660035626
R,d,1735660035628
P,Key.space,1735660035766
R,Key.space,1735660035769
P,g,1735660035906
R,g,1735660035908
P,l,1735660036044
R,l,1735660036046
P,a,1735660036188
R,a,1735660036189
P,n,1735660036330
R,n,1735660036331
P,c,1735660036467
R,c,1735660036468
P,e,1735660036607
R,e,1735660036608
P,Key.space,1735660036747
R,Key.space,1735660036748
P,t,1735660036897
R,t,1735660036899
P,e,1735660037027
R,e,1735660037030
P,l,1735660037175
R,l,1735660037178
P,l,1735660037312
R,l,1735660037314
P,i,1735660037451
R,i,1735660037452
P,n,1735660037596
R,n,1735660037599
P,g,1735660037731
R,g,1735660037733
P,Key.space,1735660037872
R,Key.space,1735660037874
P,i,1735660038019
R,i,1735660038021
P,t,1735660038157
R,t,1735660038160
P,s,1735660038300
R,s,1735660038301
P,Key.space,1735660038438
R,Key.space,1735660038439
P,o,1735660038579
R,o,1735660038582
P,w,1735660038732
R,w,1735660038734
P,n,1735660038859
R,n,1735660038861
P,Key.space,1735660038997
R,Key.space,1735660038999
P,p,1735660039139
R,p,1735660039141
P,o,1735660039279
R,o,1735660039280
P,l,1735660039426
R,l,1735660039427
P,i,1735660039577
R,i,1735660039578
P,t,1735660039701
R,t,1735660039703
P,i,1735660039845
R,i,1735660039847
P,c,1735660039979
R,c,1735660039982
P,a,1735660040124
R,a,1735660040127
P,l,1735660040260
R,l,1735660040262
P,Key.space,1735660040427
R,Key.space,1735660040428
P,s,1735660040543
R,s,1735660040545
P,t,1735660040686
R,t,1735660040697
P,o,1735660040828
R,o,1735660040829
P,r,1735660040964
R,r,1735660040966
P,y,1735660041104
R,y,1735660041105
P,.,1735660041244
R,.,1735660041246
