Press or Release,Key,Time
P,i,1735660004858
R,i,1735660004953
P,Key.backspace,1735660004981
R,Key.backspace,1735660004984
P,Key.shift,1735660004995
P,O,1735660004995
R,O,1735660004998
R,Key.shift,1735660004998
P,b,1735660005129
R,b,1735660005131
P,s,1735660005276
R,s,1735660005278
P,e,1735660005419
R,e,1735660005421
P,r,1735660005551
R,r,1735660005553
P,v,1735660005699
R,v,1735660005702
P,i,1735660005860
R,i,1735660005862
P,n,1735660005986
R,n,1735660005988
P,g,1735660006136
R,g,1735660006138
P,Key.space,1735660006259
R,Key.space,1735660006261
P,t,1735660006395
R,t,1735660006398
P,h,1735660006540
R,h,1735660006542
P,e,1735660006696
R,e,1735660006698
P,Key.space,1735660006820
R,Key.space,1735660006822
P,c,1735660006960
R,c,1735660006962
P,o,1735660007098
R,o,1735660007100
P,a,1735660007240
R,a,1735660007242
P,c,1735660007380
R,c,1735660007382
P,h,1735660007522
R,h,1735660007524
P,Key.space,1735660007668
R,Key.space,1735660007670
P,e,1735660007805
R,e,1735660007807
P,x,1735660007948
R,x,1735660007950
P,h,1735660008086
R,h,1735660008088
P,o,1735660008227
R,o,1735660008229
P,r,1735660008364
R,r,1735660008366
P,t,1735660008506
R,t,1735660008508
P,Key.space,1735660008659
R,Key.space,1735660008661
P,h,1735660008788
R,h,1735660008791
P,i,1735660008934
R,i,1735660008937
P,s,1735660009065
R,s,1735660009067
P,Key.space,1735660009208
R,Key.space,1735660009211
P,s,1735660009349
R,s,1735660009351
P,t,1735660009499
R,t,1735660009501
P,u,1735660009643
R,u,1735660009645
P,d,1735660009780
R,d,1735660009782
P,e,1735660009912
R,e,1735660009914
P,n,1735660010060
R,n,1735660010062
P,t,1735660010220
R,t,1735660010222
P,s,1735660010344
R,s,1735660010346
P,Key.space,1735660010469
R,Key.space,1735660010471
P,t,1735660010616
R,t,1735660010618
P,o,1735660010756
R,o,1735660010758
P,Key.space,1735660010915
R,Key.space,1735660010917
P,e,1735660011038
R,e,1735660011040
P,m,1735660011178
R,m,1735660011180
P,b,1735660011316
R,b,1735660011318
P,r,1735660012237
R,r,1735660012239
P,a,1735660012239
R,a,1735660012241
P,c,1735660012241
R,c,1735660012242
P,e,1735660012243
R,e,1735660012244
P,Key.space,1735660012244
R,Key.space,1735660012246
P,t,1735660012246
R,t,1735660012248
P,h,1735660012311
R,h,1735660012313
P,e,1735660012442
R,e,1735660012444
P,i,1735660012580
R,i,1735660012582
P,r,1735660012724
R,r,1735660012726
P,Key.space,1735660012864
R,Key.space,1735660012865
P,l,1735660013005
R,l,1735660013007
P,a,1735660013143
R,a,1735660013145
P,t,1735660013287
R,t,1735660013289
P,e,1735660013426
R,e,1735660013428
P,n,1735660013567
R,n,1735660013569
P,t,1735660013711
R,t,1735660013713
P,Key.space,1735660013848
R,Key.space,1735660013850
P,c,1735660013990
R,c,1735660013992
P,a,1735660014127
R,a,1735660014130
P,p,1735660014272
R,p,1735660014273
P,a,1735660014420
R,a,1735660014422
P,b,1735660014553
R,b,1735660014556
P,i,1735660014692
R,i,1735660014694
P,l,1735660014832
R,l,1735660014834
P,i,1735660014975
R,i,1735660014977
P,t,1735660015291
R,t,1735660015294
P,i,1735660015294
R,i,1735660015296
P,e,1735660015390
R,e,1735660015392
P,s,1735660015543
R,s,1735660015545
P,Key.space,1735660015683
R,Key.space,1735660015685
P,i,1735660015816
R,i,1735660015818
P,s,1735660015960
R,s,1735660015962
P,Key.space,1735660016102
R,Key.space,1735660016104
P,a,1735660016240
R,a,1735660016242
P,Key.space,1735660016391
R,Key.space,1735660016393
P,c,1735660016519
R,c,1735660016521
P,o,1735660016660
R,o,1735660016662
P,m,1735660016798
R,m,1735660016800
P,p,1735660016940
R,p,1735660016942
P,e,1735660017081
R,e,1735660017083
P,l,1735660017223
R,l,1735660017225
P,l,1735660017364
R,l,1735660017365
P,i,1735660017505
R,i,1735660017507
P,n,1735660017643
R,n,1735660017645
P,g,1735660017784
R,g,1735660017786
P,Key.space,1735660017928
R,Key.space,1735660017930
P,t,1735660018065
R,t,1735660018067
P,e,1735660018226
R,e,1735660018228
P,s,1735660018356
R,s,1735660018357
P,t,1735660018517
R,t,1735660018519
P,a,1735660018631
R,a,1735660018633
P,m,1735660018768
R,m,1735660018771
P,e,1735660018916
R,e,1735660018918
P,n,1735660019050
R,n,1735660019052
P,t,1735660019191
R,t,1735660019193
P,Key.space,1735660019330
R,Key.space,1735660019332
P,t,1735660019470
R,t,1735660019472
P,o,1735660019616
R,o,1735660019618
P,Key.space,1735660019754
R,Key.space,1735660019756
P,t,1735660019901
R,t,1735660019902
P,h,1735660020035
R,h,1735660020037
P,e,1735660020175
R,e,1735660020177
P,Key.space,1735660020314
R,Key.space,1735660020316
P,t,1735660020457
R,t,1735660020459
P,r,1735660020599
R,r,1735660020601
P,a,1735660020736
R,a,1735660020738
P,n,1735660020880
R,n,1735660020882
P,s,1735660021028
R,s,1735660021030
P,f,1735660021181
R,f,1735660021183
P,o,1735660021302
R,o,1735660021304
P,r,1735660022273
R,r,1735660022274
P,m,1735660022275
R,m,1735660022276
P,a,1735660022276
R,a,1735660022277
P,t,1735660022277
R,t,1735660022279
P,i,1735660022279
R,i,1735660022280
P,v,1735660022280
R,v,1735660022281
P,e,1735660022290
R,e,1735660022291
P,Key.space,1735660022425
R,Key.space,1735660022427
P,p,1735660022565
R,p,1735660022567
P,o,1735660022713
R,o,1735660022715
P,w,1735660022846
R,w,1735660022848
P,e,1735660022990
R,e,1735660022992
P,r,1735660023270
R,r,1735660023272
P,Key.space,1735660023273
R,Key.space,1735660023274
P,o,1735660023411
R,o,1735660023413
P,f,1735660023549
R,f,1735660023552
P,Key.space,1735660023692
R,Key.space,1735660023694
P,s,1735660023837
R,s,1735660023838
P,e,1735660023972
R,e,1735660023974
P,l,1735660024112
R,l,1735660024114
P,f,1735660024253
R,f,1735660024255
P,-,1735660024401
R,-,1735660024404
P,b,1735660024536
R,b,1735660024538
P,e,1735660024676
R,e,1735660024678
P,l,1735660024814
R,l,1735660024816
P,i,1735660024961
R,i,1735660024963
P,e,1735660025102
R,e,1735660025105
P,f,1735660025237
R,f,1735660025239
P,Key.space,1735660025385
R,Key.space,1735660025388
P,a,1735660025533
R,a,1735660025535
P,n,1735660025663
R,n,1735660025665
P,d,1735660025810
R,d,1735660025812
P,Key.space,1735660025969
R,Key.space,1735660025971
P,r,1735660026098
R,r,1735660026100
P,e,1735660026258
R,e,1735660026260
P,s,1735660026374
R,s,1735660026376
P,i,1735660026529
R,i,1735660026531
P,l,1735660026663
R,l,1735660026665
P,i,1735660026795
R,i,1735660026798
P,e,1735660026935
R,e,1735660026937
P,n,1735660027072
R,n,1735660027074
P,c,1735660027225
R,c,1735660027227
P,e,1735660027357
R,e,1735660027358
P,Key.space,1735660027494
R,Key.space,1735660027496
P,a,1735660027640
R,a,1735660027642
P,m,1735660027777
R,m,1735660027778
P,i,1735660027926
R,i,1735660027928
P,d,1735660028059
R,d,1735660028061
P,s,1735660028203
R,s,1735660028206
P,t,1735660028346
R,t,1735660028348
P,Key.space,1735660028514
R,Key.space,1735660028516
