Press or Release,Key,Time
P,Key.caps_lock,1735660006592
R,Key.caps_lock,1735660006712
P,S,1735660006946
R,S,1735660007022
P,Key.caps_lock,1735660007069
R,Key.caps_lock,1735660007182
P,m,1735660007354
R,m,1735660007406
P,i,1735660007565
R,i,1735660007654
P,t,1735660007846
R,t,1735660007922
P,h,1735660008035
R,h,1735660008124
P,Key.space,1735660008252
R,Key.space,1735660008400
P,s,1735660009654
R,s,1735660009754
P,l,1735660009884
R,l,1735660009972
P,a,1735660009987
R,a,1735660010101
P,p,1735660010169
R,p,1735660010238
P,p,1735660010349
R,p,1735660010422
P,e,1735660010422
R,e,1735660010537
P,d,1735660010682
R,d,1735660010787
P,Key.space,1735660010818
R,Key.space,1735660010983
P,c,1735660012144
R,c,1735660012253
P,h,1735660012414
R,h,1735660012503
P,r,1735660012773
R,r,1735660012872
P,i,1735660012989
R,i,1735660013054
P,s,1735660013278
R,s,1735660013355
P,Key.space,1735660013449
R,Key.space,1735660013554
P,r,1735660015656
R,r,1735660015753
P,o,1735660015852
R,o,1735660015915
P,c,1735660016162
R,c,1735660016272
P,k,1735660016369
R,k,1735660016453
P,Key.space,1735660016568
R,Key.space,1735660016717
P,d,1735660018519
R,d,1735660018652
P,u,1735660018860
R,u,1735660018908
P,r,1735660019148
R,r,1735660019392
P,i,1735660019394
R,i,1735660019402
P,n,1735660019517
R,n,1735660019605
P,g,1735660019766
R,g,1735660019821
P,Key.space,1735660019900
R,Key.space,1735660020005
P,t,1735660020132
R,t,1735660020189
P,h,1735660020307
R,h,1735660020402
P,e,1735660020468
R,e,1735660020585
P,Key.space,1735660020600
R,Key.space,1735660020689
P,Key.caps_lock,1735660023980
R,Key.caps_lock,1735660024151
P,O,1735660024167
R,O,1735660024208
P,Key.caps_lock,1735660024316
R,Key.caps_lock,1735660024462
P,s,1735660024748
R,s,1735660024821
P,c,1735660026027
R,c,1735660026104
P,a,1735660026166
R,a,1735660026254
P,r,1735660026351
R,r,1735660026406
P,s,1735660026500
R,s,1735660026586
P,.,1735660026905
R,.,1735660026972
P,Key.backspace,1735660030469
R,Key.backspace,1735660030587
P,Key.caps_lock,1735660030701
R,Key.caps_lock,1735660030880
P,C,1735660031084
R,C,1735660031156
P,Key.space,1735660033583
R,Key.space,1735660033685
P,Key.caps_lock,1735660034514
R,Key.caps_lock,1735660034667
P,Key.caps_lock,1735660035583
R,Key.caps_lock,1735660035692
P,S,1735660035975
R,S,1735660036054
P,Key.caps_lock,1735660036116
R,Key.caps_lock,1735660036260
P,m,1735660036354
R,m,1735660036438
P,i,1735660036597
R,i,1735660036688
P,t,1735660036879
R,t,1735660036954
P,h,1735660037067
R,h,1735660037169
P,Key.space,1735660037282
R,Key.space,1735660037372
P,w,1735660039941
R,w,1735660040054
P,a,1735660040230
P,l,1735660040320
R,a,1735660040375
R,l,1735660040507
P,k,1735660040580
R,k,1735660040700
P,i,1735660040783
R,i,1735660040854
P,n,1735660040982
R,n,1735660041101
P,g,1735660041245
R,g,1735660041305
P,Key.space,1735660041352
R,Key.space,1735660041515
P,o,1735660042582
R,o,1735660042667
P,n,1735660042957
R,n,1735660043020
P,t,1735660043293
R,t,1735660043367
P,o,1735660043547
R,o,1735660043636
P,Key.space,1735660043733
R,Key.space,1735660043836
P,t,1735660043981
R,t,1735660044037
P,h,1735660044147
R,h,1735660044251
P,e,1735660044266
R,e,1735660044385
P,Key.space,1735660044385
R,Key.space,1735660044501
P,s,1735660044568
R,s,1735660044683
P,t,1735660044860
R,t,1735660044921
P,a,1735660044968
R,a,1735660045099
P,g,1735660045420
R,g,1735660045468
P,e,1735660045551
R,e,1735660045652
P,Key.space,1735660045729
R,Key.space,1735660045788
P,a,1735660047826
R,a,1735660047982
P,n,1735660048173
R,n,1735660048254
P,d,1735660048414
R,d,1735660048506
P,Key.space,1735660048553
R,Key.space,1735660048636
P,s,1735660048682
R,s,1735660048818
P,t,1735660049087
R,t,1735660049127
P,r,1735660050862
R,r,1735660050953
P,i,1735660051083
R,i,1735660051154
P,k,1735660051362
R,k,1735660051435
P,i,1735660051568
R,i,1735660051631
P,n,1735660051784
R,n,1735660051854
P,g,1735660051983
R,g,1735660052054
P,Key.space,1735660052170
R,Key.space,1735660052252
P,r,1735660052538
R,r,1735660052636
P,o,1735660052732
R,o,1735660052804
P,c,1735660053261
