Press or Release,Key,Time
P,Key.shift,1735660004627
P,T,1735660004943
R,Key.shift,1735660005080
R,T,1735660005131
P,h,1735660005296
R,h,1735660005349
P,e,1735660005951
R,e,1735660006137
P,Key.space,1735660006249
R,Key.space,1735660006458
P,p,1735660007391
R,p,1735660007577
P,r,1735660007678
P,o,1735660007728
R,r,1735660007815
R,o,1735660007955
P,f,1735660007956
R,f,1735660008130
P,e,1735660008162
R,e,1735660008301
P,s,1735660008403
R,s,1735660008541
P,s,1735660008543
R,s,1735660008631
P,o,1735660010419
P,r,1735660010580
R,o,1735660010664
P,Key.space,1735660010740
R,r,1735660010783
R,Key.space,1735660010962
P,e,1735660011082
P,n,1735660011182
R,e,1735660011267
R,n,1735660011382
P,t,1735660011400
R,t,1735660011562
P,i,1735660011574
P,r,1735660011749
R,i,1735660011759
P,e,1735660011895
R,r,1735660011937
R,e,1735660012157
P,Key.space,1735660012160
R,Key.space,1735660012257
P,t,1735660012258
R,t,1735660012461
P,h,1735660012463
P,e,1735660012484
R,h,1735660012600
R,e,1735660012667
P,Key.space,1735660012771
R,Key.space,1735660012834
P,s,1735660013737
R,s,1735660013929
P,t,1735660014293
R,t,1735660014440
P,u,1735660014472
R,u,1735660014655
P,d,1735660014666
R,d,1735660014747
P,y,1735660015201
R,y,1735660015363
P,Key.space,1735660015467
R,Key.space,1735660015631
P,h,1735660016700
P,a,1735660016855
R,h,1735660016858
P,l,1735660016996
R,a,1735660016997
R,l,1735660017132
P,l,1735660017200
R,l,1735660017314
P,Key.space,1735660017432
R,Key.space,1735660017586
P,a,1735660018489
R,a,1735660018661
P,d,1735660018851
R,d,1735660018994
P,Key.space,1735660019112
R,Key.space,1735660019258
P,i,1735660019608
R,i,1735660019766
P,n,1735660019853
R,n,1735660020011
P,t,1735660020024
R,t,1735660020195
P,e,1735660020228
R,e,1735660020321
P,Key.backspace,1735660020605
R,Key.backspace,1735660020661
P,Key.backspace,1735660020761
R,Key.backspace,1735660020811
P,Key.backspace,1735660020952
R,Key.backspace,1735660020991
P,Key.backspace,1735660021112
R,Key.backspace,1735660021197
P,Key.backspace,1735660021258
R,Key.backspace,1735660021365
P,Key.backspace,1735660022120
R,Key.backspace,1735660022258
P,n,1735660022493
R,n,1735660022631
P,d,1735660022714
P,Key.space,1735660022810
R,d,1735660022854
R,Key.space,1735660022962
P,i,1735660023159
R,i,1735660023295
