Press or Release,Key,Time
P,t,1735660004024
R,t,1735660004093
P,h,1735660004223
R,h,1735660004311
P,e,1735660004482
R,e,1735660004593
P,Key.space,1735660004644
R,Key.space,1735660004722
P,m,1735660005523
R,m,1735660005604
P,o,1735660005759
R,o,1735660005842
P,v,1735660007048
R,v,1735660007163
P,i,1735660007253
R,i,1735660007343
P,e,1735660007552
R,e,1735660007672
P,Key.space,1735660008170
R,Key.space,1735660008304
P,Key.left,1735660010572
R,Key.left,1735660011208
P,Key.left,1735660011863
R,Key.left,1735660011975
P,Key.left,1735660012083
R,Key.left,1735660012188
P,Key.left,1735660012732
R,Key.left,1735660012855
P,Key.backspace,1735660013864
R,Key.backspace,1735660013952
P,Key.caps_lock,1735660014193
R,Key.caps_lock,1735660014284
P,T,1735660014703
R,T,1735660014757
P,Key.caps_lock,1735660015764
R,Key.caps_lock,1735660015892
P,Key.right,1735660016363
R,Key.right,1735660016442
P,Key.right,1735660016554
R,Key.right,1735660016624
P,Key.right,1735660016725
R,Key.right,1735660016803
P,Key.right,1735660016862
R,Key.right,1735660016921
P,Key.right,1735660017003
R,Key.right,1735660017113
P,Key.right,1735660017172
R,Key.right,1735660017252
P,Key.right,1735660017326
R,Key.right,1735660017392
P,Key.right,1735660017482
R,Key.right,1735660017542
P,Key.space,1735660019054
R,Key.space,1735660019183
P,n,1735660019363
R,n,1735660019442
P,a,1735660020173
R,a,1735660020282
P,m,1735660020421
R,m,1735660020504
P,e,1735660020714
R,e,1735660020803
P,Key.space,1735660020903
R,Key.space,1735660020995
P,i,1735660023264
R,i,1735660023345
P,s,1735660023582
R,s,1735660023682
P,Key.space,1735660023732
R,Key.space,1735660023822
P,c,1735660024212
R,c,1735660024282
P,o,1735660025463
R,o,1735660025544
P,a,1735660025652
R,a,1735660025753
P,c,1735660026037
R,c,1735660026153
P,h,1735660026382
R,h,1735660026465
P,Key.space,1735660026632
R,Key.space,1735660026711
P,c,1735660027052
R,c,1735660027134
P,a,1735660027297
R,a,1735660027353
P,Key.backspace,1735660027886
R,Key.backspace,1735660027977
P,a,1735660028822
R,a,1735660028904
P,r,1735660029783
R,r,1735660029865
P,t,1735660030091
R,t,1735660030162
P,e,1735660030323
R,e,1735660030401
P,r,1735660030592
R,r,1735660030682
P,Key.space,1735660031167
R,Key.space,1735660031252
P,i,1735660032499
R,i,1735660032562
P,t,1735660032924
R,t,1735660033004
