Press or Release,Key,Time
P,Key.caps_lock,1735660005119
R,Key.caps_lock,1735660005254
P,T,1735660005432
R,T,1735660005593
P,Key.caps_lock,1735660006135
R,Key.caps_lock,1735660006304
P,h,1735660006608
R,h,1735660006694
P,i,1735660006768
R,i,1735660006849
P,s,1735660006943
R,s,1735660007064
P,Key.space,1735660007134
R,Key.space,1735660007324
P,c,1735660007449
R,c,1735660007591
P,l,1735660007671
R,l,1735660007783
P,i,1735660007857
R,i,1735660007942
P,p,1735660008008
R,p,1735660008105
P,Key.space,1735660008206
R,Key.space,1735660008367
P,s,1735660008568
P,h,1735660008672
R,s,1735660008720
R,h,1735660008742
P,o,1735660008790
R,o,1735660008886
P,w,1735660008902
R,w,1735660009064
P,s,1735660009223
R,s,1735660009366
P,Key.space,1735660009482
R,Key.space,1735660009662
P,h,1735660009776
R,h,1735660009863
P,o,1735660009903
R,o,1735660009994
P,w,1735660010070
R,w,1735660010182
P,Key.space,1735660010409
R,Key.space,1735660010558
P,h,1735660010663
R,h,1735660010742
P,u,1735660010864
R,u,1735660010958
P,m,1735660011144
R,m,1735660011224
P,o,1735660011315
R,o,1735660011394
P,r,1735660011425
R,r,1735660011533
P,Key.space,1735660011584
R,Key.space,1735660011768
P,a,1735660012329
R,a,1735660012446
P,n,1735660012456
R,n,1735660012529
P,d,1735660012577
R,d,1735660012727
P,Key.space,1735660012809
R,Key.space,1735660012998
P,p,1735660017897
R,p,1735660018006
P,e,1735660018016
R,e,1735660018120
P,r,1735660018172
R,r,1735660018246
P,s,1735660018654
R,s,1735660018808
P,o,1735660018903
R,o,1735660018990
P,n,1735660019304
R,n,1735660019360
P,a,1735660020022
P,l,1735660020127
R,a,1735660020152
R,l,1735660020206
P,Key.space,1735660020351
R,Key.space,1735660020571
P,b,1735660023742
P,o,1735660023862
R,b,1735660023878
R,o,1735660023958
P,u,1735660024078
R,u,1735660024166
P,n,1735660024382
R,n,1735660024448
P,d,1735660024999
R,d,1735660025128
P,a,1735660025198
R,a,1735660025337
P,r,1735660025735
R,r,1735660025871
P,i,1735660025889
R,i,1735660025969
P,e,1735660026006
R,e,1735660026118
P,s,1735660026223
R,s,1735660026352
