Press or Release,Key,Time
P,Key.ctrl,1735660077825
P,g,1735660078224
P,Key.space,1735660089775
R,Key.space,1735660089951
P,a,1735660091071
R,a,1735660091231
P,n,1735660091231
P,d,1735660091263
R,n,1735660091311
R,d,1735660091407
P,Key.space,1735660091439
R,Key.space,1735660091488
P,b,1735660092736
P,e,1735660092801
R,b,1735660092815
R,e,1735660092929
P,l,1735660093521
R,l,1735660093599
P,i,1735660093744
R,i,1735660093839
P,v,1735660093983
P,e,1735660094079
R,v,1735660094097
R,e,1735660094208
P,Key.space,1735660094208
R,Key.space,1735660094304
P,y,1735660094463
R,y,1735660094559
P,Key.backspace,1735660095537
R,Key.backspace,1735660095631
P,Key.backspace,1735660096239
R,Key.backspace,1735660096336
P,Key.space,1735660100432
R,Key.space,1735660100543
P,t,1735660101120
R,t,1735660101199
P,h,1735660101327
R,h,1735660101423
P,e,1735660101439
R,e,1735660101567
P,Key.space,1735660101586
R,Key.space,1735660101679
P,p,1735660102223
R,p,1735660102305
P,o,1735660102432
R,o,1735660102511
P,s,1735660102591
R,s,1735660102703
P,i,1735660102719
R,i,1735660102815
P,t,1735660103122
R,t,1735660103215
P,i,1735660103456
R,i,1735660103552
P,b,1735660103794
R,b,1735660103816
P,Key.backspace,1735660104193
R,Key.backspace,1735660104354
P,v,1735660105136
R,v,1735660105263
P,i,1735660105375
R,i,1735660105471
P,t,1735660105674
R,t,1735660105727
P,y,1735660106194
R,y,1735660106273
P,Key.space,1735660106433
R,Key.space,1735660106511
