Press or Release,Key,Time
P,t,1735660005991
R,t,1735660006022
P,h,1735660006072
R,h,1735660006290
P,e,1735660006327
R,e,1735660006590
P,Key.space,1735660006617
R,Key.space,1735660006618
P,o,1735660007479
R,o,1735660007487
P,s,1735660007527
R,s,1735660007790
P,c,1735660007829
R,c,1735660008091
P,a,1735660008091
P,r,1735660008177
R,a,1735660008391
R,r,1735660008391
P,Key.space,1735660008391
R,Key.space,1735660008696
P,s,1735660009057
R,s,1735660009296
P,l,1735660009296
R,l,1735660009335
P,a,1735660009590
R,a,1735660009604
P,p,1735660009904
R,p,1735660009904
P,Key.space,1735660011091
R,Key.space,1735660011386
P,t,1735660011986
P,o,1735660011987
R,t,1735660012010
R,o,1735660012294
P,Key.space,1735660012295
R,Key.space,1735660012368
P,s,1735660012586
R,s,1735660012592
P,y,1735660012883
R,y,1735660012891
P,a,1735660012908
R,a,1735660013188
P,Key.space,1735660013188
R,Key.space,1735660013263
P,Key.backspace,1735660014698
R,Key.backspace,1735660014753
P,Key.backspace,1735660014991
R,Key.backspace,1735660014993
P,Key.backspace,1735660015902
R,Key.backspace,1735660016187
P,s,1735660016791
R,s,1735660016809
P,y,1735660017097
R,y,1735660017181
P,Key.space,1735660017391
R,Key.space,1735660017462
P,Key.backspace,1735660018895
R,Key.backspace,1735660018898
P,Key.backspace,1735660018907
R,Key.backspace,1735660019182
P,Key.backspace,1735660019188
R,Key.backspace,1735660019217
P,a,1735660020138
R,a,1735660020389
P,y,1735660020682
R,y,1735660020699
P,Key.space,1735660020990
R,Key.space,1735660021007
P,p,1735660022191
R,p,1735660022489
P,o,1735660022493
R,o,1735660022782
P,s,1735660022790
R,s,1735660022818
P,t,1735660023090
R,t,1735660023091
P,Key.space,1735660023091
R,Key.space,1735660023094
P,a,1735660023390
R,a,1735660023696
P,n,1735660023696
R,n,1735660023697
P,n,1735660023992
R,n,1735660023993
P,o,1735660024057
R,o,1735660024304
P,u,1735660024591
R,u,1735660024592
P,n,1735660024882
R,n,1735660024904
P,s,1735660025282
R,s,1735660025491
P,e,1735660025532
R,e,1735660025790
P,c,1735660026387
R,c,1735660026390
P,d,1735660026420
R,d,1735660026691
P,Key.space,1735660026719
R,Key.space,1735660026990
P,Key.backspace,1735660029386
R,Key.backspace,1735660029392
P,Key.backspace,1735660029455
R,Key.backspace,1735660029696
P,Key.backspace,1735660029696
R,Key.backspace,1735660029737
P,Key.backspace,1735660029991
R,Key.backspace,1735660029992
P,Key.backspace,1735660030002
R,Key.backspace,1735660030072
P,Key.backspace,1735660030296
R,Key.backspace,1735660030297
P,n,1735660031858
R,n,1735660032091
P,c,1735660032391
R,c,1735660032413
P,e,1735660032683
R,e,1735660032694
P,d,1735660032748
R,d,1735660032992
P,Key.space,1735660032992
R,Key.space,1735660033295
P,f,1735660034872
R,f,1735660035095
P,o,1735660035177
P,r,1735660035178
R,o,1735660035390
R,r,1735660035399
P,Key.space,1735660035412
R,Key.space,1735660035690
P,h,1735660036279
R,h,1735660036287
P,a,1735660036292
R,a,1735660036590
P,p,1735660036613
R,p,1735660036890
P,p,1735660036890
R,p,1735660036891
P,y,1735660037252
R,y,1735660037498
P,Key.space,1735660037539
R,Key.space,1735660037790
P,p,1735660038695
R,p,1735660038712
P,e,1735660038991
R,e,1735660039017
P,r,1735660039307
R,r,1735660039382
P,s,1735660039598
P,o,1735660039622
R,s,1735660039682
R,o,1735660039895
P,n,1735660039905
R,n,1735660040199
P,Key.space,1735660040200
R,Key.space,1735660040276
P,f,1735660040509
R,f,1735660040562
P,o,1735660040791
R,o,1735660040792
P,r,1735660040792
R,r,1735660040836
P,Key.space,1735660040872
R,Key.space,1735660041095
P,t,1735660041095
P,h,1735660041142
R,t,1735660041398
R,h,1735660041399
P,e,1735660041399
R,e,1735660041457
P,Key.space,1735660041457
R,Key.space,1735660041690
P,c,1735660043504
R,c,1735660043790
P,l,1735660043791
R,l,1735660043793
P,i,1735660043857
R,i,1735660044097
P,p,1735660044142
R,p,1735660044391
P,Key.space,1735660044415
