Press or Release,Key,Time
P,F3,1735660014738
P,Key.backspace,1735660028393
R,Key.backspace,1735660028609
P,Key.backspace,1735660029545
R,Key.backspace,1735660029731
P,Key.down,1735660034401
R,Key.down,1735660034577
P,Key.backspace,1735660034777
R,Key.backspace,1735660034977
P,Key.down,1735660040313
R,Key.down,1735660040449
P,Key.down,1735660040561
R,Key.down,1735660040713
P,Key.down,1735660040873
R,Key.down,1735660041001
P,Key.down,1735660041142
R,Key.down,1735660041281
P,Key.down,1735660041417
R,Key.down,1735660041513
P,Key.down,1735660041649
R,Key.down,1735660041761
P,Key.backspace,1735660044937
R,Key.backspace,1735660045121
P,Key.backspace,1735660045819
R,Key.backspace,1735660045985
P,Key.backspace,1735660046584
R,Key.backspace,1735660046737
P,Key.backspace,1735660047457
R,Key.backspace,1735660047601
