Press or Release,Key,Time
P,w,1735660003388
R,w,1735660003491
P,i,1735660003699
R,i,1735660003771
P,l,1735660003972
R,l,1735660004047
P,l,1735660004121
R,l,1735660004178
P,Key.space,1735660004366
R,Key.space,1735660004432
P,s,1735660004667
R,s,1735660004777
P,m,1735660005323
R,m,1735660005392
P,i,1735660005562
R,i,1735660005660
P,t,1735660005926
R,t,1735660005999
P,h,1735660006196
R,h,1735660006266
P,Key.space,1735660006476
R,Key.space,1735660006556
P,f,1735660007725
R,f,1735660007813
P,e,1735660008049
R,e,1735660008141
P,e,1735660008231
R,e,1735660008317
P,l,1735660008607
R,l,1735660008703
P,i,1735660008880
R,i,1735660008946
P,n,1735660009157
R,n,1735660009240
P,g,1735660009463
R,g,1735660009546
P,Key.space,1735660009717
R,Key.space,1735660009821
P,a,1735660015997
R,a,1735660016111
P,n,1735660016218
R,n,1735660016312
P,d,1735660016446
R,d,1735660016537
P,Key.space,1735660016592
R,Key.space,1735660016669
P,r,1735660020472
R,r,1735660020541
P,e,1735660020712
R,e,1735660020772
P,a,1735660020961
R,a,1735660021086
P,c,1735660021226
R,c,1735660021294
P,t,1735660021717
R,t,1735660021803
P,i,1735660022218
R,i,1735660022281
P,o,1735660022409
R,o,1735660022476
P,n,1735660022679
R,n,1735660022749
P,Key.space,1735660022887
R,Key.space,1735660022959
P,w,1735660028632
R,w,1735660028732
P,h,1735660028891
R,h,1735660028957
P,i,1735660029293
R,i,1735660029366
P,l,1735660029522
R,l,1735660029619
P,e,1735660029873
R,e,1735660029953
P,Key.space,1735660030107
R,Key.space,1735660030168
P,o,1735660030761
R,o,1735660030837
P,t,1735660031162
R,t,1735660031238
P,h,1735660031401
R,h,1735660031491
P,e,1735660031642
R,e,1735660031733
P,r,1735660031879
R,r,1735660031951
P,s,1735660032101
R,s,1735660032172
P,Key.space,1735660032300
R,Key.space,1735660032381
P,f,1735660033441
R,f,1735660033521
P,e,1735660033880
R,e,1735660033957
P,e,1735660034047
R,e,1735660034128
P,l,1735660034263
R,l,1735660034336
P,Key.space,1735660034565
R,Key.space,1735660034637
P,i,1735660034927
R,i,1735660034997
P,t,1735660035266
R,t,1735660035345
P,Key.space,1735660035584
R,Key.space,1735660035661
P,w,1735660035851
R,w,1735660035903
P,a,1735660036082
R,a,1735660036186
P,s,1735660036315
R,s,1735660036442
P,Key.space,1735660037318
R,Key.space,1735660037463
P,i,1735660044691
R,i,1735660044766
P,n,1735660044967
R,n,1735660045023
P,o,1735660045462
R,o,1735660045525
P,p,1735660045676
