Press or Release,Key,Time
P,t,1735660014998
R,t,1735660014999
P,r,1735660014999
R,r,1735660015003
P,Key.backspace,1735660016504
R,Key.backspace,1735660016505
P,Key.backspace,1735660016512
R,Key.backspace,1735660016513
P,Key.backspace,1735660016529
R,Key.backspace,1735660016994
P,Key.backspace,1735660016994
R,Key.backspace,1735660016994
P,Key.backspace,1735660016998
R,Key.backspace,1735660017493
P,Key.caps_lock,1735660017498
R,Key.caps_lock,1735660017500
P,T,1735660017993
R,T,1735660018000
P,Key.caps_lock,1735660018499
R,Key.caps_lock,1735660018558
P,r,1735660019495
R,r,1735660019504
P,u,1735660019997
R,u,1735660019997
P,m,1735660020489
R,m,1735660020496
P,p,1735660020497
R,p,1735660020499
P,Key.space,1735660020997
R,Key.space,1735660020997
P,a,1735660021051
P,n,1735660021498
R,a,1735660021499
R,n,1735660021499
P,d,1735660021533
R,d,1735660021533
P,Key.space,1735660021569
R,Key.space,1735660021993
P,z,1735660025997
R,z,1735660025997
P,e,1735660025998
R,e,1735660026497
P,l,1735660026498
R,l,1735660026573
P,e,1735660026994
R,e,1735660026997
P,n,1735660026997
R,n,1735660026997
P,s,1735660028997
R,s,1735660028998
P,k,1735660029498
R,k,1735660029501
P,y,1735660029989
R,y,1735660029996
P,Key.space,1735660031090
R,Key.space,1735660031507
P,Key.backspace,1735660035498
R,Key.backspace,1735660035508
P,Key.backspace,1735660035989
R,Key.backspace,1735660035994
P,y,1735660037010
R,y,1735660037011
P,Key.space,1735660037054
R,Key.space,1735660037498
P,o,1735660037498
R,o,1735660037500
P,f,1735660037994
R,f,1735660037998
P,f,1735660037999
R,f,1735660038488
P,i,1735660038497
R,i,1735660038584
P,c,1735660038994
R,c,1735660038995
P,a,1735660038997
P,l,1735660039013
R,a,1735660039085
R,l,1735660039492
P,Key.space,1735660039496
R,Key.space,1735660039498
P,m,1735660040496
R,m,1735660040497
P,e,1735660040498
R,e,1735660040499
P,e,1735660040542
R,e,1735660040995
P,t,1735660040996
R,t,1735660041490
P,i,1735660041498
R,i,1735660041500
P,n,1735660041507
R,n,1735660041992
P,g,1735660041995
P,Key.space,1735660041998
R,g,1735660041998
R,Key.space,1735660041998
P,t,1735660042498
R,t,1735660042498
P,o,1735660042508
R,o,1735660042508
P,Key.space,1735660042993
R,Key.space,1735660042995
P,s,1735660044998
R,s,1735660045504
P,p,1735660045504
R,p,1735660045504
P,e,1735660046490
R,e,1735660046497
P,a,1735660046498
R,a,1735660046558
P,k,1735660046997
R,k,1735660046998
P,Key.space,1735660047053
R,Key.space,1735660047498
P,f,1735660047534
R,f,1735660047989
P,p,1735660047990
P,o,1735660047991
R,p,1735660047991
R,o,1735660047991
P,Key.backspace,1735660049078
R,Key.backspace,1735660049488
P,Key.backspace,1735660049496
R,Key.backspace,1735660049497
P,Key.backspace,1735660049499
R,Key.backspace,1735660049534
P,f,1735660053989
R,f,1735660053993
P,o,1735660053998
R,o,1735660053998
P,r,1735660053998
R,r,1735660054079
P,Key.space,1735660054497
R,Key.space,1735660054498
P,r,1735660058502
R,r,1735660058503
P,u,1735660058993
R,u,1735660058997
P,s,1735660058997
R,s,1735660059038
P,s,1735660059497
P,i,1735660059498
R,s,1735660059498
R,i,1735660059501
P,a,1735660059501
R,a,1735660059987
P,Key.space,1735660059990
R,Key.space,1735660059996
P,a,1735660059998
P,n,1735660060067
R,a,1735660060496
R,n,1735660060496
P,d,1735660060496
P,Key.space,1735660060496
R,d,1735660060499
R,Key.space,1735660060531
P,u,1735660062072
R,u,1735660062490
P,g,1735660063053
R,g,1735660063497
P,r,1735660063542
R,r,1735660063989
P,a,1735660063997
R,a,1735660063999
P,i,1735660063999
R,i,1735660064052
P,n,1735660064504
R,n,1735660064504
P,Key.space,1735660064506
R,Key.space,1735660064583
P,w,1735660065998
R,w,1735660066014
P,a,1735660066490
R,a,1735660066498
P,r,1735660066508
R,r,1735660066508
P,Key.space,1735660066538
R,Key.space,1735660066996
P,t,1735660070985
R,t,1735660070994
P,o,1735660071010
R,o,1735660071010
P,Key.space,1735660071038
R,Key.space,1735660071504
P,s,1735660072498
R,s,1735660072498
P,o,1735660072498
R,o,1735660072518
P,l,1735660072997
R,l,1735660072997
P,v,1735660072997
R,v,1735660073494
P,e,1735660073496
P,Key.space,1735660073497
R,e,1735660073500
R,Key.space,1735660073500
P,t,1735660073518
P,h,1735660073993
R,t,1735660073996
R,h,1735660073996
P,e,1735660073997
P,Key.space,1735660073999
R,e,1735660073999
R,Key.space,1735660074078
P,p,1735660074999
R,p,1735660075058
P,r,1735660075493
R,r,1735660075497
P,o,1735660075497
R,o,1735660075988
P,b,1735660076998
R,b,1735660077497
P,l,1735660077498
R,l,1735660077993
P,e,1735660077997
P,m,1735660077998
R,e,1735660077998
R,m,1735660078001
P,Key.space,1735660078084
R,Key.space,1735660078497
P,a,1735660078997
R,a,1735660078998
P,n,1735660078999
R,n,1735660079059
P,d,1735660079088
R,d,1735660079497
P,Key.space,1735660079497
R,Key.space,1735660079497
P,s,1735660079995
R,s,1735660079996
P,r,1735660080028
R,r,1735660080488
P,Key.backspace,1735660081499
R,Key.backspace,1735660082013
P,t,1735660082016
R,t,1735660082025
P,e,1735660082025
R,e,1735660082078
P,p,1735660082497
R,p,1735660082499
P,Key.space,1735660082533
R,Key.space,1735660082997
P,t,1735660083549
R,t,1735660083996
P,o,1735660083997
R,o,1735660083999
P,Key.space,1735660084064
R,Key.space,1735660084497
P,a,1735660084497
R,a,1735660084498
P,g,1735660085083
R,g,1735660085495
P,a,1735660085496
R,a,1735660085497
P,i,1735660085518
R,i,1735660085997
P,n,1735660085997
R,n,1735660085999
P,s,1735660086498
R,s,1735660086499
P,t,1735660086533
P,Key.space,1735660086996
R,t,1735660086997
R,Key.space,1735660086997
P,f,1735660087498
R,f,1735660087499
P,o,1735660087529
R,o,1735660087530
P,r,1735660087989
R,r,1735660087993
P,Key.space,1735660087996
R,Key.space,1735660087997
P,t,1735660087997
R,t,1735660088038
P,h,1735660088497
R,h,1735660088497
P,e,1735660090497
R,e,1735660090498
P,m,1735660090538
R,m,1735660090997
P,Key.space,1735660090997
R,Key.space,1735660090998
P,r,1735660091498
R,r,1735660091498
P,u,1735660091501
R,u,1735660091531
P,s,1735660091993
R,s,1735660091996
P,s,1735660091997
R,s,1735660092038
P,i,1735660092049
R,i,1735660092497
P,a,1735660092499
R,a,1735660092997
P,.,1735660093569
R,.,1735660093989
P,Key.space,1735660093996
R,Key.space,1735660093999
P,t,1735660094497
P,h,1735660094498
R,t,1735660094498
R,h,1735660094498
P,e,1735660094498
R,e,1735660094577
P,Key.space,1735660094997
R,Key.space,1735660094998
P,Key.backspace,1735660096498
R,Key.backspace,1735660096499
P,Key.backspace,1735660096499
R,Key.backspace,1735660096573
P,e,1735660097998
R,e,1735660098494
P,y,1735660098496
R,y,1735660098497
P,Key.space,1735660098568
R,Key.space,1735660098995
P,s,1735660100033
R,s,1735660100492
P,u,1735660100496
R,u,1735660100499
P,b,1735660105995
R,b,1735660106011
P,f,1735660106498
R,f,1735660106499
P,o,1735660107005
R,o,1735660107005
P,r,1735660107005
R,r,1735660107006
P,t,1735660107006
R,t,1735660107032
P,Key.space,1735660107052
R,Key.space,1735660107498
P,t,1735660108497
R,t,1735660108996
P,o,1735660108996
R,o,1735660108997
P,Key.space,1735660109027
R,Key.space,1735660109495
P,t,1735660109496
P,h,1735660109496
R,t,1735660109496
R,h,1735660109499
P,e,1735660109500
R,e,1735660109987
P,Key.space,1735660109995
R,Key.space,1735660109996
P,u,1735660113496
R,u,1735660113496
P,s,1735660113996
R,s,1735660113996
P,Key.backspace,1735660114498
R,Key.backspace,1735660114578
P,s,1735660116498
R,s,1735660116499
P,a,1735660116500
R,a,1735660116988
P,Key.space,1735660116996
R,Key.space,1735660116997
P,f,1735660117490
R,f,1735660117498
P,o,1735660117499
R,o,1735660117499
P,r,1735660117499
P,Key.space,1735660117532
R,r,1735660117572
R,Key.space,1735660117989
P,u,1735660119075
R,u,1735660119497
P,g,1735660119994
R,g,1735660119997
P,r,1735660120497
R,r,1735660120498
P,a,1735660120498
R,a,1735660120501
P,i,1735660120993
R,i,1735660120997
P,n,1735660120998
R,n,1735660121027
P,Key.space,1735660121488
R,Key.space,1735660121496
P,t,1735660122035
R,t,1735660122496
P,o,1735660122497
R,o,1735660122499
P,Key.space,1735660122503
R,Key.space,1735660122993
P,m,1735660122998
R,m,1735660123001
P,e,1735660123038
R,e,1735660123494
P,r,1735660123584
R,r,1735660123993
P,Key.space,1735660124004
R,Key.space,1735660124005
P,Key.backspace,1735660125058
R,Key.backspace,1735660125496
P,Key.backspace,1735660125496
R,Key.backspace,1735660125499
P,t,1735660126507
R,t,1735660126577
P,Key.space,1735660126993
R,Key.space,1735660126997
P,t,1735660127493
P,o,1735660127497
R,t,1735660127498
R,o,1735660127500
P,Key.space,1735660127529
R,Key.space,1735660127993
P,Key.backspace,1735660129024
R,Key.backspace,1735660129496
P,Key.backspace,1735660129497
R,Key.backspace,1735660129498
P,Key.backspace,1735660129500
R,Key.backspace,1735660129500
P,Key.backspace,1735660130052
R,Key.backspace,1735660130503
P,Key.space,1735660131049
R,Key.space,1735660131514
P,a,1735660131514
R,a,1735660131532
P,n,1735660131996
R,n,1735660131996
P,d,1735660131996
R,d,1735660131997
P,Key.space,1735660131999
R,Key.space,1735660132000
P,u,1735660133003
R,u,1735660133493
P,s,1735660133496
R,s,1735660133499
P,e,1735660134497
R,e,1735660134497
P,f,1735660134997
R,f,1735660135007
P,u,1735660135498
R,u,1735660135500
P,l,1735660136999
R,l,1735660137490
P,Key.space,1735660137497
R,Key.space,1735660137500
P,f,1735660137548
R,f,1735660137996
P,p,1735660137997
P,o,1735660137997
R,o,1735660137997
R,p,1735660137997
P,Key.backspace,1735660139553
R,Key.backspace,1735660139993
P,Key.backspace,1735660139996
R,Key.backspace,1735660139997
P,o,1735660141498
R,o,1735660141501
P,r,1735660141993
P,Key.space,1735660141997
R,r,1735660141997
R,Key.space,1735660141997
P,p,1735660142497
R,p,1735660142498
P,e,1735660142554
R,e,1735660142996
P,o,1735660143503
R,o,1735660143528
P,p,1735660143996
R,p,1735660143997
P,l,1735660143999
R,l,1735660144023
P,e,1735660144997
R,e,1735660144998
P,.,1735660145497
R,.,1735660145523
