Press or Release,Key,Time
P,Key.caps_lock,1735660090764
R,Key.caps_lock,1735660090913
P,T,1735660091001
R,T,1735660091154
P,Key.caps_lock,1735660091729
R,Key.caps_lock,1735660091938
P,r,1735660092069
R,r,1735660092169
P,u,1735660092276
R,u,1735660092348
P,e,1735660092417
R,e,1735660092490
P,Key.space,1735660093133
R,Key.space,1735660093280
P,s,1735660093354
R,s,1735660093474
P,t,1735660093530
R,t,1735660093611
P,r,1735660093744
R,r,1735660093833
P,e,1735660093906
R,e,1735660094000
P,n,1735660094129
R,n,1735660094208
P,g,1735660094569
R,g,1735660094688
P,h,1735660094712
R,h,1735660094794
P,t,1735660094824
R,t,1735660094896
P,Key.space,1735660094930
R,Key.space,1735660095112
P,i,1735660095200
R,i,1735660095297
P,s,1735660095336
R,s,1735660095472
P,Key.space,1735660095488
R,Key.space,1735660095745
P,i,1735660095746
R,i,1735660095816
P,n,1735660095912
R,n,1735660096002
P,Key.space,1735660096778
R,Key.space,1735660096976
P,f,1735660097139
R,f,1735660097274
P,a,1735660097280
R,a,1735660097385
P,c,1735660097544
R,c,1735660097688
P,i,1735660097801
R,i,1735660097864
P,n,1735660097952
R,n,1735660098025
P,g,1735660098032
R,g,1735660098152
P,Key.space,1735660098185
R,Key.space,1735660098379
P,o,1735660098465
R,o,1735660098582
P,u,1735660098600
R,u,1735660098672
P,r,1735660098755
R,r,1735660098858
P,Key.space,1735660098898
R,Key.space,1735660099096
P,f,1735660099440
R,f,1735660099642
P,e,1735660099695
R,e,1735660099824
P,a,1735660100025
R,a,1735660100159
P,r,1735660100176
R,r,1735660100296
P,s,1735660100322
R,s,1735660100466
P,Key.space,1735660100496
R,Key.space,1735660100651
P,a,1735660100850
R,a,1735660100960
P,n,1735660101008
R,n,1735660101073
P,d,1735660101130
R,d,1735660101248
P,Key.space,1735660101280
R,Key.space,1735660101464
P,Key.space,1735660119799
R,Key.space,1735660120005
P,o,1735660120129
R,o,1735660120212
P,w,1735660120545
R,w,1735660120663
P,n,1735660121623
R,n,1735660121703
P,i,1735660121827
R,i,1735660121889
P,n,1735660121947
R,n,1735660122017
P,g,1735660122034
R,g,1735660122155
P,Key.space,1735660122168
R,Key.space,1735660122395
P,o,1735660122401
R,o,1735660122504
P,u,1735660122540
R,u,1735660122617
P,r,1735660122666
P,Key.space,1735660122792
R,r,1735660122810
R,Key.space,1735660123031
P,l,1735660123090
R,l,1735660123186
P,i,1735660123248
R,i,1735660123353
P,g,1735660123657
P,h,1735660123790
R,g,1735660123806
R,h,1735660123863
P,t,1735660123919
R,t,1735660123988
P,Key.space,1735660124041
R,Key.space,1735660124135
P,Key.backspace,1735660124679
R,Key.backspace,1735660124767
P,.,1735660125351
R,.,1735660125447
P,Key.caps_lock,1735660125858
R,Key.caps_lock,1735660125983
P,W,1735660126119
R,W,1735660126271
P,Key.caps_lock,1735660126392
R,Key.caps_lock,1735660126496
P,h,1735660126824
R,h,1735660126896
P,e,1735660127071
R,e,1735660127167
P,n,1735660127191
R,n,1735660127263
P,Key.space,1735660127547
R,Key.space,1735660127768
P,w,1735660127874
R,w,1735660127986
