Press or Release,Key,Time
P,Key.shift,1735660025649
P,T,1735660025802
R,T,1735660025952
R,Key.shift,1735660025952
P,h,1735660026176
R,h,1735660026297
P,e,1735660026610
R,e,1735660026825
P,Key.space,1735660026892
R,Key.space,1735660027047
P,Key.backspace,1735660032721
R,Key.backspace,1735660032858
P,Key.backspace,1735660033000
R,Key.backspace,1735660033285
P,a,1735660034644
R,a,1735660034825
P,t,1735660034972
R,t,1735660035101
P,Key.space,1735660035281
R,Key.space,1735660035421
P,g,1735660036178
R,g,1735660036313
P,u,1735660036748
R,u,1735660036846
P,y,1735660036986
R,y,1735660037081
P,Key.space,1735660037240
R,Key.space,1735660037353
P,s,1735660037937
R,s,1735660038146
P,h,1735660038255
R,h,1735660038374
P,a,1735660038546
R,a,1735660038731
P,r,1735660039053
R,r,1735660039200
P,e,1735660039312
R,e,1735660039417
P,d,1735660039575
R,d,1735660039702
P,Key.space,1735660039981
R,Key.space,1735660040077
P,o,1735660041064
R,o,1735660041234
P,u,1735660041701
R,u,1735660041843
P,r,1735660042226
R,r,1735660042317
P,Key.space,1735660042469
R,Key.space,1735660042566
P,l,1735660043237
R,l,1735660043326
P,i,1735660043514
R,i,1735660043642
P,f,1735660044188
R,f,1735660044312
P,e,1735660044450
R,e,1735660044562
P,s,1735660045610
R,s,1735660045806
P,t,1735660046328
R,t,1735660046437
P,y,1735660046563
R,y,1735660046672
P,l,1735660047765
R,l,1735660047936
P,e,1735660048565
R,e,1735660048687
P,Key.space,1735660049012
R,Key.space,1735660049110
P,s,1735660051054
R,s,1735660051271
P,t,1735660052044
R,t,1735660052281
P,o,1735660052672
R,o,1735660052825
P,r,1735660052986
R,r,1735660053237
P,y,1735660053462
R,y,1735660053609
P,Key.space,1735660053928
R,Key.space,1735660054090
P,t,1735660055672
R,t,1735660055830
P,e,1735660056392
R,e,1735660056531
P,l,1735660057012
R,l,1735660057125
P,l,1735660057211
R,l,1735660057329
P,Key.space,1735660057802
R,Key.space,1735660057871
P,i,1735660058424
R,i,1735660058545
P,n,1735660058762
R,n,1735660058905
P,Key.space,1735660059100
R,Key.space,1735660059292
P,o,1735660060151
R,o,1735660060313
P,u,1735660060757
R,u,1735660060890
P,t,1735660061176
R,t,1735660061351
P,Key.space,1735660062566
R,Key.space,1735660062700
P,Key.backspace,1735660066264
R,Key.backspace,1735660066422
P,Key.backspace,1735660067114
R,Key.backspace,1735660067291
P,r,1735660068628
R,r,1735660068808
P,Key.space,1735660068874
R,Key.space,1735660069051
P,e,1735660069493
R,e,1735660069609
P,m,1735660070010
R,m,1735660070140
P,o,1735660070673
R,o,1735660070853
P,t,1735660071117
R,t,1735660071312
P,i,1735660071391
R,i,1735660071523
P,o,1735660071639
R,o,1735660071766
P,n,1735660072034
R,n,1735660072200
P,a,1735660072497
R,a,1735660072749
P,l,1735660072782
R,l,1735660072962
P,Key.space,1735660073409
R,Key.space,1735660073484
P,a,1735660074658
R,a,1735660074832
P,r,1735660075516
R,r,1735660075646
P,r,1735660075733
R,r,1735660075875
P,o,1735660076168
R,o,1735660076360
P,u,1735660076494
R,u,1735660076657
P,n,1735660076847
R,n,1735660076984
P,d,1735660077579
R,d,1735660077736
P,Key.space,1735660077775
R,Key.space,1735660077911
P,Key.backspace,1735660083611
R,Key.backspace,1735660083765
P,p,1735660085923
R,p,1735660086030
P,l,1735660086172
R,l,1735660086312
P,a,1735660086732
R,a,1735660086921
P,Key.backspace,1735660088579
R,Key.backspace,1735660088703
P,Key.backspace,1735660088890
R,Key.backspace,1735660089016
P,e,1735660090109
R,e,1735660090319
P,o,1735660090664
R,o,1735660090780
P,p,1735660090939
R,p,1735660091048
P,l,1735660091174
R,l,1735660091316
P,e,1735660091668
R,e,1735660091869
P,Key.space,1735660098099
R,Key.space,1735660098265
P,a,1735660101375
