Press or Release,Key,Time
P,Key.shift,1735660006523
P,T,1735660006730
P,H,1735660006858
R,T,1735660006906
R,Key.shift,1735660006938
R,H,1735660007050
P,e,1735660007082
R,e,1735660007225
P,Key.space,1735660007242
R,Key.space,1735660007338
P,b,1735660007786
R,b,1735660007930
P,Key.backspace,1735660009514
R,Key.backspace,1735660009594
P,Key.backspace,1735660009706
R,Key.backspace,1735660009786
P,Key.backspace,1735660010602
R,Key.backspace,1735660010682
P,Key.backspace,1735660010810
R,Key.backspace,1735660010874
P,h,1735660011787
R,h,1735660011898
P,e,1735660011978
R,e,1735660012058
P,Key.space,1735660012090
R,Key.space,1735660012233
P,b,1735660012347
R,b,1735660012490
P,o,1735660012586
P,y,1735660012714
R,o,1735660012730
R,y,1735660012842
P,Key.space,1735660012938
R,Key.space,1735660013050
P,s,1735660013946
R,s,1735660014122
P,p,1735660014186
R,p,1735660014266
P,p,1735660014362
R,p,1735660014458
P,e,1735660014506
R,e,1735660014570
P,c,1735660014746
R,c,1735660014794
P,Key.backspace,1735660015578
R,Key.backspace,1735660015658
P,Key.backspace,1735660015754
R,Key.backspace,1735660015818
P,Key.backspace,1735660015914
R,Key.backspace,1735660015994
P,Key.backspace,1735660016090
R,Key.backspace,1735660016154
P,Key.backspace,1735660016298
R,Key.backspace,1735660016426
P,s,1735660017178
R,s,1735660017355
P,t,1735660017530
R,t,1735660017674
P,a,1735660017754
P,n,1735660017898
R,a,1735660017931
P,d,1735660018010
R,n,1735660018027
R,d,1735660018122
P,Key.space,1735660018155
R,Key.space,1735660018266
P,s,1735660019386
R,s,1735660019530
P,p,1735660019610
R,p,1735660019738
P,o,1735660020138
R,o,1735660020234
P,k,1735660020330
R,k,1735660020458
P,e,1735660020474
R,e,1735660020554
P,Key.space,1735660020619
R,Key.space,1735660020698
P,b,1735660020890
R,b,1735660021002
P,o,1735660021098
R,o,1735660021210
P,l,1735660021354
R,l,1735660021482
P,d,1735660021498
R,d,1735660021594
P,Key.space,1735660021658
R,Key.space,1735660021754
P,a,1735660021882
P,b,1735660021978
R,a,1735660022042
R,b,1735660022090
P,o,1735660022203
P,u,1735660022362
R,o,1735660022394
R,u,1735660022490
P,t,1735660022538
P,Key.space,1735660022650
R,t,1735660022683
R,Key.space,1735660022794
P,f,1735660022826
R,f,1735660022986
P,e,1735660023114
R,e,1735660023194
P,a,1735660023290
P,r,1735660023434
R,a,1735660023450
R,r,1735660023562
P,Key.space,1735660023626
R,Key.space,1735660023706
P,i,1735660024170
R,i,1735660024283
P,s,1735660024346
R,s,1735660024490
P,Key.space,1735660024506
R,Key.space,1735660024586
P,v,1735660024650
R,v,1735660024778
P,e,1735660024890
R,e,1735660025002
P,r,1735660025002
R,r,1735660025130
P,y,1735660025147
R,y,1735660025258
P,Key.space,1735660025371
R,Key.space,1735660025434
P,a,1735660025610
R,a,1735660025738
P,p,1735660025850
R,p,1735660025931
P,p,1735660026042
R,p,1735660026155
P,r,1735660026187
P,e,1735660026331
R,r,1735660026378
R,e,1735660026410
P,c,1735660026538
R,c,1735660026682
P,i,1735660026779
P,a,1735660026826
R,i,1735660026906
P,t,1735660027002
R,a,1735660027018
R,t,1735660027147
P,e,1735660027226
R,e,1735660027355
P,Key.space,1735660027578
R,Key.space,1735660027722
P,a,1735660027739
P,b,1735660027851
R,a,1735660027898
R,b,1735660027962
P,l,1735660028106
R,l,1735660028202
P,e,1735660028234
R,e,1735660028330
P,.,1735660028650
R,.,1735660028762
P,Key.space,1735660029194
R,Key.space,1735660029275
P,Key.shift,1735660029419
P,T,1735660029594
R,Key.shift,1735660029659
R,T,1735660029754
P,h,1735660029754
R,h,1735660029850
P,e,1735660029914
R,e,1735660030010
P,Key.space,1735660030042
R,Key.space,1735660030123
P,e,1735660030378
R,e,1735660030523
P,v,1735660030603
R,v,1735660030714
P,e,1735660030795
R,e,1735660030938
P,n,1735660031034
R,n,1735660031115
P,Key.space,1735660031274
R,Key.space,1735660031370
P,p,1735660032011
R,p,1735660032170
P,r,1735660032219
R,r,1735660032346
P,o,1735660032410
R,o,1735660032555
P,f,1735660032634
R,f,1735660032762
P,f,1735660032922
R,f,1735660033018
P,e,1735660033131
R,e,1735660033211
P,s,1735660033340
R,s,1735660033418
P,s,1735660033531
R,s,1735660033626
P,o,1735660033739
R,o,1735660033866
P,r,1735660033914
R,r,1735660034010
P,Key.space,1735660034106
R,Key.space,1735660034154
P,i,1735660034603
R,i,1735660034699
P,Key.backspace,1735660038027
R,Key.backspace,1735660038122
P,t,1735660039450
R,t,1735660039594
P,s,1735660039658
R,s,1735660039803
P,e,1735660039899
R,e,1735660040043
P,l,1735660040155
R,l,1735660040298
P,f,1735660040331
R,f,1735660040442
P,Key.space,1735660040538
R,Key.space,1735660040634
P,s,1735660040971
R,s,1735660041130
P,h,1735660041179
R,h,1735660041290
P,o,1735660041354
R,o,1735660041482
P,c,1735660041514
R,c,1735660041659
P,k,1735660041659
R,k,1735660041787
P,Key.space,1735660041867
R,Key.space,1735660041946
P,a,1735660042027
P,n,1735660042171
R,a,1735660042186
R,n,1735660042266
P,d,1735660042331
R,d,1735660042443
P,Key.space,1735660042443
R,Key.space,1735660042571
P,i,1735660051484
R,i,1735660051563
P,m,1735660051739
R,m,1735660051851
P,p,1735660051995
R,p,1735660052091
P,r,1735660052539
R,r,1735660052683
P,e,1735660052763
R,e,1735660052859
P,s,1735660053419
R,s,1735660053499
P,s,1735660053595
R,s,1735660053739
P,e,1735660053755
R,e,1735660053868
P,d,1735660053964
R,d,1735660054075
P,Key.space,1735660054155
R,Key.space,1735660054251
P,i,1735660054379
R,i,1735660054508
P,n,1735660054667
R,n,1735660054795
P,Key.space,1735660054843
R,Key.space,1735660054939
P,h,1735660054971
R,h,1735660055083
P,i,1735660055131
R,i,1735660055243
P,s,1735660055259
P,Key.space,1735660055388
R,s,1735660055419
R,Key.space,1735660055499
P,w,1735660056124
P,o,1735660056266
R,w,1735660056282
R,o,1735660056378
P,r,1735660056442
R,r,1735660056571
P,d,1735660056683
R,d,1735660056779
P,s,1735660056922
R,s,1735660057051
P,Key.space,1735660057372
R,Key.space,1735660057499
P,t,1735660058492
R,t,1735660058587
P,o,1735660058620
R,o,1735660058699
P,Key.space,1735660058811
R,Key.space,1735660059003
P,m,1735660059003
R,m,1735660059115
P,a,1735660059131
P,k,1735660059259
R,a,1735660059291
R,k,1735660059355
