Press or Release,Key,Time
P,h,1735660007920
R,h,1735660007990
P,i,1735660008140
R,i,1735660008231
P,i,1735660008310
R,i,1735660008400
P,Key.comma,1735660010021
R,Key.comma,1735660010093
P,Key.caps_lock,1735660010664
R,Key.caps_lock,1735660010760
P,I,1735660011222
R,I,1735660011226
P,Key.space,1735660011440
R,Key.space,1735660011532
P,W,1735660011921
R,W,1735660012002
P,A,1735660012110
R,A,1735660012212
P,S,1735660012720
R,S,1735660012793
P,Key.space,1735660012902
R,Key.space,1735660012994
P,T,1735660013330
R,T,1735660013411
P,G,1735660013540
R,G,1735660013621
P,Key.backspace,1735660015570
R,Key.backspace,1735660015629
P,Key.backspace,1735660015760
R,Key.backspace,1735660015811
P,Key.backspace,1735660015941
R,Key.backspace,1735660015990
P,Key.backspace,1735660016100
R,Key.backspace,1735660016162
P,Key.backspace,1735660016240
R,Key.backspace,1735660016300
P,Key.backspace,1735660016392
R,Key.backspace,1735660016451
P,Key.backspace,1735660016572
R,Key.backspace,1735660016628
P,Key.backspace,1735660016710
R,Key.backspace,1735660016769
P,Key.caps_lock,1735660018261
R,Key.caps_lock,1735660018412
P,i,1735660018960
R,i,1735660019042
P,Key.space,1735660019200
R,Key.space,1735660019303
P,w,1735660019770
R,w,1735660019842
P,a,1735660020453
R,a,1735660020539
P,s,1735660020661
R,s,1735660020771
P,Key.space,1735660020872
R,Key.space,1735660020971
P,Key.backspace,1735660022252
R,Key.backspace,1735660022322
P,Key.backspace,1735660022440
R,Key.backspace,1735660022531
P,t,1735660023635
R,t,1735660023713
P,c,1735660023950
R,c,1735660024030
P,h,1735660024633
R,h,1735660024709
P,Key.space,1735660025002
R,Key.space,1735660025091
P,t,1735660025354
R,t,1735660025421
P,h,1735660025550
R,h,1735660025622
P,e,1735660025762
R,e,1735660025860
P,Key.space,1735660025912
R,Key.space,1735660026002
P,v,1735660026841
R,v,1735660026970
P,i,1735660027125
R,i,1735660027201
P,d,1735660027409
R,d,1735660027490
P,e,1735660027612
R,e,1735660027731
P,o,1735660028081
R,o,1735660028132
P,Key.space,1735660028261
R,Key.space,1735660028371
P,o,1735660029371
R,o,1735660029430
P,f,1735660029654
R,f,1735660029732
P,Key.space,1735660029821
R,Key.space,1735660029930
P,u,1735660031504
R,u,1735660031569
P,.,1735660032241
R,.,1735660032332
P,s,1735660032649
R,s,1735660032771
P,.,1735660033193
R,.,1735660033242
P,Key.backspace,1735660034300
R,Key.backspace,1735660034382
P,p,1735660034800
R,p,1735660034892
P,r,1735660035415
R,r,1735660035439
P,e,1735660036910
R,e,1735660037045
P,s,1735660037354
R,s,1735660037433
P,i,1735660037743
R,i,1735660037852
P,d,1735660037990
R,d,1735660038070
P,e,1735660038209
R,e,1735660038320
P,n,1735660038491
R,n,1735660038570
P,t,1735660038950
R,t,1735660039041
P,Key.space,1735660040482
R,Key.space,1735660040652
P,d,1735660041992
R,d,1735660042101
P,o,1735660042282
R,o,1735660042360
P,n,1735660042581
R,n,1735660042671
P,a,1735660042833
R,a,1735660042932
P,l,1735660043385
R,l,1735660043480
P,d,1735660043923
R,d,1735660043992
P,Key.space,1735660044250
R,Key.space,1735660044351
P,a,1735660044542
R,a,1735660044632
P,n,1735660044980
R,n,1735660045063
P,d,1735660045572
R,d,1735660045661
P,Key.space,1735660045751
R,Key.space,1735660045871
P,v,1735660046312
R,v,1735660046410
P,i,1735660046531
R,i,1735660046619
P,c,1735660047731
R,c,1735660047801
P,e,1735660048260
R,e,1735660048481
P,Key.space,1735660048861
R,Key.space,1735660048980
P,p,1735660049410
R,p,1735660049513
P,r,1735660049830
R,r,1735660049891
P,e,1735660050311
R,e,1735660050431
P,s,1735660051301
R,s,1735660051423
P,i,1735660051541
R,i,1735660051624
P,d,1735660051812
R,d,1735660051894
P,e,1735660052033
R,e,1735660052113
P,n,1735660052392
R,n,1735660052443
P,t,1735660052713
R,t,1735660052790
P,Key.space,1735660052953
R,Key.space,1735660053059
P,Key.caps_lock,1735660055233
R,Key.caps_lock,1735660055363
P,J,1735660055581
R,J,1735660055682
P,Key.caps_lock,1735660055790
