Press or Release,Key,Time
P,Key.ctrl,1735660024225
R,Key.ctrl,1735660024548
P,i,1735660025882
P,Key.backspace,1735660025907
R,Key.backspace,1735660025909
R,i,1735660025909
P,Key.shift,1735660025910
P,T,1735660025910
R,T,1735660025911
R,Key.shift,1735660025911
P,h,1735660026063
R,h,1735660026064
P,a,1735660026199
R,a,1735660026200
P,t,1735660026343
R,t,1735660026344
P,Key.space,1735660026489
R,Key.space,1735660026491
P,m,1735660026618
R,m,1735660026620
P,e,1735660026766
R,e,1735660026767
P,e,1735660026902
R,e,1735660026904
P,t,1735660027041
R,t,1735660027043
P,i,1735660027184
R,i,1735660027185
P,n,1735660027324
R,n,1735660027325
P,g,1735660027462
R,g,1735660027463
P,Key.space,1735660027604
R,Key.space,1735660027606
P,c,1735660027745
R,c,1735660027747
P,a,1735660027883
R,a,1735660027885
P,p,1735660028032
R,p,1735660028034
P,t,1735660028172
R,t,1735660028174
P,u,1735660028307
R,u,1735660028308
P,r,1735660028445
R,r,1735660028446
P,e,1735660029306
R,e,1735660029308
P,d,1735660029308
R,d,1735660029310
P,Key.space,1735660029310
R,Key.space,1735660029311
P,t,1735660029312
R,t,1735660029313
P,h,1735660029313
R,h,1735660029315
P,e,1735660029315
R,e,1735660029316
P,Key.space,1735660029429
R,Key.space,1735660029431
P,s,1735660029585
R,s,1735660029587
P,e,1735660029716
R,e,1735660029717
P,r,1735660029851
R,r,1735660029853
P,i,1735660029991
R,i,1735660029992
P,o,1735660030136
R,o,1735660030138
P,u,1735660030275
R,u,1735660030277
P,s,1735660030414
R,s,1735660030416
P,Key.space,1735660030573
R,Key.space,1735660030575
P,t,1735660030710
R,t,1735660030713
P,o,1735660030838
R,o,1735660030839
P,n,1735660030977
R,n,1735660030979
P,e,1735660031121
R,e,1735660031122
P,Key.space,1735660031260
R,Key.space,1735660031262
P,o,1735660031399
R,o,1735660031401
P,f,1735660031540
R,f,1735660031542
P,Key.space,1735660031683
R,Key.space,1735660031685
P,g,1735660031823
R,g,1735660031824
