Press or Release,Key,Time
P,Key.shift,1735660015039
P,A,1735660015158
R,Key.shift,1735660015285
R,A,1735660015341
P,Key.space,1735660015813
R,Key.space,1735660015982
P,s,1735660016109
P,i,1735660016254
R,s,1735660016293
R,i,1735660016374
P,n,1735660016455
R,n,1735660016598
P,g,1735660016638
R,g,1735660016790
P,l,1735660016790
R,l,1735660016934
P,e,1735660017006
P,Key.space,1735660017142
R,e,1735660017206
R,Key.space,1735660017294
P,j,1735660017406
R,j,1735660017526
P,o,1735660017582
R,o,1735660017735
P,k,1735660017790
P,e,1735660017934
R,k,1735660017942
P,Key.space,1735660018039
R,e,1735660018145
R,Key.space,1735660018190
P,s,1735660018272
R,s,1735660018446
P,p,1735660018526
R,p,1735660018696
P,a,1735660018702
R,a,1735660018830
P,r,1735660018894
R,r,1735660019013
P,k,1735660019038
R,k,1735660019189
P,e,1735660019214
R,e,1735660019334
P,d,1735660019446
P,Key.space,1735660019590
R,d,1735660019616
R,Key.space,1735660019742
P,a,1735660019759
P,Key.space,1735660019886
R,a,1735660019918
R,Key.space,1735660020014
P,m,1735660020102
R,m,1735660020224
P,o,1735660020313
R,o,1735660020454
P,m,1735660020526
R,m,1735660020654
P,e,1735660020702
P,n,1735660020840
R,e,1735660020862
R,n,1735660020966
P,t,1735660020982
P,Key.space,1735660021111
R,t,1735660021158
R,Key.space,1735660021271
P,t,1735660021286
P,h,1735660021432
R,t,1735660021446
P,a,1735660021534
R,h,1735660021573
R,a,1735660021678
P,t,1735660021742
R,t,1735660021911
P,Key.space,1735660021911
P,s,1735660022037
R,Key.space,1735660022078
R,s,1735660022165
P,t,1735660022238
R,t,1735660022422
P,u,1735660022453
R,u,1735660022566
P,n,1735660022678
R,n,1735660022765
P,n,1735660022862
R,n,1735660022974
P,e,1735660023000
R,e,1735660023086
P,d,1735660023199
R,d,1735660023362
P,Key.space,1735660023382
P,t,1735660023503
R,Key.space,1735660023542
R,t,1735660023677
P,h,1735660023677
P,e,1735660023766
R,h,1735660023790
R,e,1735660023934
P,Key.space,1735660023950
R,Key.space,1735660024078
P,w,1735660024102
P,o,1735660024269
R,w,1735660024274
R,o,1735660024406
P,r,1735660024406
R,r,1735660024565
P,l,1735660024582
R,l,1735660024734
P,d,1735660024734
R,d,1735660024889
