Press or Release,Key,Time
P,Key.caps_lock,1735660006903
R,Key.caps_lock,1735660006981
P,A,1735660007231
R,A,1735660007290
P,Key.caps_lock,1735660007995
R,Key.caps_lock,1735660008088
P,l,1735660008701
R,l,1735660008788
P,l,1735660008850
R,l,1735660008971
P,Key.space,1735660009084
R,Key.space,1735660009252
P,s,1735660009282
R,s,1735660009372
P,t,1735660009564
R,t,1735660009655
P,u,1735660009817
R,u,1735660009921
P,d,1735660010403
R,d,1735660010488
P,e,1735660010583
R,e,1735660010630
P,n,1735660011005
R,n,1735660011072
P,t,1735660011249
R,t,1735660011321
P,s,1735660011468
R,s,1735660011556
P,Key.space,1735660011668
R,Key.space,1735660011818
P,a,1735660014382
P,r,1735660014438
R,a,1735660014568
R,r,1735660014584
P,e,1735660014700
R,e,1735660014772
P,Key.space,1735660014981
R,Key.space,1735660015071
P,d,1735660015808
R,d,1735660015937
P,i,1735660016189
R,i,1735660016263
P,s,1735660016382
R,s,1735660016487
P,r,1735660016972
R,r,1735660017071
P,e,1735660017201
R,e,1735660017287
P,s,1735660017432
R,s,1735660017567
P,p,1735660017728
R,p,1735660017781
P,e,1735660018281
R,e,1735660018370
P,c,1735660018501
R,c,1735660018572
P,t,1735660018702
R,t,1735660018771
P,Key.space,1735660018850
R,Key.space,1735660019001
P,t,1735660019100
R,t,1735660019157
P,h,1735660019250
R,h,1735660019353
P,e,1735660019400
R,e,1735660019487
P,Key.space,1735660019549
R,Key.space,1735660019639
P,c,1735660020469
R,c,1735660020555
P,o,1735660020779
R,o,1735660020839
P,a,1735660020985
R,a,1735660021049
P,c,1735660021249
R,c,1735660021354
P,h,1735660021639
R,h,1735660021738
P,Key.space,1735660021821
R,Key.space,1735660021889
P,b,1735660024195
R,b,1735660024272
P,u,1735660024541
R,u,1735660024606
P,t,1735660024830
R,t,1735660025025
P,Key.space,1735660025067
R,Key.space,1735660025218
P,o,1735660025859
R,o,1735660026016
P,n,1735660026271
R,n,1735660026355
P,e,1735660026531
R,e,1735660026668
P,Key.space,1735660026700
R,Key.space,1735660026819
P,s,1735660026917
R,s,1735660027065
P,t,1735660027149
R,t,1735660027238
P,u,1735660027370
R,u,1735660027471
P,d,1735660027678
R,d,1735660027773
P,e,1735660027901
R,e,1735660027960
P,n,1735660028034
R,n,1735660028102
P,t,1735660028282
