Press or Release,Key,Time
P,Key.ctrl,1735660002646
P,g,1735660003648
P,Key.shift,1735660015491
P,Key.down,1735660016590
R,Key.down,1735660016768
P,Key.down,1735660016910
R,Key.down,1735660017006
P,Key.down,1735660017199
R,Key.down,1735660017263
P,Key.down,1735660017666
R,Key.down,1735660017790
P,Key.down,1735660017951
R,Key.down,1735660018063
P,Key.down,1735660018191
R,Key.down,1735660018304
R,Key.shift,1735660018993
P,x,1735660021088
R,x,1735660021297
R,Key.ctrl,1735660021314
P,Key.backspace,1735660023073
R,Key.backspace,1735660023231
P,Key.up,1735660026497
R,Key.up,1735660026607
P,Key.up,1735660026703
R,Key.up,1735660026799
P,Key.up,1735660026895
R,Key.up,1735660026975
P,Key.up,1735660027056
R,Key.up,1735660027151
P,Key.up,1735660027215
R,Key.up,1735660027327
P,Key.down,1735660028559
R,Key.down,1735660028751
P,Key.down,1735660028874
R,Key.down,1735660028992
P,Key.down,1735660029104
R,Key.down,1735660029231
P,Key.down,1735660029583
R,Key.down,1735660029728
