Press or Release,Key,Time
P,Key.caps_lock,1735660022516
R,Key.caps_lock,1735660022674
P,Y,1735660022682
R,Y,1735660022770
P,Key.caps_lock,1735660022907
R,Key.caps_lock,1735660023040
P,o,1735660023097
R,o,1735660023211
P,u,1735660023248
R,u,1735660023336
P,Key.space,1735660024377
R,Key.space,1735660024577
P,t,1735660024595
R,t,1735660024740
P,a,1735660024779
R,a,1735660024929
P,u,1735660025507
R,u,1735660025585
P,g,1735660025906
P,h,1735660026010
R,g,1735660026033
R,h,1735660026074
P,t,1735660026173
R,t,1735660026241
P,Key.space,1735660026265
R,Key.space,1735660026465
P,u,1735660026485
R,u,1735660026563
P,s,1735660026603
R,s,1735660026749
P,Key.space,1735660026769
P,t,1735660026978
R,Key.space,1735660027003
R,t,1735660027148
P,o,1735660027156
R,o,1735660027233
P,Key.space,1735660027330
R,Key.space,1735660027531
P,s,1735660027556
R,s,1735660027684
P,t,1735660027699
P,o,1735660027755
R,t,1735660027818
R,o,1735660027865
P,p,1735660027955
R,p,1735660028044
P,Key.space,1735660028105
R,Key.space,1735660028282
P,h,1735660028422
R,h,1735660028490
P,i,1735660028569
R,i,1735660028643
P,d,1735660028849
R,d,1735660029001
P,i,1735660029057
R,i,1735660029137
P,n,1735660029201
P,g,1735660029265
R,n,1735660029292
R,g,1735660029371
P,Key.space,1735660029394
P,a,1735660029580
R,Key.space,1735660029601
R,a,1735660029723
P,n,1735660029729
R,n,1735660029785
P,d,1735660029882
R,d,1735660030009
P,Key.space,1735660033849
R,Key.space,1735660034035
P,s,1735660034083
R,s,1735660034208
P,t,1735660034234
R,t,1735660034339
P,a,1735660034545
P,r,1735660034697
R,a,1735660034715
R,r,1735660034800
P,t,1735660034913
R,t,1735660034994
P,Key.space,1735660035041
R,Key.space,1735660035193
P,b,1735660035329
R,b,1735660035449
P,e,1735660035610
R,e,1735660035713
P,l,1735660035771
R,l,1735660035848
P,i,1735660035922
R,i,1735660035995
P,e,1735660036040
R,e,1735660036145
P,v,1735660036337
R,v,1735660036467
P,i,1735660036472
R,i,1735660036537
P,n,1735660036604
P,g,1735660036681
