Press or Release,Key,Time
P,Key.shift,1735660003014
P,A,1735660003095
R,A,1735660003248
R,Key.shift,1735660003281
P,Key.space,1735660003559
R,Key.space,1735660003709
P,j,1735660004133
R,j,1735660004240
P,o,1735660004256
R,o,1735660004381
P,k,1735660004502
R,k,1735660004603
P,e,1735660004622
P,Key.space,1735660004741
R,e,1735660004782
R,Key.space,1735660004862
P,a,1735660004880
P,Key.space,1735660005038
R,a,1735660005062
R,Key.space,1735660005119
P,Key.backspace,1735660005366
R,Key.backspace,1735660005494
P,Key.backspace,1735660005598
R,Key.backspace,1735660005687
P,Key.backspace,1735660005788
R,Key.backspace,1735660005928
P,Key.comma,1735660006472
R,Key.comma,1735660006592
P,Key.space,1735660006694
R,Key.space,1735660006807
P,a,1735660007547
R,a,1735660007710
P,Key.space,1735660007734
R,Key.space,1735660007881
P,r,1735660007964
R,r,1735660008126
P,e,1735660008193
R,e,1735660008325
P,a,1735660008381
R,a,1735660008509
P,c,1735660008657
R,c,1735660008766
P,t,1735660008950
R,t,1735660009101
P,i,1735660009166
P,o,1735660009309
R,i,1735660009333
R,o,1735660009519
P,n,1735660009519
R,n,1735660009646
P,Key.comma,1735660009863
R,Key.comma,1735660009998
P,Key.space,1735660010038
R,Key.space,1735660010167
P,a,1735660010168
P,n,1735660010278
R,a,1735660010326
R,n,1735660010406
P,d,1735660010431
P,Key.space,1735660010558
R,d,1735660010598
R,Key.space,1735660010686
P,a,1735660010846
P,Key.space,1735660010998
R,a,1735660011006
R,Key.space,1735660011128
P,s,1735660011207
R,s,1735660011359
P,l,1735660011382
R,l,1735660011538
P,a,1735660011542
R,a,1735660011710
P,p,1735660011711
R,p,1735660011862
P,Key.space,1735660011942
R,Key.space,1735660012054
P,h,1735660012174
R,h,1735660012289
P,e,1735660012327
R,e,1735660012462
P,a,1735660012462
R,a,1735660012630
P,r,1735660012686
R,r,1735660012838
P,d,1735660013086
R,d,1735660013193
P,Key.space,1735660014866
R,Key.space,1735660014990
P,a,1735660015070
R,a,1735660015166
P,r,1735660015238
R,r,1735660015390
P,o,1735660015430
P,u,1735660015527
R,o,1735660015573
R,u,1735660015654
P,n,1735660015774
R,n,1735660015918
P,d,1735660016271
R,d,1735660016432
P,Key.space,1735660016432
R,Key.space,1735660016567
P,t,1735660016607
P,h,1735660016743
R,t,1735660016782
R,h,1735660016905
P,e,1735660016905
R,e,1735660017045
P,Key.space,1735660017070
R,Key.space,1735660017239
P,w,1735660017518
R,w,1735660017694
P,o,1735660017726
R,o,1735660017886
P,r,1735660017895
R,r,1735660018065
P,l,1735660018254
R,l,1735660018398
P,d,1735660018398
R,d,1735660018550
P,Key.space,1735660019470
R,Key.space,1735660019606
P,t,1735660019678
P,h,1735660019758
R,t,1735660019854
R,h,1735660019894
P,i,1735660019894
P,s,1735660019974
R,i,1735660020022
R,s,1735660020158
P,Key.space,1735660020294
R,Key.space,1735660020438
P,m,1735660020495
R,m,1735660020646
P,o,1735660020766
R,o,1735660020910
P,m,1735660021022
R,m,1735660021158
P,e,1735660021214
P,n,1735660021358
