Press or Release,Key,Time
P,Key.caps_lock,1735660038291
R,Key.caps_lock,1735660038425
P,T,1735660038457
R,T,1735660038569
P,Key.caps_lock,1735660038671
R,Key.caps_lock,1735660038808
P,h,1735660038895
R,h,1735660038977
P,i,1735660039026
R,i,1735660039112
P,s,1735660039186
R,s,1735660039289
P,Key.space,1735660039425
R,Key.space,1735660039594
P,e,1735660039815
R,e,1735660039919
P,c,1735660040151
R,c,1735660040266
P,Key.backspace,1735660040920
R,Key.backspace,1735660041007
P,x,1735660041191
R,x,1735660041311
P,c,1735660041816
R,c,1735660041961
P,h,1735660042127
R,h,1735660042199
P,a,1735660042407
R,a,1735660042551
P,n,1735660042610
R,n,1735660042672
P,g,1735660042735
R,g,1735660042857
P,e,1735660042911
R,e,1735660043007
P,Key.space,1735660043058
R,Key.space,1735660043287
P,r,1735660043319
R,r,1735660043432
P,e,1735660043489
R,e,1735660043583
P,m,1735660043815
R,m,1735660043896
P,i,1735660044007
R,i,1735660044081
P,n,1735660044153
R,n,1735660044217
P,d,1735660044271
R,d,1735660044415
P,s,1735660044433
R,s,1735660044566
P,Key.space,1735660044623
R,Key.space,1735660044816
P,u,1735660044894
R,u,1735660044966
P,s,1735660045033
R,s,1735660045169
P,Key.space,1735660045191
R,Key.space,1735660045447
P,h,1735660045641
R,h,1735660045720
P,o,1735660045786
R,o,1735660045863
P,w,1735660045979
R,w,1735660046135
P,Key.space,1735660046160
R,Key.space,1735660046336
P,f,1735660046431
R,f,1735660046535
P,r,1735660046647
R,r,1735660046729
P,a,1735660046792
R,a,1735660046914
P,g,1735660047072
R,g,1735660047201
P,i,1735660047249
R,i,1735660047326
P,l,1735660047426
R,l,1735660047514
P,e,1735660047527
R,e,1735660047631
P,Key.space,1735660047653
R,Key.space,1735660047866
P,p,1735660047951
P,e,1735660048033
R,p,1735660048054
R,e,1735660048135
P,a,1735660048209
R,a,1735660048305
P,c,1735660048417
R,c,1735660048553
P,e,1735660048663
R,e,1735660048760
P,Key.space,1735660048809
R,Key.space,1735660048977
P,i,1735660049000
R,i,1735660049071
P,s,1735660049111
R,s,1735660049231
P,Key.space,1735660049256
R,Key.space,1735660049481
P,a,1735660049503
R,a,1735660049599
P,n,1735660049617
R,n,1735660049680
P,d,1735660049735
R,d,1735660049872
P,Key.space,1735660049895
R,Key.space,1735660050119
P,h,1735660050136
R,h,1735660050199
P,o,1735660050239
R,o,1735660050336
P,w,1735660050423
R,w,1735660050559
P,Key.space,1735660050567
R,Key.space,1735660050799
P,m,1735660050871
R,m,1735660050977
P,u,1735660051080
