Press or Release,Key,Time
P,Key.shift,1735660144814
P,T,1735660145056
R,Key.shift,1735660145191
R,T,1735660145239
P,h,1735660145276
R,h,1735660145478
P,e,1735660145480
P,Key.space,1735660145681
R,e,1735660145682
R,Key.space,1735660145799
P,a,1735660145856
R,a,1735660146080
P,n,1735660146083
R,n,1735660146251
P,c,1735660146298
R,c,1735660146547
P,o,1735660146745
P,r,1735660146882
R,o,1735660146914
P,Key.space,1735660147096
R,r,1735660147098
R,Key.space,1735660147233
P,Key.backspace,1735660147465
R,Key.backspace,1735660147559
P,Key.backspace,1735660147833
R,Key.backspace,1735660147888
P,Key.backspace,1735660148058
R,Key.backspace,1735660148126
P,h,1735660148768
P,o,1735660148910
R,h,1735660148911
P,r,1735660149051
R,o,1735660149100
P,Key.space,1735660149203
R,r,1735660149249
R,Key.space,1735660149406
P,t,1735660149987
R,t,1735660150107
P,r,1735660150213
P,i,1735660150360
R,r,1735660150378
R,i,1735660150523
P,g,1735660150543
R,g,1735660150746
P,e,1735660150942
R,e,1735660151139
P,Key.space,1735660151311
R,Key.space,1735660151499
P,Key.backspace,1735660151958
R,Key.backspace,1735660152111
P,r,1735660152310
R,r,1735660152496
P,Key.space,1735660152496
R,Key.space,1735660152632
P,t,1735660152700
P,h,1735660152822
R,t,1735660152839
P,e,1735660152946
R,h,1735660153013
P,Key.space,1735660153066
R,e,1735660153115
R,Key.space,1735660153211
P,a,1735660154129
R,a,1735660154282
P,c,1735660154381
R,c,1735660154557
P,t,1735660154661
P,o,1735660154817
R,t,1735660154819
P,r,1735660154921
R,o,1735660154935
P,Key.space,1735660155099
R,r,1735660155100
R,Key.space,1735660155222
P,a,1735660155432
P,n,1735660155549
R,a,1735660155600
P,d,1735660155715
R,n,1735660155732
P,Key.space,1735660155854
R,d,1735660155856
R,Key.space,1735660155959
P,Key.backspace,1735660157072
R,Key.backspace,1735660157236
P,Key.backspace,1735660157284
R,Key.backspace,1735660157352
P,Key.backspace,1735660157536
R,Key.backspace,1735660157538
P,Key.backspace,1735660157661
R,Key.backspace,1735660157762
P,Key.backspace,1735660157879
R,Key.backspace,1735660157989
P,Key.backspace,1735660158273
R,Key.backspace,1735660158334
P,r,1735660159763
R,r,1735660159953
P,Key.space,1735660160055
R,Key.space,1735660160227
P,b,1735660160349
R,b,1735660160528
P,y,1735660160682
R,y,1735660160867
P,Key.space,1735660160914
R,Key.space,1735660161039
P,t,1735660166310
R,t,1735660166469
P,e,1735660167014
R,e,1735660167162
P,a,1735660167211
R,a,1735660167352
P,s,1735660167467
R,s,1735660167535
P,s,1735660167603
R,s,1735660167653
P,e,1735660167671
R,e,1735660167839
P,Key.space,1735660167851
R,Key.space,1735660167999
P,t,1735660168061
P,h,1735660168183
R,t,1735660168225
R,h,1735660168365
P,Key.backspace,1735660168965
R,Key.backspace,1735660169034
P,Key.backspace,1735660169138
R,Key.backspace,1735660169193
P,Key.backspace,1735660169325
R,Key.backspace,1735660169378
P,Key.backspace,1735660169517
R,Key.backspace,1735660169590
P,Key.backspace,1735660170199
R,Key.backspace,1735660170257
P,e,1735660170679
R,e,1735660170851
P,Key.space,1735660170922
R,Key.space,1735660170991
P,t,1735660171101
P,h,1735660171215
R,t,1735660171218
P,e,1735660171318
R,h,1735660171400
P,Key.space,1735660171448
R,e,1735660171450
R,Key.space,1735660171618
P,a,1735660173198
R,a,1735660173411
P,c,1735660173542
R,c,1735660173710
P,t,1735660174899
P,o,1735660175070
R,t,1735660175087
P,r,1735660175237
R,o,1735660175248
P,Key.space,1735660175378
R,r,1735660175416
R,Key.space,1735660175521
P,w,1735660175774
P,i,1735660175972
R,w,1735660175974
R,i,1735660176138
P,f,1735660176532
P,e,1735660176827
R,f,1735660176828
R,e,1735660176980
P,Key.space,1735660177087
R,Key.space,1735660177239
P,s,1735660178914
R,s,1735660179016
P,o,1735660179034
R,o,1735660179202
P,Key.space,1735660179221
R,Key.space,1735660179371
P,t,1735660179378
P,h,1735660179541
R,t,1735660179543
P,e,1735660179592
R,h,1735660179656
P,Key.space,1735660179732
R,e,1735660179736
R,Key.space,1735660179851
P,a,1735660179888
R,a,1735660180050
P,c,1735660180187
R,c,1735660180371
P,t,1735660180508
P,o,1735660180645
R,t,1735660180662
R,o,1735660180782
P,r,1735660180796
P,Key.space,1735660180843
R,r,1735660180940
R,Key.space,1735660181027
P,s,1735660184104
R,s,1735660184228
P,l,1735660184984
R,l,1735660185122
P,a,1735660185243
P,p,1735660185398
R,a,1735660185450
R,p,1735660185537
P,Key.space,1735660186654
R,Key.space,1735660186828
P,t,1735660186929
P,h,1735660187035
R,t,1735660187042
P,e,1735660187128
R,h,1735660187189
P,Key.space,1735660187274
R,e,1735660187275
R,Key.space,1735660187380
P,a,1735660188558
R,a,1735660188710
P,c,1735660188884
R,c,1735660189087
P,o,1735660189161
R,o,1735660189353
P,Key.backspace,1735660189981
R,Key.backspace,1735660190079
P,Key.backspace,1735660190179
R,Key.backspace,1735660190276
P,Key.backspace,1735660190446
R,Key.backspace,1735660190447
P,n,1735660190781
R,n,1735660190970
P,Key.backspace,1735660192943
R,Key.backspace,1735660193064
P,a,1735660193252
R,a,1735660193440
P,n,1735660193780
R,n,1735660193987
P,c,1735660194280
R,c,1735660194467
P,h,1735660194518
R,h,1735660194588
P,o,1735660194596
P,r,1735660194798
R,o,1735660194799
P,Key.space,1735660194951
R,r,1735660194965
R,Key.space,1735660195088
P,i,1735660195772
R,i,1735660195880
P,n,1735660195946
R,n,1735660196158
P,r,1735660196414
P,o,1735660196524
R,r,1735660196576
R,o,1735660196700
P,n,1735660196768
R,n,1735660196954
P,t,1735660197091
R,t,1735660197232
P,Key.space,1735660197237
R,Key.space,1735660197396
P,Key.backspace,1735660197666
R,Key.backspace,1735660197739
P,Key.backspace,1735660197829
R,Key.backspace,1735660197924
P,Key.backspace,1735660198018
R,Key.backspace,1735660198081
P,Key.backspace,1735660198197
R,Key.backspace,1735660198257
P,Key.backspace,1735660198382
R,Key.backspace,1735660198429
P,Key.backspace,1735660198556
R,Key.backspace,1735660198657
P,n,1735660199396
R,n,1735660199533
P,f,1735660199598
R,f,1735660199729
P,r,1735660199830
P,o,1735660200002
R,r,1735660200023
R,o,1735660200105
P,n,1735660200175
R,n,1735660200279
P,t,1735660200313
R,t,1735660200450
P,Key.space,1735660200636
R,Key.space,1735660200737
P,o,1735660200918
P,f,1735660201077
R,o,1735660201083
R,f,1735660201169
P,Key.space,1735660201214
R,Key.space,1735660201348
P,a,1735660201360
R,a,1735660201501
P,l,1735660201501
R,l,1735660201581
P,l,1735660201629
R,l,1735660201808
P,Key.space,1735660201817
R,Key.space,1735660201963
P,a,1735660203475
R,a,1735660203632
P,c,1735660203759
R,c,1735660203936
P,t,1735660204063
R,t,1735660204211
P,o,1735660204211
P,r,1735660204314
R,o,1735660204366
R,r,1735660204477
P,s,1735660204549
R,s,1735660204733
P,.,1735660204955
R,.,1735660205139
P,Key.backspace,1735660205979
R,Key.backspace,1735660206107
P,Key.space,1735660206260
R,Key.space,1735660206449
P,i,1735660206566
R,i,1735660206692
P,n,1735660207241
R,n,1735660207343
P,Key.space,1735660207399
R,Key.space,1735660207514
P,t,1735660207583
R,t,1735660207698
P,h,1735660207701
P,e,1735660207774
R,h,1735660207845
R,e,1735660207902
P,Key.space,1735660207921
R,Key.space,1735660208039
P,s,1735660208156
R,s,1735660208273
P,t,1735660208363
R,t,1735660208432
P,a,1735660208500
R,a,1735660208548
P,g,1735660208688
R,g,1735660208846
P,e,1735660208964
R,e,1735660209104
P,.,1735660209143
R,.,1735660209341
P,Key.space,1735660212550
R,Key.space,1735660212716
P,t,1735660213192
P,h,1735660213332
R,t,1735660213348
P,e,1735660213442
R,h,1735660213487
P,Key.space,1735660213559
R,e,1735660213609
R,Key.space,1735660213712
P,a,1735660214325
R,a,1735660214479
P,c,1735660218028
R,c,1735660218191
P,t,1735660218384
R,t,1735660218442
P,o,1735660218505
R,o,1735660218645
P,r,1735660219306
R,r,1735660219423
P,Key.space,1735660219432
R,Key.space,1735660219608
P,a,1735660219726
R,a,1735660219895
