Press or Release,Key,Time
P,Key.caps_lock,1735660017337
R,Key.caps_lock,1735660017466
P,Y,1735660017626
R,Y,1735660017714
P,Key.caps_lock,1735660017912
R,Key.caps_lock,1735660018031
P,o,1735660018215
P,u,1735660018319
R,o,1735660018327
R,u,1735660018417
P,Key.space,1735660019644
R,Key.space,1735660019793
P,c,1735660019937
P,a,1735660020016
R,c,1735660020023
R,a,1735660020192
P,n,1735660020249
R,n,1735660020325
P,Key.space,1735660020402
R,Key.space,1735660020570
P,f,1735660020590
R,f,1735660020704
P,e,1735660020832
R,e,1735660020904
P,e,1735660020977
R,e,1735660021064
P,l,1735660021178
R,l,1735660021190
P,Key.space,1735660021236
P,t,1735660021400
R,Key.space,1735660021417
R,t,1735660021540
P,h,1735660021573
R,h,1735660021634
P,e,1735660021669
R,e,1735660021797
P,Key.space,1735660021818
R,Key.space,1735660022018
P,d,1735660022192
R,d,1735660022322
P,e,1735660022425
R,e,1735660022503
P,s,1735660022612
R,s,1735660022735
P,p,1735660022983
R,p,1735660023090
P,e,1735660023143
R,e,1735660023250
P,r,1735660023313
R,r,1735660023416
P,a,1735660023616
R,a,1735660023743
P,t,1735660023770
R,t,1735660023859
P,i,1735660023907
R,i,1735660023979
P,o,1735660024065
R,o,1735660024143
P,n,1735660024161
R,n,1735660024248
P,Key.space,1735660024272
R,Key.space,1735660024416
P,b,1735660024530
R,b,1735660024632
P,e,1735660024761
R,e,1735660024845
P,h,1735660024971
R,h,1735660025042
P,i,1735660025105
R,i,1735660025167
P,n,1735660025240
R,n,1735660025312
P,d,1735660025408
R,d,1735660025528
P,Key.space,1735660025722
R,Key.space,1735660025923
P,z,1735660028792
R,z,1735660028904
P,e,1735660029066
R,e,1735660029159
P,l,1735660029298
R,l,1735660029388
P,e,1735660029440
R,e,1735660029536
P,n,1735660030426
R,n,1735660030496
P,s,1735660031224
R,s,1735660031376
P,k,1735660031537
R,k,1735660031648
P,y,1735660031874
R,y,1735660031949
P,y,1735660032010
R,y,1735660032096
P,Key.space,1735660084879
R,Key.space,1735660085052
P,w,1735660085146
R,w,1735660085278
P,o,1735660085380
R,o,1735660085458
P,r,1735660085550
R,r,1735660085635
P,d,1735660085731
R,d,1735660085899
P,s,1735660085922
R,s,1735660086099
P,.,1735660086737
R,.,1735660086881
P,Key.space,1735660087795
R,Key.space,1735660087963
P,Key.caps_lock,1735660087999
R,Key.caps_lock,1735660088155
P,H,1735660088197
R,H,1735660088268
P,Key.caps_lock,1735660088355
R,Key.caps_lock,1735660088473
P,e,1735660088524
R,e,1735660088631
P,Key.space,1735660103933
R,Key.space,1735660104124
P,i,1735660104332
R,i,1735660104405
P,s,1735660104470
R,s,1735660104610
P,Key.space,1735660104644
R,Key.space,1735660104852
P,n,1735660105439
R,n,1735660105516
P,o,1735660105569
R,o,1735660105650
P,t,1735660105684
R,t,1735660105756
P,Key.space,1735660105795
R,Key.space,1735660105980
P,j,1735660106359
R,j,1735660106444
P,u,1735660106514
R,u,1735660106594
P,s,1735660106666
R,s,1735660106798
P,t,1735660106827
R,t,1735660106908
P,Key.space,1735660106972
R,Key.space,1735660107195
P,p,1735660107279
R,p,1735660107392
P,l,1735660107659
R,l,1735660107775
P,e,1735660107847
R,e,1735660107954
P,a,1735660108765
R,a,1735660108874
P,d,1735660109200
R,d,1735660109338
P,i,1735660109382
R,i,1735660109449
P,n,1735660109509
R,n,1735660109570
P,g,1735660109596
R,g,1735660109709
P,Key.space,1735660117202
R,Key.space,1735660117378
P,h,1735660117596
R,h,1735660117675
P,e,1735660117733
R,e,1735660117818
P,Key.space,1735660117965
P,i,1735660118162
R,Key.space,1735660118180
R,i,1735660118234
P,s,1735660118277
R,s,1735660118387
P,Key.space,1735660118395
P,w,1735660118605
R,Key.space,1735660118626
R,w,1735660118701
P,a,1735660118818
R,a,1735660118930
P,r,1735660118962
R,r,1735660119026
P,n,1735660119322
R,n,1735660119403
P,i,1735660119493
R,i,1735660119568
P,n,1735660119627
R,n,1735660119695
P,g,1735660119706
R,g,1735660119816
P,.,1735660120426
R,.,1735660120529
P,Key.space,1735660125538
R,Key.space,1735660125700
P,Key.caps_lock,1735660125795
R,Key.caps_lock,1735660125876
P,M,1735660125979
R,M,1735660126066
P,Key.caps_lock,1735660126134
R,Key.caps_lock,1735660126252
P,e,1735660126323
R,e,1735660126394
P,a,1735660126469
R,a,1735660126602
P,n,1735660126613
R,n,1735660126677
P,w,1735660127132
R,w,1735660127260
P,h,1735660127359
R,h,1735660127428
P,i,1735660127484
R,i,1735660127557
P,l,1735660127660
R,l,1735660127759
P,e,1735660127803
R,e,1735660127961
P,Key.space,1735660127962
R,Key.space,1735660128131
P,t,1735660128293
R,t,1735660128411
P,h,1735660128441
R,h,1735660128491
P,e,1735660128587
R,e,1735660128675
P,Key.space,1735660128685
R,Key.space,1735660128997
P,o,1735660129047
R,o,1735660129218
P,t,1735660129218
R,t,1735660129292
P,h,1735660129308
R,h,1735660129365
P,e,1735660129367
R,e,1735660129453
P,r,1735660129473
R,r,1735660129562
P,Key.space,1735660129630
R,Key.space,1735660129889
P,s,1735660133664
R,s,1735660133822
P,i,1735660133841
R,i,1735660133931
P,d,1735660133970
R,d,1735660134078
P,e,1735660134169
R,e,1735660134245
P,Key.space,1735660134299
P,p,1735660134540
R,Key.space,1735660134554
R,p,1735660134630
P,l,1735660134709
R,l,1735660134805
P,a,1735660135131
R,a,1735660135275
P,y,1735660135355
R,y,1735660135435
P,s,1735660135503
R,s,1735660135641
P,Key.space,1735660135641
R,Key.space,1735660135868
P,p,1735660136045
R,p,1735660136128
P,o,1735660136234
R,o,1735660136315
P,w,1735660136346
R,w,1735660136451
P,e,1735660136483
R,e,1735660136582
P,r,1735660136601
R,r,1735660136715
P,Key.space,1735660136750
R,Key.space,1735660136962
P,g,1735660137071
R,g,1735660137178
P,a,1735660137188
P,m,1735660137317
R,a,1735660137325
R,m,1735660137387
P,e,1735660137444
R,e,1735660137546
P,s,1735660137611
R,s,1735660137760
P,.,1735660138099
R,.,1735660138199
P,Key.space,1735660138357
R,Key.space,1735660138547
P,Key.caps_lock,1735660138572
R,Key.caps_lock,1735660138692
P,W,1735660138827
R,W,1735660138951
P,Key.caps_lock,1735660139094
R,Key.caps_lock,1735660139197
P,a,1735660139350
R,a,1735660139459
P,r,1735660139499
R,r,1735660139588
P,Key.space,1735660146539
R,Key.space,1735660146723
P,i,1735660146798
R,i,1735660146867
P,s,1735660146939
R,s,1735660147059
P,Key.space,1735660147077
P,n,1735660147293
R,Key.space,1735660147324
R,n,1735660147387
P,o,1735660147435
R,o,1735660147515
P,t,1735660147571
R,t,1735660147693
P,Key.space,1735660147693
R,Key.space,1735660147937
P,c,1735660148099
P,h,1735660148183
R,c,1735660148219
R,h,1735660148249
P,e,1735660148373
R,e,1735660148444
P,s,1735660148688
R,s,1735660148756
P,s,1735660148846
R,s,1735660148965
P,b,1735660149893
R,b,1735660150019
P,o,1735660150027
R,o,1735660150099
P,a,1735660150574
R,a,1735660150707
P,r,1735660150749
R,r,1735660150844
P,d,1735660151013
R,d,1735660151151
P,Key.space,1735660159032
R,Key.space,1735660159196
P,l,1735660159559
R,l,1735660159627
P,i,1735660159708
R,i,1735660159782
P,v,1735660159841
R,v,1735660159956
P,e,1735660160070
R,e,1735660160179
P,Key.space,1735660160708
R,Key.space,1735660160868
P,a,1735660160883
R,a,1735660161029
P,r,1735660161063
R,r,1735660161135
P,e,1735660161220
R,e,1735660161333
P,Key.space,1735660161389
R,Key.space,1735660161630
P,s,1735660167367
R,s,1735660167502
P,o,1735660170174
R,o,1735660170255
P,n,1735660170295
R,n,1735660170355
P,Key.space,1735660170812
P,t,1735660170980
R,Key.space,1735660170989
R,t,1735660171077
P,h,1735660171116
R,h,1735660171175
P,e,1735660171196
R,e,1735660171286
P,Key.space,1735660171302
R,Key.space,1735660171516
P,l,1735660171893
R,l,1735660172023
P,i,1735660172557
R,i,1735660172650
P,n,1735660172787
R,n,1735660172854
P,e,1735660173053
P,Key.space,1735660173167
R,e,1735660173175
R,Key.space,1735660173443
P,e,1735660177622
R,e,1735660177732
P,v,1735660177884
R,v,1735660177972
P,e,1735660178044
R,e,1735660178148
P,r,1735660178223
R,r,1735660178315
P,y,1735660178445
R,y,1735660178510
P,Key.space,1735660178804
R,Key.space,1735660178950
P,d,1735660178964
R,d,1735660179086
P,a,1735660179100
R,a,1735660179237
P,y,1735660179287
R,y,1735660179356
P,.,1735660179918
R,.,1735660180012
P,Key.backspace,1735660189180
R,Key.backspace,1735660189254
P,',1735660189772
R,',1735660189849
P,s,1735660189968
R,s,1735660190116
P,Key.space,1735660191797
R,Key.space,1735660191964
