Press or Release,Key,Time
P,i,1735660064219
R,i,1735660064334
P,Key.backspace,1735660064350
R,Key.backspace,1735660064352
P,Key.shift,1735660064352
P,I,1735660064357
R,I,1735660064359
R,Key.shift,1735660064359
P,t,1735660064447
R,t,1735660064449
P,Key.space,1735660064519
R,Key.space,1735660064521
P,w,1735660064594
R,w,1735660064595
P,a,1735660064674
R,a,1735660064675
P,s,1735660064751
R,s,1735660064753
P,Key.space,1735660064837
R,Key.space,1735660064839
P,m,1735660064909
R,m,1735660064910
P,o,1735660064986
R,o,1735660064987
P,v,1735660065069
R,v,1735660065070
P,i,1735660065140
R,i,1735660065142
P,n,1735660065218
R,n,1735660065219
P,g,1735660065297
R,g,1735660065299
P,Key.space,1735660065373
R,Key.space,1735660065375
P,t,1735660065455
R,t,1735660065457
P,o,1735660065538
R,o,1735660065540
P,Key.space,1735660065610
R,Key.space,1735660065611
P,w,1735660065687
R,w,1735660065697
P,a,1735660065767
R,a,1735660065769
P,t,1735660065846
R,t,1735660065848
P,c,1735660065924
R,c,1735660065925
P,h,1735660066001
R,h,1735660066002
P,Key.space,1735660066085
R,Key.space,1735660066086
P,t,1735660066156
R,t,1735660066158
P,h,1735660066235
R,h,1735660066237
P,e,1735660066317
R,e,1735660066319
P,Key.space,1735660066389
R,Key.space,1735660066390
P,c,1735660066472
R,c,1735660066473
P,o,1735660066550
R,o,1735660066552
P,a,1735660066631
R,a,1735660066632
P,c,1735660066705
R,c,1735660066707
P,h,1735660066789
R,h,1735660066791
P,Key.space,1735660066861
R,Key.space,1735660066862
P,i,1735660066938
R,i,1735660066940
P,n,1735660067017
R,n,1735660067019
P,s,1735660067094
R,s,1735660067096
P,p,1735660067173
R,p,1735660067175
P,i,1735660067251
R,i,1735660067253
P,r,1735660067333
R,r,1735660067335
P,e,1735660067406
R,e,1735660067408
P,Key.space,1735660067485
R,Key.space,1735660067487
P,h,1735660067571
R,h,1735660067572
P,i,1735660067638
R,i,1735660067640
P,s,1735660067720
R,s,1735660067721
P,Key.space,1735660067797
R,Key.space,1735660067799
P,t,1735660067876
R,t,1735660067878
P,e,1735660067953
R,e,1735660067955
P,a,1735660068033
R,a,1735660068035
P,m,1735660068128
R,m,1735660068130
P,Key.space,1735660068189
R,Key.space,1735660068191
P,t,1735660068268
R,t,1735660068270
P,o,1735660068344
R,o,1735660068346
P,Key.space,1735660068422
R,Key.space,1735660068423
P,e,1735660068501
R,e,1735660068502
P,m,1735660068580
R,m,1735660068582
P,b,1735660068672
R,b,1735660068673
P,r,1735660068736
R,r,1735660068738
P,a,1735660068816
R,a,1735660068818
P,c,1735660068910
R,c,1735660068911
P,e,1735660068986
R,e,1735660068988
P,Key.space,1735660069085
R,Key.space,1735660069087
P,t,1735660069157
R,t,1735660069158
P,h,1735660069243
R,h,1735660069245
P,e,1735660069327
R,e,1735660069329
P,i,1735660069405
R,i,1735660069406
P,r,1735660069487
R,r,1735660069489
P,Key.space,1735660069599
R,Key.space,1735660069599
P,s,1735660069657
R,s,1735660069658
P,t,1735660069734
R,t,1735660069736
P,r,1735660069911
R,r,1735660069913
P,e,1735660069913
R,e,1735660069915
P,n,1735660070001
R,n,1735660070002
P,g,1735660070089
R,g,1735660070091
P,t,1735660071082
R,t,1735660071084
P,h,1735660071084
R,h,1735660071086
P,s,1735660071086
R,s,1735660071087
P,Key.space,1735660071087
R,Key.space,1735660071089
P,a,1735660071089
R,a,1735660071091
P,n,1735660071091
R,n,1735660071092
P,d,1735660071092
R,d,1735660071094
P,Key.space,1735660071094
R,Key.space,1735660071095
P,f,1735660071096
R,f,1735660071097
P,l,1735660071097
R,l,1735660071099
P,o,1735660071099
R,o,1735660071099
P,u,1735660071099
R,u,1735660071100
P,r,1735660071102
R,r,1735660071103
P,i,1735660071171
R,i,1735660071173
P,s,1735660071251
R,s,1735660071252
P,h,1735660071329
R,h,1735660071330
P,.,1735660071409
R,.,1735660071411
P,Key.space,1735660071484
R,Key.space,1735660071486
P,Key.shift,1735660071568
P,I,1735660071568
R,I,1735660071569
R,Key.shift,1735660071570
P,t,1735660071640
R,t,1735660071642
P,Key.space,1735660071720
R,Key.space,1735660071722
P,i,1735660071816
R,i,1735660071818
P,s,1735660071875
R,s,1735660071876
P,Key.space,1735660071969
R,Key.space,1735660071970
P,a,1735660072049
R,a,1735660072050
P,n,1735660072114
R,n,1735660072115
P,Key.space,1735660072191
R,Key.space,1735660072193
P,e,1735660072265
R,e,1735660072267
P,x,1735660072343
R,x,1735660072345
P,h,1735660072422
R,h,1735660072424
P,o,1735660072502
R,o,1735660072504
P,r,1735660072576
R,r,1735660072577
P,t,1735660072672
R,t,1735660072674
P,a,1735660072736
R,a,1735660072738
P,t,1735660072813
R,t,1735660072815
P,i,1735660072891
R,i,1735660072892
P,o,1735660072968
R,o,1735660072969
P,n,1735660073046
R,n,1735660073047
P,Key.space,1735660073132
R,Key.space,1735660073134
P,t,1735660073202
R,t,1735660073204
P,o,1735660073282
R,o,1735660073284
P,Key.space,1735660073359
R,Key.space,1735660073361
P,c,1735660073437
R,c,1735660073439
P,e,1735660073515
R,e,1735660073517
P,a,1735660073592
R,a,1735660073594
P,s,1735660073669
R,s,1735660073670
P,e,1735660073750
R,e,1735660073752
P,Key.space,1735660073829
R,Key.space,1735660073831
P,s,1735660073908
R,s,1735660073910
P,e,1735660073983
R,e,1735660073984
P,l,1735660074064
R,l,1735660074066
P,f,1735660074138
R,f,1735660074140
P,-,1735660074218
R,-,1735660074220
P,d,1735660074297
R,d,1735660074299
P,o,1735660074376
R,o,1735660074378
P,u,1735660074451
R,u,1735660074453
P,b,1735660074530
R,b,1735660074532
P,t,1735660074605
R,t,1735660074607
P,Key.space,1735660074685
R,Key.space,1735660074687
P,a,1735660074768
R,a,1735660074770
P,n,1735660074854
R,n,1735660074856
P,d,1735660074923
R,d,1735660074924
P,Key.space,1735660074998
R,Key.space,1735660074999
P,b,1735660075081
R,b,1735660075082
P,e,1735660075153
R,e,1735660075155
P,g,1735660075233
R,g,1735660075235
P,i,1735660075311
R,i,1735660075312
P,n,1735660075389
R,n,1735660075391
P,Key.space,1735660075469
R,Key.space,1735660075470
P,e,1735660075547
R,e,1735660075548
P,m,1735660075648
R,m,1735660075649
P,b,1735660075702
R,b,1735660075703
P,r,1735660075791
R,r,1735660075792
P,a,1735660075857
R,a,1735660075859
P,c,1735660075937
R,c,1735660075938
P,i,1735660076013
R,i,1735660076014
P,n,1735660076093
R,n,1735660076094
P,g,1735660076169
R,g,1735660076170
P,Key.space,1735660076254
R,Key.space,1735660076255
P,t,1735660076327
R,t,1735660076329
P,h,1735660076401
R,h,1735660076403
P,e,1735660076490
R,e,1735660076492
P,Key.space,1735660076563
R,Key.space,1735660076564
P,g,1735660076637
R,g,1735660076638
P,r,1735660076717
R,r,1735660076719
P,a,1735660076823
R,a,1735660076824
P,n,1735660076873
R,n,1735660076875
P,d,1735660076948
R,d,1735660076949
P,e,1735660077023
R,e,1735660077024
P,u,1735660077104
R,u,1735660077106
P,r,1735660077179
R,r,1735660077180
P,Key.space,1735660077257
R,Key.space,1735660077259
P,t,1735660077336
R,t,1735660077337
P,h,1735660077420
R,h,1735660077421
P,a,1735660077512
R,a,1735660077513
P,t,1735660077577
R,t,1735660077578
P,Key.space,1735660077652
R,Key.space,1735660077653
P,i,1735660077741
R,i,1735660077742
P,s,1735660077810
R,s,1735660077812
P,Key.space,1735660077888
R,Key.space,1735660077889
P,i,1735660077970
R,i,1735660077972
P,n,1735660078061
R,n,1735660078063
P,s,1735660078128
R,s,1735660078129
P,i,1735660078202
R,i,1735660078203
P,d,1735660078281
R,d,1735660078283
P,e,1735660078352
R,e,1735660078354
P,Key.space,1735660078429
R,Key.space,1735660078431
P,e,1735660078507
R,e,1735660078509
P,a,1735660078587
R,a,1735660078588
P,c,1735660078664
R,c,1735660078666
P,h,1735660078746
R,h,1735660078749
P,Key.space,1735660078829
R,Key.space,1735660078831
P,o,1735660078909
R,o,1735660078911
P,f,1735660078979
R,f,1735660078981
P,Key.space,1735660079061
R,Key.space,1735660079063
P,u,1735660079140
R,u,1735660079142
P,s,1735660079218
R,s,1735660079220
P,.,1735660079298
R,.,1735660079300
