Press or Release,Key,Time
P,Key.caps_lock,1735660073163
R,Key.caps_lock,1735660073345
P,T,1735660073473
R,T,1735660073603
P,Key.caps_lock,1735660073684
R,Key.caps_lock,1735660073801
P,h,1735660073867
R,h,1735660073947
P,i,1735660073996
R,i,1735660074075
P,s,1735660074097
R,s,1735660074220
P,Key.space,1735660074369
R,Key.space,1735660074562
P,v,1735660075042
R,v,1735660075122
P,Key.backspace,1735660075709
R,Key.backspace,1735660075809
P,c,1735660076505
R,c,1735660076618
P,o,1735660076882
R,o,1735660076985
P,n,1735660077105
R,n,1735660077161
P,v,1735660078441
R,v,1735660078596
P,e,1735660078795
R,e,1735660078906
P,r,1735660079074
R,r,1735660079170
P,s,1735660079626
R,s,1735660079762
P,a,1735660079941
R,a,1735660080085
P,t,1735660080108
R,t,1735660080186
P,i,1735660080305
R,i,1735660080388
P,o,1735660080493
R,o,1735660080612
P,n,1735660080618
R,n,1735660080705
P,Key.space,1735660081131
R,Key.space,1735660081291
P,w,1735660081462
R,w,1735660081572
P,a,1735660081706
P,s,1735660081780
R,a,1735660081787
R,s,1735660081945
P,Key.space,1735660081994
P,n,1735660082194
R,Key.space,1735660082202
R,n,1735660082282
P,o,1735660082332
R,o,1735660082417
P,t,1735660082436
R,t,1735660082530
P,Key.space,1735660082547
R,Key.space,1735660082783
P,j,1735660083527
R,j,1735660083612
P,u,1735660083733
R,u,1735660083810
P,s,1735660083980
R,s,1735660084101
P,t,1735660084124
R,t,1735660084226
P,Key.space,1735660084298
R,Key.space,1735660084482
P,p,1735660084533
R,p,1735660084664
P,o,1735660084755
R,o,1735660084844
P,l,1735660084982
R,l,1735660085062
P,i,1735660085136
R,i,1735660085214
P,c,1735660086146
R,c,1735660086298
P,Key.backspace,1735660086797
R,Key.backspace,1735660086882
P,t,1735660089484
R,t,1735660089605
P,i,1735660089670
R,i,1735660089772
P,c,1735660089940
R,c,1735660090053
P,a,1735660090073
R,a,1735660090194
P,l,1735660090204
R,l,1735660090287
P,Key.space,1735660090418
R,Key.space,1735660090636
P,i,1735660090665
R,i,1735660090740
P,t,1735660090906
R,t,1735660091029
P,Key.space,1735660091524
R,Key.space,1735660091730
P,w,1735660091739
R,w,1735660091850
P,a,1735660091986
R,a,1735660092058
P,s,1735660092066
R,s,1735660092260
P,Key.space,1735660092698
R,Key.space,1735660092890
P,p,1735660092898
R,p,1735660092996
P,e,1735660093076
R,e,1735660093189
P,r,1735660093238
R,r,1735660093339
P,s,1735660093588
R,s,1735660093738
P,o,1735660093828
R,o,1735660093909
P,n,1735660093970
R,n,1735660094052
P,a,1735660094139
R,a,1735660094254
P,l,1735660094254
R,l,1735660094340
P,Key.comma,1735660095299
R,Key.comma,1735660095370
P,Key.space,1735660095909
R,Key.space,1735660096099
P,r,1735660096234
R,r,1735660096362
P,a,1735660096415
R,a,1735660096548
P,w,1735660096690
R,w,1735660096795
P,Key.comma,1735660097636
R,Key.comma,1735660097697
P,Key.space,1735660097844
R,Key.space,1735660098002
P,a,1735660098051
R,a,1735660098162
P,n,1735660098226
R,n,1735660098298
P,d,1735660098324
R,d,1735660098450
P,Key.space,1735660098476
R,Key.space,1735660098662
P,r,1735660099229
R,r,1735660099411
P,e,1735660099666
R,e,1735660099780
P,f,1735660100189
R,f,1735660100340
P,l,1735660100368
R,l,1735660100472
P,e,1735660100570
R,e,1735660100666
P,c,1735660100858
R,c,1735660100980
P,t,1735660101170
R,t,1735660101266
P,i,1735660101340
R,i,1735660101402
P,v,1735660101540
R,v,1735660101626
P,e,1735660101755
R,e,1735660101870
P,Key.space,1735660101962
R,Key.space,1735660102155
P,o,1735660102298
R,o,1735660102394
P,f,1735660102646
R,f,1735660102780
P,Key.space,1735660102829
R,Key.space,1735660102986
P,t,1735660103018
R,t,1735660103124
P,h,1735660103157
R,h,1735660103226
P,e,1735660103266
R,e,1735660103358
P,Key.space,1735660103380
R,Key.space,1735660103594
P,d,1735660103723
R,d,1735660103846
P,e,1735660103978
R,e,1735660104052
P,e,1735660104134
R,e,1735660104235
P,p,1735660104339
R,p,1735660104451
P,Key.space,1735660104573
P,p,1735660104739
R,Key.space,1735660104746
R,p,1735660104866
P,a,1735660104890
R,a,1735660105004
P,i,1735660105021
R,i,1735660105101
P,n,1735660105165
R,n,1735660105244
P,Key.space,1735660105292
R,Key.space,1735660105477
P,w,1735660105485
R,w,1735660105580
P,a,1735660105695
P,r,1735660105805
R,a,1735660105812
R,r,1735660105891
P,Key.space,1735660105937
R,Key.space,1735660106130
P,b,1735660106323
R,b,1735660106451
P,r,1735660106590
R,r,1735660106687
P,i,1735660106787
R,i,1735660106859
P,n,1735660106923
R,n,1735660106994
P,g,1735660107043
R,g,1735660107130
P,s,1735660107226
R,s,1735660107395
P,.,1735660107965
R,.,1735660108099
P,Key.space,1735660108722
R,Key.space,1735660108899
P,Key.caps_lock,1735660108949
R,Key.caps_lock,1735660109053
P,D,1735660109132
R,D,1735660109330
P,Key.caps_lock,1735660109342
R,Key.caps_lock,1735660109468
P,i,1735660109524
R,i,1735660109664
P,p,1735660109726
R,p,1735660109844
P,l,1735660110301
R,l,1735660110405
P,o,1735660110530
R,o,1735660110618
P,m,1735660110778
R,m,1735660110853
P,a,1735660110955
R,a,1735660111020
P,c,1735660111162
R,c,1735660111261
P,y,1735660111274
R,y,1735660111346
P,Key.space,1735660111452
P,u,1735660111628
R,Key.space,1735660111642
R,u,1735660111692
P,n,1735660111819
P,d,1735660111868
R,n,1735660111904
R,d,1735660111975
P,e,1735660112060
R,e,1735660112130
P,r,1735660112171
R,r,1735660112270
P,Key.space,1735660112328
R,Key.space,1735660112531
P,f,1735660112610
R,f,1735660112733
P,i,1735660112746
R,i,1735660112806
P,r,1735660112851
R,r,1735660112934
P,e,1735660112971
R,e,1735660113078
P,Key.space,1735660113130
R,Key.space,1735660113332
P,i,1735660113497
R,i,1735660113556
P,s,1735660113666
R,s,1735660113805
P,Key.space,1735660113829
R,Key.space,1735660114077
P,n,1735660114684
R,n,1735660114770
P,e,1735660115494
R,e,1735660115611
P,v,1735660115867
R,v,1735660116018
P,e,1735660116108
R,e,1735660116237
P,r,1735660116260
R,r,1735660116380
P,Key.space,1735660116426
R,Key.space,1735660116628
P,c,1735660116788
P,l,1735660116891
R,c,1735660116923
R,l,1735660116980
P,e,1735660117067
R,e,1735660117171
P,a,1735660117268
R,a,1735660117394
P,n,1735660117451
R,n,1735660117515
P,Key.comma,1735660118347
R,Key.comma,1735660118412
P,Key.space,1735660118725
R,Key.space,1735660118891
P,Key.caps_lock,1735660119051
R,Key.caps_lock,1735660119229
P,B,1735660119374
R,B,1735660119539
P,Key.backspace,1735660120349
R,Key.backspace,1735660120426
P,Key.caps_lock,1735660120525
R,Key.caps_lock,1735660120662
P,b,1735660120795
R,b,1735660120965
P,u,1735660121587
R,u,1735660121675
P,t,1735660121834
R,t,1735660121940
P,Key.space,1735660122444
R,Key.space,1735660122659
P,w,1735660122682
R,w,1735660122812
P,h,1735660122842
R,h,1735660122899
P,e,1735660123012
R,e,1735660123122
P,n,1735660123165
R,n,1735660123226
P,Key.space,1735660123793
P,m,1735660123971
R,Key.space,1735660124003
R,m,1735660124054
P,i,1735660124172
R,i,1735660124237
P,l,1735660124407
R,l,1735660124477
P,l,1735660124563
R,l,1735660124645
P,i,1735660124749
R,i,1735660124817
P,o,1735660124915
R,o,1735660125005
P,n,1735660125037
R,n,1735660125107
P,s,1735660125187
R,s,1735660125317
P,Key.space,1735660125344
R,Key.space,1735660125555
P,o,1735660125581
R,o,1735660125660
P,f,1735660125744
R,f,1735660125930
P,Key.space,1735660125957
R,Key.space,1735660126174
P,l,1735660126819
R,l,1735660126950
P,i,1735660127076
R,i,1735660127171
P,v,1735660127348
R,v,1735660127469
P,e,1735660127604
R,e,1735660127731
P,s,1735660127859
R,s,1735660128011
P,Key.space,1735660128569
R,Key.space,1735660128726
P,a,1735660128774
R,a,1735660128899
P,r,1735660128949
R,r,1735660129043
P,e,1735660129147
R,e,1735660129271
P,Key.space,1735660129996
R,Key.space,1735660130173
P,a,1735660130188
R,a,1735660130325
P,t,1735660130364
R,t,1735660130446
P,Key.space,1735660130502
R,Key.space,1735660130739
P,s,1735660130828
R,s,1735660131044
P,t,1735660131247
R,t,1735660131364
P,a,1735660131546
R,a,1735660131682
P,k,1735660131715
R,k,1735660131795
P,e,1735660131853
R,e,1735660131981
P,Key.space,1735660132052
R,Key.space,1735660132323
P,e,1735660132578
R,e,1735660132699
P,m,1735660132777
R,m,1735660132878
P,p,1735660132988
R,p,1735660133096
P,a,1735660133251
R,a,1735660133389
P,t,1735660134037
R,t,1735660134179
P,h,1735660134296
R,h,1735660134370
P,y,1735660134507
R,y,1735660134596
P,Key.space,1735660136131
P,m,1735660136348
R,Key.space,1735660136361
R,m,1735660136451
P,u,1735660136563
R,u,1735660136640
P,s,1735660136715
R,s,1735660136869
P,t,1735660136883
R,t,1735660136989
P,Key.space,1735660137046
R,Key.space,1735660137278
P,l,1735660137357
R,l,1735660137445
P,e,1735660137535
R,e,1735660137659
P,a,1735660137782
R,a,1735660137923
P,d,1735660137949
R,d,1735660138093
P,.,1735660138605
R,.,1735660138763
