Press or Release,Key,Time
P,a,1735660004369
R,a,1735660004579
P,n,1735660004599
R,n,1735660004819
P,g,1735660005258
R,g,1735660005419
P,r,1735660005539
R,r,1735660005749
P,y,1735660005952
R,y,1735660006090
P,Key.shift,1735660007319
P,@,1735660007759
R,@,1735660007839
P,@,1735660007959
R,@,1735660008059
P,#,1735660008239
R,#,1735660008299
P,$,1735660008429
R,$,1735660008519
P,$,1735660008650
P,%,1735660008660
R,$,1735660008749
R,%,1735660008750
R,Key.shift,1735660008999
P,n,1735660012499
R,n,1735660012599
P,o,1735660012999
R,o,1735660013149
P,t,1735660013259
P,Key.space,1735660013309
R,t,1735660013379
R,Key.space,1735660013499
P,n,1735660013938
R,n,1735660014019
P,i,1735660014219
R,i,1735660014359
P,c,1735660014469
P,e,1735660014689
R,c,1735660014779
R,e,1735660014867
P,Key.shift,1735660015909
P,%,1735660016554
R,%,1735660016649
P,%,1735660016749
R,%,1735660016809
P,$,1735660016987
R,$,1735660017049
P,#,1735660017190
R,#,1735660017298
P,@,1735660017579
R,@,1735660017659
R,Key.shift,1735660017810
P,Key.shift,1735660034712
P,R,1735660035069
R,R,1735660035199
P,R,1735660035349
R,R,1735660035419
P,R,1735660035589
R,R,1735660035629
P,G,1735660036069
R,G,1735660036169
P,U,1735660036429
R,Key.shift,1735660036459
P,Key.shift,1735660036509
R,U,1735660036589
P,Key.space,1735660036749
R,Key.space,1735660036869
P,Key.space,1735660037007
R,Key.shift,1735660037019
R,Key.space,1735660037069
P,Key.space,1735660038149
R,Key.space,1735660038309
P,i,1735660038679
R,i,1735660038759
P,Key.shift,1735660039809
P,*,1735660040269
R,*,1735660040349
P,*,1735660040469
R,*,1735660040549
P,*,1735660040669
R,*,1735660040729
P,*,1735660040859
R,*,1735660040957
R,Key.shift,1735660041109
P,w,1735660042019
P,e,1735660042079
P,h,1735660042099
R,h,1735660042179
P,r,1735660042189
R,w,1735660042311
R,e,1735660042312
R,r,1735660042429
P,h,1735660042439
R,h,1735660042469
P,e,1735660042619
P,w,1735660042629
R,e,1735660042739
R,w,1735660042779
P,Key.shift,1735660043869
P,$,1735660044249
R,$,1735660044309
P,#,1735660044469
R,#,1735660044549
P,@,1735660044890
R,@,1735660044999
P,@,1735660045109
R,@,1735660045179
P,@,1735660045300
R,@,1735660045359
P,$,1735660046812
R,$,1735660046869
R,Key.shift,1735660047289
P,Key.shift,1735660052589
R,Key.shift,1735660053039
P,h,1735660053329
R,h,1735660053509
P,h,1735660053689
P,f,1735660053739
P,d,1735660053749
R,h,1735660053839
R,d,1735660053839
R,f,1735660053980
P,k,1735660054049
P,h,1735660054129
R,k,1735660054218
R,h,1735660054249
P,f,1735660054269
P,a,1735660054347
R,a,1735660054439
R,f,1735660054489
P,Key.shift,1735660055269
P,@,1735660055829
R,@,1735660055949
P,@,1735660056067
R,@,1735660056119
P,@,1735660056249
R,@,1735660056346
P,@,1735660056469
R,@,1735660056529
R,Key.shift,1735660057069
P,h,1735660062147
R,h,1735660062259
P,j,1735660062285
R,j,1735660062469
P,f,1735660062469
R,f,1735660062508
P,f,1735660062559
R,f,1735660062809
P,k,1735660062903
P,a,1735660062947
R,k,1735660063129
R,a,1735660063149
P,k,1735660063309
P,h,1735660063319
R,k,1735660063369
P,f,1735660063398
P,d,1735660063399
R,h,1735660063449
R,f,1735660063559
R,d,1735660063589
P,k,1735660063589
R,k,1735660063749
P,h,1735660063819
P,s,1735660063839
P,f,1735660063909
P,k,1735660063919
R,s,1735660063939
R,h,1735660063949
R,f,1735660063997
R,k,1735660064069
P,Key.shift,1735660064719
P,@,1735660065729
R,@,1735660065809
P,#,1735660066149
R,#,1735660066209
P,#,1735660066319
R,#,1735660066399
P,$,1735660066520
R,$,1735660066620
P,$,1735660066749
R,$,1735660066819
P,%,1735660067129
R,%,1735660067249
P,%,1735660067369
R,%,1735660067469
R,Key.shift,1735660067769
P,g,1735660071797
P,f,1735660071849
P,s,1735660071899
R,g,1735660071967
P,d,1735660071967
R,f,1735660071989
P,k,1735660072009
P,j,1735660072109
R,j,1735660072139
R,k,1735660072159
R,s,1735660072178
R,d,1735660072199
P,f,1735660072279
P,k,1735660072339
R,f,1735660072439
P,j,1735660072439
R,j,1735660072537
R,k,1735660072580
P,Key.shift,1735660073519
P,^,1735660074829
R,^,1735660074899
P,^,1735660075039
R,^,1735660075129
P,&,1735660075289
P,^,1735660075300
R,^,1735660075314
R,&,1735660075320
P,*,1735660075349
R,*,1735660075358
P,*,1735660075469
R,*,1735660075559
P,&,1735660075633
R,&,1735660075659
R,Key.shift,1735660076159
P,f,1735660076979
P,k,1735660077200
R,f,1735660077279
