Press or Release,Key,Time
P,k,1735660005035
R,k,1735660005067
P,i,1735660005157
R,i,1735660005243
P,l,1735660005339
R,l,1735660005429
P,l,1735660005459
R,l,1735660005563
P,l,1735660005613
R,l,1735660005693
P,Key.backspace,1735660006835
R,Key.backspace,1735660006914
P,Key.space,1735660007196
R,Key.space,1735660007340
P,p,1735660009043
R,p,1735660009155
P,r,1735660009229
P,i,1735660009265
R,r,1735660009315
R,i,1735660009374
P,n,1735660009461
R,n,1735660009546
P,t,1735660009571
R,t,1735660009717
P,Key.space,1735660009986
R,Key.space,1735660010170
P,s,1735660010339
R,s,1735660010517
P,c,1735660010717
R,c,1735660010813
P,r,1735660010891
R,r,1735660011028
P,o,1735660011106
R,o,1735660011203
P,l,1735660011421
R,l,1735660011499
P,l,1735660012074
R,l,1735660012181
P,Key.space,1735660012299
P,p,1735660012475
R,Key.space,1735660012515
R,p,1735660012571
P,a,1735660012619
R,a,1735660012749
P,g,1735660012873
R,g,1735660013035
P,e,1735660013116
P,Key.space,1735660013300
R,e,1735660013309
R,Key.space,1735660013491
P,u,1735660013649
R,u,1735660013769
P,p,1735660013875
R,p,1735660013994
P,Key.space,1735660014194
R,Key.space,1735660014395
P,p,1735660014411
R,p,1735660014635
P,a,1735660015045
R,a,1735660015179
P,g,1735660015203
R,g,1735660015355
P,e,1735660015475
P,Key.space,1735660015603
R,e,1735660015618
P,d,1735660015835
P,o,1735660015955
R,d,1735660015978
R,Key.space,1735660016059
R,o,1735660016091
P,n,1735660016315
R,n,1735660016442
P,w,1735660016675
R,w,1735660016893
P,Key.backspace,1735660017493
R,Key.backspace,1735660017565
P,Key.backspace,1735660017629
R,Key.backspace,1735660017701
P,w,1735660018709
R,w,1735660018997
P,n,1735660019042
R,n,1735660019162
P,Key.space,1735660019236
R,Key.space,1735660019411
P,m,1735660019499
R,m,1735660019611
P,e,1735660019611
R,e,1735660019701
P,d,1735660020067
R,d,1735660020113
P,s,1735660020251
R,s,1735660020294
P,s,1735660020397
R,s,1735660020467
P,s,1735660020595
R,s,1735660020659
P,Key.backspace,1735660021125
R,Key.backspace,1735660021179
P,Key.backspace,1735660021276
R,Key.backspace,1735660021341
P,Key.backspace,1735660021428
R,Key.backspace,1735660021482
P,Key.backspace,1735660021563
R,Key.backspace,1735660021610
P,s,1735660022107
R,s,1735660022187
P,s,1735660022291
R,s,1735660022469
P,a,1735660022603
R,a,1735660022797
P,g,1735660022853
R,g,1735660022997
P,e,1735660023018
R,e,1735660023108
P,s,1735660023235
R,s,1735660023349
P,Key.space,1735660023387
R,Key.space,1735660023546
P,b,1735660023971
R,b,1735660024098
P,o,1735660024218
R,o,1735660024289
P,o,1735660024341
R,o,1735660024466
P,k,1735660024723
R,k,1735660024818
P,m,1735660025419
R,m,1735660025600
P,a,1735660025610
R,a,1735660025732
P,r,1735660025803
R,r,1735660025932
P,k,1735660025986
R,k,1735660026098
P,s,1735660026177
R,s,1735660026364
P,Key.space,1735660026482
P,l,1735660026661
R,Key.space,1735660026684
