Press or Release,Key,Time
P,t,1735660003198
R,t,1735660003255
P,h,1735660003374
R,h,1735660003446
P,i,1735660003568
R,i,1735660003633
P,s,1735660003720
P,Key.space,1735660003868
R,s,1735660003879
R,Key.space,1735660003914
P,i,1735660004147
R,i,1735660004216
P,s,1735660004436
R,s,1735660004502
P,Key.space,1735660004637
R,Key.space,1735660004687
P,v,1735660004848
R,v,1735660004923
P,e,1735660005066
R,e,1735660005133
P,r,1735660005250
R,r,1735660005312
P,y,1735660005597
R,y,1735660005665
P,b,1735660005801
R,b,1735660005849
P,Key.backspace,1735660007131
R,Key.backspace,1735660007215
P,Key.space,1735660007591
R,Key.space,1735660007655
P,f,1735660009341
R,f,1735660009407
P,a,1735660009453
R,a,1735660009584
P,m,1735660009730
R,m,1735660009787
P,i,1735660009950
R,i,1735660010011
P,l,1735660010146
R,l,1735660010214
P,i,1735660010329
R,i,1735660010389
P,a,1735660010488
R,a,1735660010624
P,r,1735660012123
R,r,1735660012176
P,Key.space,1735660012342
R,Key.space,1735660012400
P,r,1735660013706
R,r,1735660013761
P,e,1735660013882
R,e,1735660013936
P,w,1735660014406
R,w,1735660014453
P,a,1735660014560
R,a,1735660014677
P,r,1735660014764
R,r,1735660014817
P,d,1735660014936
R,d,1735660014996
P,Key.space,1735660015124
R,Key.space,1735660015186
P,p,1735660015592
R,p,1735660015655
P,r,1735660015882
R,r,1735660015949
P,o,1735660016249
R,o,1735660016318
P,g,1735660016562
R,g,1735660016635
P,r,1735660016783
R,r,1735660016841
P,a,1735660017063
R,a,1735660017191
P,m,1735660017341
R,m,1735660017397
P,m,1735660017482
R,m,1735660017534
P,.,1735660019471
R,.,1735660019529
P,Key.space,1735660019714
R,Key.space,1735660019757
P,Key.backspace,1735660020740
R,Key.backspace,1735660020811
P,Key.backspace,1735660020896
R,Key.backspace,1735660020969
P,Key.backspace,1735660021935
R,Key.backspace,1735660022017
P,e,1735660022393
R,e,1735660022458
P,Key.space,1735660022632
R,Key.space,1735660022689
P,.,1735660029642
R,.,1735660029708
P,Key.space,1735660029863
R,Key.space,1735660029916
P,s,1735660030682
R,s,1735660030819
P,o,1735660030950
R,o,1735660031010
P,m,1735660031146
R,m,1735660031202
P,e,1735660031410
R,e,1735660031478
P,Key.space,1735660031682
R,Key.space,1735660031734
P,o,1735660031996
R,o,1735660032042
P,n,1735660032204
R,n,1735660032268
P,e,1735660032490
R,e,1735660032599
P,Key.space,1735660032699
R,Key.space,1735660032793
P,e,1735660032953
R,e,1735660033011
P,s,1735660033127
R,s,1735660033189
P,Key.backspace,1735660033827
R,Key.backspace,1735660033872
P,t,1735660034372
R,t,1735660034432
P,e,1735660034572
R,e,1735660034647
P,l,1735660035056
R,l,1735660035083
P,l,1735660035152
R,l,1735660035251
P,s,1735660035334
R,s,1735660035470
P,Key.space,1735660035477
R,Key.space,1735660035540
P,t,1735660035734
R,t,1735660035790
P,h,1735660035939
R,h,1735660036007
P,e,1735660036184
R,e,1735660036249
P,Key.space,1735660036678
R,Key.space,1735660036699
P,Key.backspace,1735660039355
R,Key.backspace,1735660039428
P,Key.space,1735660042297
R,Key.space,1735660042377
P,Key.backspace,1735660045063
R,Key.backspace,1735660045129
P,Key.backspace,1735660045230
R,Key.backspace,1735660045294
P,Key.backspace,1735660045608
R,Key.backspace,1735660045683
P,Key.backspace,1735660045768
R,Key.backspace,1735660045837
P,h,1735660046792
R,h,1735660046863
P,i,1735660046991
R,i,1735660047057
P,s,1735660047308
R,s,1735660047369
P,Key.space,1735660047490
R,Key.space,1735660047565
P,e,1735660048136
R,e,1735660048213
P,x,1735660048369
R,x,1735660048448
P,c,1735660048713
R,c,1735660048776
P,i,1735660049093
R,i,1735660049157
P,t,1735660049482
R,t,1735660049548
P,e,1735660049662
R,e,1735660049724
P,m,1735660050091
R,m,1735660050150
P,e,1735660050330
R,e,1735660050450
P,n,1735660050526
R,n,1735660050596
P,t,1735660051121
R,t,1735660051182
P,Key.space,1735660051367
R,Key.space,1735660051432
P,b,1735660051575
R,b,1735660051642
P,u,1735660051816
R,u,1735660051884
P,t,1735660052085
R,t,1735660052147
P,Key.space,1735660052306
R,Key.space,1735660052380
P,i,1735660052623
R,i,1735660052687
P,t,1735660052916
R,t,1735660052977
P,Key.space,1735660053168
R,Key.space,1735660053225
P,s,1735660054479
R,s,1735660054628
P,u,1735660054758
R,u,1735660054826
P,d,1735660055109
R,d,1735660055173
P,d,1735660055252
R,d,1735660055322
P,e,1735660055414
R,e,1735660055471
P,n,1735660055852
R,n,1735660055916
P,l,1735660056146
R,l,1735660056227
P,y,1735660056699
R,y,1735660056764
P,Key.space,1735660056943
R,Key.space,1735660057009
P,m,1735660057304
R,m,1735660057380
P,a,1735660057451
R,a,1735660057579
P,k,1735660057716
R,k,1735660057797
P,e,1735660058065
R,e,1735660058126
P,Key.space,1735660058266
R,Key.space,1735660058330
P,a,1735660058471
R,a,1735660058593
P,n,1735660059511
R,n,1735660059577
P,x,1735660059746
R,x,1735660059806
P,i,1735660060133
R,i,1735660060202
P,o,1735660060326
R,o,1735660060401
P,u,1735660060599
R,u,1735660060666
P,s,1735660060957
R,s,1735660061022
P,Key.space,1735660061412
R,Key.space,1735660061464
P,t,1735660062924
R,t,1735660062985
P,o,1735660063360
R,o,1735660063421
P,Key.space,1735660063611
R,Key.space,1735660063670
P,w,1735660064033
R,w,1735660064151
P,i,1735660064255
R,i,1735660064316
P,l,1735660064440
R,l,1735660064516
P,s,1735660065050
R,s,1735660065162
P,m,1735660065287
R,m,1735660065348
P,i,1735660065490
R,i,1735660065554
P,t,1735660065761
R,t,1735660065820
P,h,1735660065960
R,h,1735660066022
P,Key.space,1735660066333
R,Key.space,1735660066393
P,s,1735660069640
R,s,1735660069762
P,o,1735660069882
R,o,1735660069949
P,Key.space,1735660070093
R,Key.space,1735660070175
P,n,1735660072548
R,n,1735660072597
P,o,1735660072861
R,o,1735660072913
P,t,1735660073520
R,t,1735660073596
P,Key.space,1735660073783
R,Key.space,1735660073840
P,s,1735660075693
R,s,1735660075756
P,a,1735660075857
R,a,1735660075986
P,y,1735660076279
R,y,1735660076340
P,Key.space,1735660076493
R,Key.space,1735660076552
P,a,1735660076694
R,a,1735660076816
P,n,1735660076879
R,n,1735660076930
P,y,1735660077366
R,y,1735660077424
P,Key.space,1735660077575
R,Key.space,1735660077634
P,n,1735660077760
R,n,1735660077827
P,e,1735660078090
R,e,1735660078151
P,a,1735660078255
R,a,1735660078367
P,Key.backspace,1735660080376
R,Key.backspace,1735660080448
P,g,1735660080825
R,g,1735660080890
P,a,1735660080983
R,a,1735660081091
P,t,1735660081176
R,t,1735660081237
P,i,1735660081458
R,i,1735660081515
P,v,1735660081865
R,v,1735660081936
P,e,1735660082113
R,e,1735660082176
P,Key.space,1735660082328
R,Key.space,1735660082394
P,c,1735660082545
R,c,1735660082595
P,o,1735660082897
R,o,1735660082954
P,m,1735660083129
R,m,1735660083191
P,m,1735660083259
R,m,1735660083330
P,e,1735660083606
R,e,1735660083706
P,n,1735660083773
R,n,1735660083855
P,t,1735660084026
R,t,1735660084089
P,Key.space,1735660084250
R,Key.space,1735660084319
P,a,1735660084671
R,a,1735660084777
P,s,1735660084895
R,s,1735660084965
P,Key.space,1735660085098
R,Key.space,1735660085168
P,p,1735660085546
R,p,1735660085616
P,u,1735660085872
R,u,1735660085941
P,Key.backspace,1735660086736
R,Key.backspace,1735660086822
P,Key.backspace,1735660087274
R,Key.backspace,1735660087349
P,i,1735660088372
R,i,1735660088437
P,n,1735660088580
R,n,1735660088635
P,Key.space,1735660088745
R,Key.space,1735660088809
P,p,1735660089025
R,p,1735660089091
P,u,1735660089330
R,u,1735660089385
P,b,1735660089566
R,b,1735660089624
P,l,1735660089865
R,l,1735660089940
P,i,1735660090051
R,i,1735660090118
P,c,1735660090395
R,c,1735660090453
P,Key.space,1735660090582
R,Key.space,1735660090641
P,p,1735660090925
R,p,1735660090984
P,l,1735660091093
R,l,1735660091157
P,a,1735660091284
R,a,1735660091405
P,c,1735660091498
R,c,1735660091563
P,e,1735660091689
R,e,1735660091747
P,.,1735660092181
R,.,1735660092231
