Press or Release,Key,Time
P,a,1735660004419
R,a,1735660004498
P,m,1735660004503
R,m,1735660004583
P,e,1735660004718
R,e,1735660004793
P,r,1735660004919
R,r,1735660004983
P,i,1735660005053
R,i,1735660005113
P,c,1735660005299
R,c,1735660005383
P,a,1735660005438
R,a,1735660005538
P,Key.space,1735660005609
R,Key.space,1735660005673
P,p,1735660006278
R,p,1735660006358
P,r,1735660006483
R,r,1735660006558
P,e,1735660006668
R,e,1735660006753
P,s,1735660006928
R,s,1735660007058
P,i,1735660007088
R,i,1735660007158
P,d,1735660007353
R,d,1735660007423
P,e,1735660008098
R,e,1735660008163
P,n,1735660008218
R,n,1735660008288
P,t,1735660008479
R,t,1735660008533
P,Key.space,1735660008658
R,Key.space,1735660008733
P,t,1735660009859
R,t,1735660009913
P,r,1735660010158
R,r,1735660010218
P,u,1735660010408
R,u,1735660010458
P,m,1735660010598
R,m,1735660010679
P,p,1735660010838
R,p,1735660010898
P,Key.space,1735660011058
R,Key.space,1735660011113
P,a,1735660011168
R,a,1735660011293
P,n,1735660011318
R,n,1735660011383
P,d,1735660011508
R,d,1735660011648
P,Key.space,1735660011678
R,Key.space,1735660011748
P,u,1735660012138
R,u,1735660012198
P,r,1735660012608
R,r,1735660012723
P,k,1735660013238
R,k,1735660013318
P,r,1735660015253
R,r,1735660015338
P,a,1735660015473
R,a,1735660015573
P,i,1735660015608
R,i,1735660015678
P,e,1735660015853
R,e,1735660015983
P,n,1735660015984
R,n,1735660016018
P,Key.space,1735660016158
R,Key.space,1735660016218
P,Key.backspace,1735660017073
R,Key.backspace,1735660017118
P,Key.backspace,1735660017219
R,Key.backspace,1735660017273
P,Key.backspace,1735660017338
R,Key.backspace,1735660017398
P,n,1735660017598
R,n,1735660017673
P,e,1735660017753
P,Key.space,1735660017818
R,e,1735660017883
R,Key.space,1735660017883
P,p,1735660018074
R,p,1735660018113
P,r,1735660018223
R,r,1735660018288
P,e,1735660018418
R,e,1735660018508
P,s,1735660018778
R,s,1735660018863
P,i,1735660018933
R,i,1735660018998
P,d,1735660019738
R,d,1735660019813
P,e,1735660019918
R,e,1735660020008
P,n,1735660020118
R,n,1735660020203
P,t,1735660020393
R,t,1735660020458
P,Key.space,1735660020583
R,Key.space,1735660020648
P,z,1735660021718
R,z,1735660021843
P,e,1735660022038
R,e,1735660022143
P,k,1735660022458
R,k,1735660022498
P,Key.backspace,1735660022958
R,Key.backspace,1735660022988
P,l,1735660024063
R,l,1735660024148
P,e,1735660024198
R,e,1735660024298
P,n,1735660024353
R,n,1735660024438
P,s,1735660024883
R,s,1735660025008
P,k,1735660025038
R,k,1735660025113
P,y,1735660025278
R,y,1735660025303
P,Key.space,1735660025438
R,Key.space,1735660025518
P,c,1735660025733
R,c,1735660025818
P,o,1735660025818
R,o,1735660025878
P,n,1735660026038
R,n,1735660026099
P,v,1735660026308
R,v,1735660026378
P,e,1735660026473
R,e,1735660026558
P,r,1735660026663
R,r,1735660026728
P,s,1735660026878
R,s,1735660026968
P,a,1735660027078
R,a,1735660027193
P,t,1735660027283
R,t,1735660027343
P,i,1735660027498
R,i,1735660027578
P,o,1735660027683
R,o,1735660027753
P,n,1735660027894
R,n,1735660027953
P,Key.space,1735660028058
R,Key.space,1735660028148
P,a,1735660028233
R,a,1735660028328
P,b,1735660028338
R,b,1735660028408
P,o,1735660028583
R,o,1735660028648
P,u,1735660028783
R,u,1735660028878
P,t,1735660029003
R,t,1735660029078
P,Key.space,1735660029228
R,Key.space,1735660029328
P,t,1735660029498
R,t,1735660029518
P,h,1735660029653
R,h,1735660029718
P,e,1735660029883
R,e,1735660030033
P,Key.space,1735660030068
R,Key.space,1735660030139
P,u,1735660030799
R,u,1735660030843
P,l,1735660031319
R,l,1735660031373
P,Key.backspace,1735660031738
R,Key.backspace,1735660031778
P,k,1735660031988
R,k,1735660032018
P,r,1735660032218
R,r,1735660032298
P,a,1735660032419
R,a,1735660032503
P,i,1735660032553
R,i,1735660032578
P,n,1735660032718
R,n,1735660032778
P,e,1735660032808
R,e,1735660032918
P,Key.space,1735660032938
R,Key.space,1735660033018
P,a,1735660033113
R,a,1735660033238
P,n,1735660033243
R,n,1735660033318
P,d,1735660033393
R,d,1735660033548
P,Key.space,1735660033568
R,Key.space,1735660033658
P,r,1735660034403
R,r,1735660034493
P,u,1735660034578
R,u,1735660034638
P,s,1735660034738
R,s,1735660034788
P,s,1735660034898
R,s,1735660034978
P,i,1735660035038
R,i,1735660035118
P,a,1735660035178
R,a,1735660035273
P,Key.space,1735660035338
R,Key.space,1735660035398
P,w,1735660035518
R,w,1735660035618
P,a,1735660035738
R,a,1735660035843
P,r,1735660035958
R,r,1735660036014
P,.,1735660166202
R,.,1735660166238
P,Key.space,1735660166418
R,Key.space,1735660166453
P,u,1735660166763
R,u,1735660166813
P,r,1735660167098
R,r,1735660167238
P,k,1735660167598
R,k,1735660167663
P,a,1735660169518
R,a,1735660169638
P,i,1735660169722
R,i,1735660169798
P,n,1735660170258
R,n,1735660170294
P,e,1735660170398
R,e,1735660170498
P,Key.space,1735660170553
R,Key.space,1735660170603
P,i,1735660170813
R,i,1735660170873
P,s,1735660170998
