Press or Release,Key,Time
P,a,1735660001639
P,s,1735660001753
P,d,1735660001770
R,a,1735660001849
P,f,1735660001851
P,Key.space,1735660001852
R,s,1735660001856
R,d,1735660001884
P,o,1735660001919
R,f,1735660001992
P,i,1735660001997
P,a,1735660002021
R,i,1735660002061
P,j,1735660002062
R,o,1735660002063
P,s,1735660002081
P,d,1735660002109
P,',1735660002165
R,a,1735660002167
P,f,1735660002181
R,s,1735660002188
R,j,1735660002205
R,d,1735660002216
R,Key.space,1735660002217
R,f,1735660002286
P,a,1735660002327
R,',1735660002357
P,s,1735660002386
P,Key.space,1735660002402
P,d,1735660002430
R,s,1735660002450
P,f,1735660002457
R,a,1735660002460
R,d,1735660002482
P,o,1735660002521
R,f,1735660002560
P,j,1735660002580
P,a,1735660002588
R,o,1735660002614
P,d,1735660002648
P,s,1735660002650
R,Key.space,1735660002689
R,a,1735660002692
R,s,1735660002721
P,f,1735660002738
P,o,1735660002769
P,8,1735660002771
R,d,1735660002772
R,j,1735660002781
R,o,1735660002831
R,f,1735660002837
P,a,1735660002875
P,u,1735660002889
P,s,1735660002913
P,d,1735660002953
R,a,1735660002976
R,s,1735660002984
R,8,1735660003000
P,f,1735660003005
R,d,1735660003028
P,Key.space,1735660003061
P,',1735660003065
R,u,1735660003081
R,f,1735660003121
P,a,1735660003141
P,s,1735660003170
R,Key.space,1735660003181
P,p,1735660003195
P,d,1735660003235
R,a,1735660003274
P,o,1735660003275
P,Key.space,1735660003279
R,',1735660003281
R,s,1735660003289
P,f,1735660003295
R,p,1735660003312
P,j,1735660003329
R,d,1735660003332
R,o,1735660003344
R,f,1735660003422
P,a,1735660003434
P,o,1735660003435
P,s,1735660003457
R,j,1735660003472
P,9,1735660003502
P,d,1735660003514
R,a,1735660003537
P,f,1735660003562
R,s,1735660003569
R,Key.space,1735660003581
R,d,1735660003650
R,o,1735660003650
P,u,1735660003652
P,Key.space,1735660003659
R,9,1735660003689
R,f,1735660003691
P,a,1735660003695
P,',1735660003725
R,u,1735660003776
P,s,1735660003788
P,d,1735660003804
R,d,1735660004030
P,o,1735660004031
P,p,1735660004033
R,s,1735660004034
R,',1735660004034
P,s,1735660004042
P,d,1735660004091
P,i,1735660004116
R,p,1735660004118
R,a,1735660004132
R,Key.space,1735660004137
R,o,1735660004157
P,f,1735660004159
R,s,1735660004168
P,Key.space,1735660004205
R,d,1735660004225
P,o,1735660004236
P,a,1735660004285
R,f,1735660004286
P,;,1735660004335
R,i,1735660004352
P,s,1735660004356
R,;,1735660004360
R,o,1735660004385
P,d,1735660004391
R,a,1735660004407
R,s,1735660004436
P,f,1735660004453
R,Key.space,1735660004460
P,Key.enter,1735660004479
R,d,1735660004483
R,f,1735660004554
P,a,1735660004577
P,s,1735660004610
P,[,1735660004635
R,Key.enter,1735660004660
P,d,1735660004664
R,[,1735660004679
R,a,1735660004701
R,s,1735660004710
P,f,1735660004720
P,Key.space,1735660004728
R,d,1735660004761
P,o,1735660004781
P,9,1735660004806
R,Key.space,1735660004825
R,f,1735660004832
P,a,1735660004854
R,o,1735660004910
P,s,1735660004912
P,u,1735660004914
P,d,1735660004937
R,9,1735660004953
R,a,1735660004968
R,s,1735660004969
P,f,1735660004977
P,Key.space,1735660004980
R,d,1735660005012
P,o,1735660005065
R,u,1735660005067
P,9,1735660005081
R,f,1735660005095
P,a,1735660005099
R,Key.space,1735660005129
P,s,1735660005153
P,d,1735660005172
R,a,1735660005222
P,f,1735660005238
R,s,1735660005239
R,o,1735660005246
R,9,1735660005255
P,Key.space,1735660005285
R,d,1735660005289
R,Key.space,1735660005326
R,f,1735660005341
P,Key.enter,1735660005343
P,a,1735660005383
P,s,1735660005452
P,d,1735660005473
P,[,1735660005489
R,a,1735660005513
R,Key.enter,1735660005521
P,f,1735660005529
R,s,1735660005532
R,[,1735660005550
P,Key.space,1735660005565
R,d,1735660005580
P,9,1735660005628
R,f,1735660005635
P,a,1735660005672
R,Key.space,1735660005680
P,s,1735660005688
P,Key.space,1735660005732
P,d,1735660005756
P,u,1735660005768
R,a,1735660005785
R,s,1735660005792
P,f,1735660005796
R,9,1735660005803
R,d,1735660005825
R,u,1735660005880
P,',1735660005894
R,f,1735660005895
P,a,1735660005912
P,s,1735660005992
P,9,1735660005996
P,d,1735660006008
R,Key.space,1735660006019
R,',1735660006040
R,a,1735660006043
R,s,1735660006062
P,f,1735660006063
P,i,1735660006092
R,d,1735660006108
R,9,1735660006135
R,f,1735660006164
R,i,1735660006171
P,a,1735660006202
P,Key.shift,1735660006243
P,Key.enter,1735660006256
P,S,1735660006273
R,Key.shift,1735660006292
P,d,1735660006311
R,a,1735660006340
R,Key.enter,1735660006355
R,S,1735660006367
P,f,1735660006371
R,d,1735660006404
R,f,1735660006469
P,a,1735660006504
P,9,1735660006520
P,s,1735660006571
P,o,1735660006588
P,d,1735660006591
R,s,1735660006625
R,a,1735660006685
P,f,1735660006690
R,d,1735660006693
R,o,1735660006693
P,u,1735660006694
R,9,1735660006733
R,f,1735660006737
P,a,1735660006777
P,',1735660006779
P,Key.space,1735660006788
R,u,1735660006795
P,s,1735660006851
R,Key.space,1735660006876
P,d,1735660006888
R,a,1735660006901
P,f,1735660006937
R,s,1735660006943
P,p,1735660006965
R,d,1735660006976
R,',1735660006983
R,p,1735660007032
P,i,1735660007061
P,a,1735660007069
R,f,1735660007072
P,s,1735660007140
R,i,1735660007172
P,d,1735660007183
P,o,1735660007188
R,a,1735660007208
