Press or Release,Key,Time
P,Key.caps_lock,1735660004062
R,Key.caps_lock,1735660004134
P,Key.shift,1735660004798
P,I,1735660004908
R,I,1735660004976
P,Key.space,1735660004985
R,Key.shift,1735660004996
R,Key.space,1735660005040
P,j,1735660005110
R,j,1735660005172
P,u,1735660005258
P,s,1735660005312
R,u,1735660005339
P,t,1735660005352
R,s,1735660005390
P,Key.space,1735660005429
R,t,1735660005440
R,Key.space,1735660005491
P,w,1735660005615
R,w,1735660005696
P,a,1735660005750
R,a,1735660005845
P,t,1735660005932
R,t,1735660006004
P,c,1735660006205
R,c,1735660006291
P,h,1735660006302
R,h,1735660006357
P,e,1735660006401
R,e,1735660006463
P,d,1735660006543
P,Key.space,1735660006604
R,d,1735660006614
R,Key.space,1735660006677
P,Key.backspace,1735660006852
R,Key.backspace,1735660006908
P,Key.backspace,1735660006980
R,Key.backspace,1735660007035
P,Key.backspace,1735660007098
R,Key.backspace,1735660007161
P,Key.backspace,1735660007226
R,Key.backspace,1735660007290
P,Key.backspace,1735660007357
R,Key.backspace,1735660007418
P,Key.backspace,1735660007481
R,Key.backspace,1735660007555
P,Key.backspace,1735660007609
R,Key.backspace,1735660007689
P,s,1735660007704
R,s,1735660007790
P,a,1735660007879
R,a,1735660007941
P,Key.backspace,1735660008034
R,Key.backspace,1735660008078
P,Key.backspace,1735660008144
R,Key.backspace,1735660008200
P,Key.backspace,1735660008265
R,Key.backspace,1735660008341
P,s,1735660008350
R,s,1735660008418
P,a,1735660008489
R,a,1735660008533
P,w,1735660008622
R,w,1735660008679
P,Key.space,1735660008717
R,Key.space,1735660008769
P,a,1735660009020
R,a,1735660009098
P,Key.space,1735660009107
R,Key.space,1735660009165
P,c,1735660009232
P,l,1735660009273
R,c,1735660009289
R,l,1735660009330
P,i,1735660009400
R,i,1735660009461
P,p,1735660009541
R,p,1735660009613
P,Key.space,1735660009632
P,f,1735660009662
R,Key.space,1735660009704
R,f,1735660009735
P,r,1735660009813
R,r,1735660009891
P,o,1735660009898
P,m,1735660009938
R,o,1735660009977
P,Key.space,1735660010024
R,m,1735660010041
P,t,1735660010074
R,Key.space,1735660010091
R,t,1735660010136
P,h,1735660010145
P,e,1735660010186
R,h,1735660010242
R,e,1735660010253
P,Key.space,1735660010272
R,Key.space,1735660010328
P,n,1735660010385
P,e,1735660010402
R,e,1735660010476
R,n,1735660010486
P,d,1735660010706
R,d,1735660010790
P,Key.backspace,1735660010959
R,Key.backspace,1735660010996
P,Key.backspace,1735660011066
R,Key.backspace,1735660011112
P,Key.backspace,1735660011170
R,Key.backspace,1735660011238
P,e,1735660011261
R,e,1735660011340
P,n,1735660011351
R,n,1735660011410
P,d,1735660011449
R,d,1735660011511
P,i,1735660011540
P,n,1735660011591
R,i,1735660011622
R,n,1735660011662
P,g,1735660011671
P,Key.space,1735660011716
