Press or Release,Key,Time
P,e,1735660126363
R,e,1735660126493
P,m,1735660126631
R,m,1735660126722
P,b,1735660130168
R,b,1735660130261
P,o,1735660130512
R,o,1735660130653
P,d,1735660131915
R,d,1735660132045
P,y,1735660132303
R,y,1735660132392
P,i,1735660132665
R,i,1735660132743
P,n,1735660132994
R,n,1735660133041
P,g,1735660133251
R,g,1735660133326
P,Key.space,1735660133537
R,Key.space,1735660133626
P,t,1735660133861
R,t,1735660133918
P,h,1735660134068
R,h,1735660134146
P,e,1735660134245
R,e,1735660134354
P,Key.space,1735660134453
R,Key.space,1735660134539
P,Key.backspace,1735660138581
R,Key.backspace,1735660138688
P,Key.backspace,1735660138798
R,Key.backspace,1735660138871
P,Key.backspace,1735660138991
R,Key.backspace,1735660139061
P,Key.backspace,1735660139756
R,Key.backspace,1735660139841
P,a,1735660141758
R,a,1735660141844
P,Key.space,1735660142091
R,Key.space,1735660142184
P,c,1735660142635
R,c,1735660142695
P,o,1735660142938
R,o,1735660143007
P,a,1735660143348
R,a,1735660143365
P,c,1735660143568
R,c,1735660143715
P,h,1735660143853
R,h,1735660143962
P,Key.space,1735660144130
R,Key.space,1735660144186
P,w,1735660148158
R,w,1735660148254
P,h,1735660148723
R,h,1735660148792
P,o,1735660149291
R,o,1735660149368
P,Key.space,1735660149652
R,Key.space,1735660149655
P,g,1735660149998
R,g,1735660150077
P,e,1735660150427
R,e,1735660150521
P,n,1735660150842
R,n,1735660150955
P,u,1735660153745
R,u,1735660153861
P,i,1735660155573
R,i,1735660155676
P,e,1735660156118
R,e,1735660156226
P,n,1735660156365
R,n,1735660156407
P,l,1735660156927
R,l,1735660157028
P,y,1735660157371
R,y,1735660157461
P,Key.space,1735660157678
R,Key.space,1735660157752
P,Key.space,1735660165645
R,Key.space,1735660165797
P,c,1735660168167
R,c,1735660168250
P,a,1735660168576
R,a,1735660168599
P,r,1735660169175
R,r,1735660169256
P,e,1735660169421
R,e,1735660169500
P,s,1735660169601
R,s,1735660169691
P,Key.space,1735660169996
R,Key.space,1735660170087
P,a,1735660170646
R,a,1735660170717
P,b,1735660171217
R,b,1735660171284
P,o,1735660171726
R,o,1735660171822
P,u,1735660172021
R,u,1735660172101
P,r,1735660172361
R,r,1735660172412
P,Key.backspace,1735660173691
R,Key.backspace,1735660173782
P,t,1735660174177
R,t,1735660174241
P,Key.space,1735660174467
R,Key.space,1735660174557
P,h,1735660179921
R,h,1735660179993
P,i,1735660180386
R,i,1735660180471
P,s,1735660180609
R,s,1735660180728
P,Key.space,1735660180853
R,Key.space,1735660180935
P,p,1735660182860
R,p,1735660182942
P,l,1735660183102
R,l,1735660183196
P,a,1735660183493
R,a,1735660183591
P,y,1735660183836
R,y,1735660183922
P,e,1735660184087
R,e,1735660184163
P,r,1735660184581
R,r,1735660184672
P,s,1735660184830
R,s,1735660184883
P,Key.space,1735660185052
R,Key.space,1735660185142
P,f,1735660187058
R,f,1735660187161
P,u,1735660187587
R,u,1735660187668
P,t,1735660187961
R,t,1735660188020
P,u,1735660188458
R,u,1735660188542
P,r,1735660188782
R,r,1735660188863
P,e,1735660188988
R,e,1735660189027
P,s,1735660189211
R,s,1735660189326
P,Key.space,1735660191599
R,Key.space,1735660191705
P,t,1735660198153
R,t,1735660198221
P,h,1735660198392
R,h,1735660198462
P,e,1735660198628
R,e,1735660198722
P,Key.space,1735660198822
R,Key.space,1735660198892
P,f,1735660199161
R,f,1735660199245
P,l,1735660199640
R,l,1735660199727
P,i,1735660199909
R,i,1735660199977
P,m,1735660200191
R,m,1735660200215
P,Key.space,1735660200402
R,Key.space,1735660200490
P,a,1735660200626
R,a,1735660200766
P,l,1735660200871
R,l,1735660200966
P,s,1735660201082
R,s,1735660201227
P,o,1735660202454
R,o,1735660202542
P,Key.space,1735660202812
R,Key.space,1735660202865
P,Key.backspace,1735660208136
R,Key.backspace,1735660208221
P,Key.backspace,1735660208331
R,Key.backspace,1735660208413
P,Key.backspace,1735660208508
R,Key.backspace,1735660208599
P,i,1735660210738
R,i,1735660210801
P,l,1735660210992
R,l,1735660211072
P,m,1735660211365
R,m,1735660211446
P,Key.space,1735660211647
R,Key.space,1735660211692
P,Key.backspace,1735660213201
R,Key.backspace,1735660213280
P,d,1735660217671
R,d,1735660217756
P,e,1735660217871
R,e,1735660217958
P,p,1735660220866
R,p,1735660220960
P,i,1735660221150
R,i,1735660221245
P,c,1735660221547
R,c,1735660221625
P,t,1735660221828
R,t,1735660221921
P,s,1735660222111
R,s,1735660222198
P,Key.space,1735660222567
R,Key.space,1735660222681
P,t,1735660223362
R,t,1735660223436
P,h,1735660223628
R,h,1735660223713
P,e,1735660223993
R,e,1735660224073
P,Key.space,1735660224403
R,Key.space,1735660224518
P,s,1735660226482
R,s,1735660226552
P,t,1735660227116
R,t,1735660227201
P,r,1735660227326
R,r,1735660227386
P,u,1735660227898
R,u,1735660227981
P,g,1735660228198
R,g,1735660228266
P,g,1735660228363
R,g,1735660228425
P,l,1735660229457
R,l,1735660229553
P,e,1735660229948
R,e,1735660230038
P,s,1735660230171
R,s,1735660230243
P,Key.space,1735660230501
R,Key.space,1735660230583
P,p,1735660231598
R,p,1735660231662
P,l,1735660231811
R,l,1735660231905
P,a,1735660232322
R,a,1735660232388
P,y,1735660232968
R,y,1735660233047
P,e,1735660233371
R,e,1735660233451
P,r,1735660233578
R,r,1735660233663
P,s,1735660233834
R,s,1735660233911
P,Key.space,1735660234161
R,Key.space,1735660234231
P,l,1735660235352
R,l,1735660235431
P,i,1735660235731
R,i,1735660235787
P,f,1735660236616
R,f,1735660236696
P,e,1735660236873
R,e,1735660236961
P,Key.space,1735660237256
R,Key.space,1735660237326
P,a,1735660244605
R,a,1735660244658
P,n,1735660245211
R,n,1735660245302
P,d,1735660245561
R,d,1735660245651
P,Key.space,1735660245866
R,Key.space,1735660245946
P,m,1735660247138
R,m,1735660247228
P,o,1735660247337
R,o,1735660247430
P,s,1735660247736
R,s,1735660247797
P,t,1735660248221
R,t,1735660248297
P,Key.space,1735660248546
R,Key.space,1735660248626
P,i,1735660249282
R,i,1735660249371
P,m,1735660249756
R,m,1735660249836
P,p,1735660250135
R,p,1735660250207
P,o,1735660250358
R,o,1735660250441
P,r,1735660250787
R,r,1735660250840
P,t,1735660250987
R,t,1735660251055
P,a,1735660251289
R,a,1735660251368
P,n,1735660251991
R,n,1735660252037
P,f,1735660252306
R,f,1735660252388
P,Key.backspace,1735660253491
R,Key.backspace,1735660253580
P,t,1735660253962
R,t,1735660254042
P,Key.space,1735660254258
R,Key.space,1735660254335
P,t,1735660254570
R,t,1735660254645
P,h,1735660254822
R,h,1735660254905
P,e,1735660255097
R,e,1735660255172
P,Key.space,1735660255387
R,Key.space,1735660255475
P,c,1735660255748
R,c,1735660255808
P,o,1735660256648
R,o,1735660256725
