Press or Release,Key,Time
P,t,1735660002394
R,t,1735660002492
P,r,1735660002614
R,r,1735660002719
P,u,1735660002776
R,u,1735660002832
P,m,1735660002977
R,m,1735660003049
P,p,1735660003178
R,p,1735660003288
P,Key.space,1735660003290
R,Key.space,1735660003386
P,v,1735660003694
R,v,1735660003759
P,a,1735660003809
R,a,1735660003916
P,n,1735660003936
R,n,1735660004014
P,c,1735660004095
R,c,1735660004203
P,e,1735660004319
R,e,1735660004419
P,Key.space,1735660004436
R,Key.space,1735660004560
P,z,1735660004825
R,z,1735660004934
P,e,1735660005076
R,e,1735660005160
P,l,1735660005197
R,l,1735660005292
P,e,1735660005314
R,e,1735660005410
P,n,1735660005718
R,n,1735660005783
P,s,1735660006976
R,s,1735660007035
P,a,1735660007236
R,a,1735660007272
P,k,1735660007480
R,k,1735660007548
P,y,1735660007775
R,y,1735660007849
P,Key.space,1735660007916
R,Key.space,1735660008024
P,w,1735660008058
R,w,1735660008134
P,h,1735660008207
P,a,1735660008262
R,h,1735660008276
R,a,1735660008400
P,t,1735660008613
R,t,1735660008676
P,s,1735660009074
R,s,1735660009194
P,Key.space,1735660009252
R,Key.space,1735660009366
P,t,1735660009396
R,t,1735660009502
P,h,1735660009515
R,h,1735660009598
P,e,1735660009673
R,e,1735660009784
P,Key.space,1735660009800
R,Key.space,1735660009891
P,u,1735660009990
R,u,1735660010080
P,s,1735660010129
R,s,1735660010244
P,e,1735660010356
R,e,1735660010453
P,Key.space,1735660010454
R,Key.space,1735660010542
P,o,1735660010643
R,o,1735660010735
P,f,1735660010747
R,f,1735660010875
P,Key.space,1735660010909
R,Key.space,1735660011032
P,s,1735660011293
R,s,1735660011380
P,u,1735660011409
R,u,1735660011478
P,c,1735660011575
R,c,1735660011680
P,h,1735660011745
R,h,1735660011838
P,Key.space,1735660011900
R,Key.space,1735660012007
P,p,1735660012310
R,p,1735660012407
P,r,1735660012507
R,r,1735660012606
P,e,1735660012729
R,e,1735660012801
P,s,1735660012947
R,s,1735660013038
P,i,1735660013078
R,i,1735660013155
P,d,1735660013215
R,d,1735660013309
P,e,1735660013401
R,e,1735660013507
P,n,1735660013517
R,n,1735660013594
P,t,1735660013705
R,t,1735660013811
P,i,1735660013866
R,i,1735660013936
P,a,1735660013990
P,l,1735660014101
R,a,1735660014123
R,l,1735660014193
P,Key.space,1735660014221
R,Key.space,1735660014299
P,m,1735660014382
R,m,1735660014457
P,e,1735660014482
R,e,1735660014571
P,e,1735660014657
R,e,1735660014732
P,t,1735660014900
P,i,1735660014976
R,t,1735660014985
R,i,1735660015048
P,n,1735660015164
R,n,1735660015230
P,g,1735660015441
R,g,1735660015523
P,s,1735660015764
R,s,1735660015850
P,Key.space,1735660015908
R,Key.space,1735660016021
P,i,1735660016132
R,i,1735660016219
P,f,1735660016368
R,f,1735660016456
P,Key.space,1735660016518
R,Key.space,1735660016626
P,c,1735660017187
R,c,1735660017298
P,o,1735660017303
R,o,1735660017371
P,m,1735660017524
R,m,1735660017572
P,m,1735660017659
R,m,1735660017710
P,o,1735660017819
R,o,1735660017893
P,n,1735660018003
R,n,1735660018108
P,Key.space,1735660018125
R,Key.space,1735660018199
P,p,1735660018312
R,p,1735660018400
P,e,1735660018476
R,e,1735660018585
P,o,1735660018612
R,o,1735660018664
P,p,1735660018779
R,p,1735660018836
P,l,1735660018945
R,l,1735660019007
P,s,1735660019120
R,s,1735660019230
P,Key.space,1735660019295
R,Key.space,1735660019411
P,a,1735660019593
R,a,1735660019701
P,Key.backspace,1735660019914
R,Key.backspace,1735660019978
P,Key.backspace,1735660020064
R,Key.backspace,1735660020122
P,Key.backspace,1735660020178
R,Key.backspace,1735660020265
P,e,1735660020571
R,e,1735660020652
P,Key.space,1735660020988
R,Key.space,1735660021069
P,a,1735660021162
R,a,1735660021267
P,r,1735660021396
R,r,1735660021478
P,e,1735660021602
R,e,1735660021656
P,Key.space,1735660021694
R,Key.space,1735660021802
P,s,1735660021871
R,s,1735660021980
P,u,1735660022032
R,u,1735660022096
P,f,1735660022205
R,f,1735660022279
P,f,1735660022364
R,f,1735660022411
P,e,1735660022571
R,e,1735660022671
P,r,1735660022776
R,r,1735660022864
P,i,1735660022908
R,i,1735660022969
P,n,1735660023079
R,n,1735660023143
P,g,1735660023202
R,g,1735660023298
P,Key.space,1735660023346
R,Key.space,1735660023468
P,f,1735660023496
R,f,1735660023614
P,o,1735660023656
R,o,1735660023742
P,r,1735660023746
R,r,1735660023867
P,Key.space,1735660023893
R,Key.space,1735660023997
P,f,1735660024381
R,f,1735660024463
P,o,1735660024629
R,o,1735660024693
P,o,1735660024795
R,o,1735660024864
P,d,1735660024938
R,d,1735660025040
P,Key.comma,1735660025457
R,Key.comma,1735660025515
P,Key.space,1735660025652
R,Key.space,1735660025765
P,s,1735660025994
R,s,1735660026109
P,h,1735660026155
R,h,1735660026229
P,e,1735660026299
R,e,1735660026412
P,l,1735660026479
R,l,1735660026567
P,t,1735660026706
R,t,1735660026796
P,e,1735660026966
R,e,1735660027067
P,r,1735660027173
R,r,1735660027265
P,Key.space,1735660027311
R,Key.space,1735660027418
P,a,1735660027765
R,a,1735660027863
P,n,1735660027868
R,n,1735660027933
P,d,1735660028029
R,d,1735660028145
P,Key.space,1735660028146
R,Key.space,1735660028231
P,l,1735660028330
R,l,1735660028414
P,i,1735660028546
R,i,1735660028625
P,f,1735660029361
R,f,1735660029461
P,e,1735660029636
R,e,1735660029748
P,Key.comma,1735660029752
R,Key.comma,1735660029859
P,Key.space,1735660029970
R,Key.space,1735660030093
P,t,1735660030520
R,t,1735660030621
P,h,1735660030733
R,h,1735660030822
P,e,1735660030881
R,e,1735660030972
P,s,1735660031123
R,s,1735660031223
P,e,1735660031367
R,e,1735660031481
P,Key.space,1735660031487
R,Key.space,1735660031614
P,h,1735660032143
R,h,1735660032196
P,i,1735660032350
R,i,1735660032436
P,g,1735660032607
R,g,1735660032686
P,h,1735660032824
R,h,1735660032904
P,Key.space,1735660033001
R,Key.space,1735660033128
P,f,1735660033940
R,f,1735660034025
P,i,1735660034038
R,i,1735660034109
P,Key.backspace,1735660034588
R,Key.backspace,1735660034663
P,Key.backspace,1735660034757
R,Key.backspace,1735660034842
P,o,1735660038993
R,o,1735660039065
P,f,1735660039206
R,f,1735660039270
P,f,1735660039366
R,f,1735660039412
P,i,1735660039487
R,i,1735660039554
P,c,1735660039621
R,c,1735660039707
P,a,1735660039889
R,a,1735660040004
P,Key.backspace,1735660040482
R,Key.backspace,1735660040561
P,i,1735660040684
R,i,1735660040756
P,s,1735660040845
R,s,1735660040937
P,l,1735660041039
R,l,1735660041111
P,a,1735660041219
R,a,1735660041320
P,Key.backspace,1735660041482
R,Key.backspace,1735660041536
P,Key.backspace,1735660041655
R,Key.backspace,1735660041728
P,Key.backspace,1735660041743
R,Key.backspace,1735660041821
P,a,1735660042187
R,a,1735660042288
P,l,1735660042313
R,l,1735660042406
