Press or Release,Key,Time
P,F3,1735660012303
P,Key.down,1735660185878
R,Key.down,1735660185972
P,Key.down,1735660186076
R,Key.down,1735660186190
P,Key.down,1735660186292
R,Key.down,1735660186388
P,Key.down,1735660186524
R,Key.down,1735660186628
P,Key.down,1735660186764
R,Key.down,1735660186852
P,Key.backspace,1735660189412
R,Key.backspace,1735660189516
P,e,1735660189956
R,e,1735660190123
P,v,1735660190291
R,v,1735660190379
P,e,1735660190461
R,e,1735660190603
P,n,1735660190692
R,n,1735660190804
P,t,1735660191027
R,t,1735660191123
P,s,1735660191238
R,s,1735660191366
