Press or Release,Key,Time
P,Key.alt,1735660002694
R,Key.alt,1735660002798
P,Key.alt,1735660033249
R,Key.alt,1735660033258
P,a,1735660034808
R,a,1735660034963
P,n,1735660035108
R,n,1735660035188
P,Key.space,1735660035303
R,Key.space,1735660035427
P,u,1735660035988
R,u,1735660036037
P,n,1735660036213
R,n,1735660036313
P,f,1735660036907
R,f,1735660037028
P,o,1735660037143
R,o,1735660037253
P,r,1735660037428
R,r,1735660037558
P,g,1735660037733
R,g,1735660037828
P,e,1735660037893
R,e,1735660037988
P,t,1735660038053
R,t,1735660038133
P,t,1735660038213
R,t,1735660038278
P,a,1735660038563
R,a,1735660038693
P,v,1735660038883
R,v,1735660038963
P,Key.backspace,1735660039523
R,Key.backspace,1735660039603
P,b,1735660039988
R,b,1735660040088
P,l,1735660040328
R,l,1735660040423
P,e,1735660040568
R,e,1735660040693
P,Key.space,1735660040708
R,Key.space,1735660040758
P,m,1735660040933
R,m,1735660041013
P,o,1735660041218
R,o,1735660041283
P,m,1735660041468
R,m,1735660041543
P,e,1735660041608
R,e,1735660041737
P,n,1735660041784
R,n,1735660041862
P,t,1735660042053
R,t,1735660042118
P,Key.space,1735660042263
R,Key.space,1735660042358
P,t,1735660042528
R,t,1735660042587
P,h,1735660042708
R,h,1735660042788
P,a,1735660042852
R,a,1735660042988
P,t,1735660043048
R,t,1735660043107
P,Key.space,1735660043333
R,Key.space,1735660043398
P,s,1735660043463
R,s,1735660043587
P,h,1735660043798
R,h,1735660043893
P,o,1735660044133
R,o,1735660044223
P,o,1735660044303
R,o,1735660044358
P,k,1735660044503
R,k,1735660044598
P,s,1735660044708
R,s,1735660044838
P,Key.space,1735660044903
R,Key.space,1735660044983
P,t,1735660045318
R,t,1735660045398
P,h,1735660045528
R,h,1735660045588
P,e,1735660045623
R,e,1735660045748
P,Key.space,1735660045813
R,Key.space,1735660045908
P,Key.alt,1735660046053
R,Key.alt,1735660046143
P,Key.alt,1735660048128
R,Key.alt,1735660048132
P,Key.caps_lock,1735660048648
R,Key.caps_lock,1735660048823
P,O,1735660048868
R,O,1735660048948
P,Key.caps_lock,1735660048983
R,Key.caps_lock,1735660049128
P,s,1735660049668
