Press or Release,Key,Time
P,Key.ctrl,1735660014809
P,a,1735660014875
R,a,1735660014969
R,Key.ctrl,1735660015002
P,=,1735660015275
R,=,1735660015353
P,Key.backspace,1735660015376
R,Key.backspace,1735660015380
P,Key.shift,1735660015382
P,T,1735660015389
R,T,1735660015394
R,Key.shift,1735660015394
P,h,1735660015395
R,h,1735660015397
P,e,1735660015414
R,e,1735660015415
P,Key.space,1735660015429
R,Key.space,1735660015430
P,j,1735660015444
R,j,1735660015446
P,o,1735660015460
R,o,1735660015461
P,k,1735660015476
R,k,1735660015478
P,e,1735660015491
R,e,1735660015492
P,Key.space,1735660015506
R,Key.space,1735660015508
P,i,1735660015522
R,i,1735660015524
P,t,1735660015538
R,t,1735660015539
P,s,1735660015554
R,s,1735660015556
P,e,1735660015568
R,e,1735660015570
P,l,1735660015584
R,l,1735660015586
P,f,1735660015601
R,f,1735660015602
P,Key.space,1735660015616
R,Key.space,1735660015617
P,w,1735660015631
R,w,1735660015632
P,a,1735660015647
R,a,1735660015648
P,s,1735660015663
R,s,1735660015664
P,Key.space,1735660015678
R,Key.space,1735660015679
P,a,1735660015694
R,a,1735660015696
P,Key.space,1735660015709
R,Key.space,1735660015710
P,c,1735660015724
R,c,1735660015726
P,a,1735660015741
R,a,1735660015742
P,t,1735660015757
R,t,1735660015759
P,a,1735660015772
R,a,1735660015774
P,l,1735660015787
R,l,1735660015789
P,y,1735660015803
R,y,1735660015804
P,s,1735660015818
R,s,1735660015819
P,t,1735660015834
R,t,1735660015836
P,Key.comma,1735660015850
R,Key.comma,1735660015851
P,Key.space,1735660015865
R,Key.space,1735660015867
P,b,1735660015882
R,b,1735660015884
P,u,1735660015897
R,u,1735660015898
P,t,1735660015914
R,t,1735660015916
P,Key.space,1735660015928
R,Key.space,1735660015929
P,i,1735660015944
R,i,1735660015945
P,t,1735660015959
R,t,1735660015961
P,Key.space,1735660015976
R,Key.space,1735660015977
P,s,1735660015991
R,s,1735660015992
P,p,1735660016007
R,p,1735660016008
P,a,1735660016021
R,a,1735660016023
P,r,1735660016038
R,r,1735660016039
P,k,1735660016054
R,k,1735660016055
P,e,1735660016068
R,e,1735660016069
P,d,1735660016084
R,d,1735660016086
P,Key.space,1735660016100
R,Key.space,1735660016101
P,a,1735660016116
R,a,1735660016118
P,Key.space,1735660016131
R,Key.space,1735660016132
P,m,1735660016146
R,m,1735660016147
P,u,1735660016161
R,u,1735660016163
P,c,1735660016178
R,c,1735660016179
P,h,1735660016193
R,h,1735660016196
P,Key.space,1735660016209
R,Key.space,1735660016210
P,l,1735660016223
R,l,1735660016224
P,a,1735660016239
R,a,1735660016240
P,r,1735660016255
R,r,1735660016257
P,g,1735660016270
R,g,1735660016271
P,e,1735660016285
R,e,1735660016286
P,r,1735660016301
R,r,1735660016302
P,Key.comma,1735660016316
R,Key.comma,1735660016318
P,Key.space,1735660016331
R,Key.space,1735660016333
P,a,1735660016346
R,a,1735660016348
P,n,1735660016362
R,n,1735660016364
P,d,1735660016380
R,d,1735660016381
P,Key.space,1735660016394
R,Key.space,1735660016396
P,m,1735660016409
R,m,1735660016411
P,o,1735660016425
R,o,1735660016427
P,r,1735660016441
R,r,1735660016443
P,e,1735660016458
R,e,1735660016459
P,Key.space,1735660016474
R,Key.space,1735660016477
P,c,1735660016488
R,c,1735660016490
P,o,1735660016504
R,o,1735660016506
P,m,1735660016520
R,m,1735660016522
P,p,1735660016536
R,p,1735660016538
P,l,1735660016552
R,l,1735660016554
P,e,1735660016567
R,e,1735660016568
P,x,1735660016583
R,x,1735660016584
P,Key.comma,1735660016598
R,Key.comma,1735660016600
P,Key.space,1735660016615
R,Key.space,1735660016617
P,c,1735660016629
R,c,1735660016631
P,o,1735660016644
R,o,1735660016646
P,n,1735660016660
R,n,1735660016662
P,v,1735660016677
R,v,1735660016678
P,e,1735660016691
R,e,1735660016693
P,r,1735660016708
R,r,1735660016709
P,s,1735660016723
R,s,1735660016724
P,a,1735660016738
R,a,1735660016740
P,t,1735660016754
R,t,1735660016756
P,i,1735660016769
R,i,1735660016770
P,o,1735660016785
R,o,1735660016786
P,n,1735660016801
R,n,1735660016802
P,.,1735660016818
R,.,1735660016819
P,Key.space,1735660016831
R,Key.space,1735660016832
P,Key.space,1735660016846
R,Key.space,1735660016848
P,Key.shift,1735660016862
P,C,1735660016863
R,C,1735660016864
R,Key.shift,1735660016864
P,h,1735660016878
R,h,1735660016880
P,r,1735660016894
R,r,1735660016896
P,i,1735660016909
R,i,1735660016910
P,s,1735660016924
R,s,1735660016926
P,Key.space,1735660016940
R,Key.space,1735660016942
P,Key.shift,1735660016957
P,R,1735660016957
R,R,1735660016959
R,Key.shift,1735660016959
P,o,1735660016971
R,o,1735660016972
P,c,1735660016988
R,c,1735660016989
P,k,1735660017003
R,k,1735660017005
P,',1735660017019
R,',1735660017020
P,s,1735660017036
R,s,1735660017037
P,Key.space,1735660017050
R,Key.space,1735660017051
P,j,1735660017066
R,j,1735660017068
P,o,1735660017082
R,o,1735660017084
P,k,1735660017098
R,k,1735660017099
P,e,1735660017114
R,e,1735660017116
P,Key.space,1735660017128
R,Key.space,1735660017129
P,a,1735660017145
R,a,1735660017146
P,b,1735660017160
R,b,1735660017162
P,o,1735660017177
R,o,1735660017178
P,u,1735660017194
R,u,1735660017195
P,t,1735660017208
R,t,1735660017209
P,Key.space,1735660017224
R,Key.space,1735660017225
P,Key.shift,1735660017240
P,J,1735660017240
R,J,1735660017241
R,Key.shift,1735660017242
P,a,1735660017246
R,a,1735660017247
P,d,1735660017270
R,d,1735660017271
P,a,1735660017286
R,a,1735660017287
P,Key.space,1735660017301
R,Key.space,1735660017303
P,Key.shift,1735660017317
P,P,1735660017318
R,P,1735660017320
R,Key.shift,1735660017320
P,i,1735660017332
R,i,1735660017333
P,n,1735660017348
R,n,1735660017349
P,k,1735660017363
R,k,1735660017364
P,e,1735660017379
R,e,1735660017380
P,t,1735660017394
R,t,1735660017396
P,t,1735660017409
R,t,1735660017410
P,Key.space,1735660017425
R,Key.space,1735660017426
P,Key.shift,1735660017441
P,S,1735660017442
R,S,1735660017444
R,Key.shift,1735660017444
P,m,1735660017457
R,m,1735660017458
P,i,1735660017472
R,i,1735660017473
P,t,1735660017487
R,t,1735660017489
P,h,1735660017503
R,h,1735660017504
P,',1735660017519
R,',1735660017520
P,s,1735660017535
R,s,1735660017538
P,Key.space,1735660017551
R,Key.space,1735660017552
P,s,1735660017566
R,s,1735660017567
P,h,1735660017582
R,h,1735660017583
P,a,1735660017598
R,a,1735660017599
P,v,1735660017614
R,v,1735660017616
P,e,1735660017630
R,e,1735660017631
P,d,1735660017646
R,d,1735660017647
P,Key.space,1735660017661
R,Key.space,1735660017663
P,h,1735660017677
R,h,1735660017678
P,e,1735660017694
R,e,1735660017696
P,a,1735660017709
R,a,1735660017710
P,d,1735660017723
R,d,1735660017724
P,Key.comma,1735660017739
R,Key.comma,1735660017740
P,Key.space,1735660017756
R,Key.space,1735660017758
P,a,1735660017771
R,a,1735660017773
P,Key.space,1735660017786
R,Key.space,1735660017787
P,r,1735660017801
R,r,1735660017803
P,e,1735660017818
R,e,1735660017819
P,s,1735660017835
R,s,1735660017836
P,u,1735660017847
R,u,1735660017849
P,l,1735660017863
R,l,1735660017865
P,t,1735660017879
R,t,1735660017881
P,Key.space,1735660017895
R,Key.space,1735660017897
P,o,1735660017910
R,o,1735660017911
P,f,1735660017927
R,f,1735660017928
P,Key.space,1735660017942
R,Key.space,1735660017943
P,h,1735660017958
R,h,1735660017959
P,e,1735660017974
R,e,1735660017976
P,r,1735660017989
R,r,1735660017990
P,Key.space,1735660018005
R,Key.space,1735660018006
P,a,1735660018020
R,a,1735660018021
P,l,1735660018036
R,l,1735660018037
P,o,1735660018051
R,o,1735660018053
P,p,1735660018066
R,p,1735660018068
P,e,1735660018082
R,e,1735660018084
P,c,1735660018099
R,c,1735660018100
P,i,1735660018115
R,i,1735660018118
P,a,1735660018130
R,a,1735660018131
P,Key.comma,1735660018145
R,Key.comma,1735660018146
P,Key.space,1735660018161
R,Key.space,1735660018162
P,w,1735660018177
R,w,1735660018179
P,a,1735660018194
R,a,1735660018196
P,s,1735660018209
R,s,1735660018210
P,Key.space,1735660018228
R,Key.space,1735660018230
P,i,1735660018241
R,i,1735660018242
P,m,1735660018256
R,m,1735660018257
P,m,1735660018271
R,m,1735660018272
P,e,1735660018287
R,e,1735660018288
P,d,1735660018302
R,d,1735660018304
P,i,1735660018318
R,i,1735660018319
P,a,1735660018334
R,a,1735660018336
P,t,1735660018348
R,t,1735660018350
P,e,1735660018364
R,e,1735660018365
P,l,1735660018380
R,l,1735660018381
P,y,1735660018395
R,y,1735660018397
P,Key.space,1735660018410
R,Key.space,1735660018411
P,c,1735660018426
R,c,1735660018427
P,r,1735660018441
R,r,1735660018442
P,i,1735660018457
R,i,1735660018458
P,t,1735660018472
R,t,1735660018475
P,i,1735660018488
R,i,1735660018488
P,c,1735660018503
R,c,1735660018504
P,i,1735660018518
R,i,1735660018519
P,z,1735660018534
R,z,1735660018535
P,e,1735660018549
R,e,1735660018550
P,d,1735660018565
R,d,1735660018566
P,Key.space,1735660018580
R,Key.space,1735660018582
P,b,1735660018596
R,b,1735660018597
P,y,1735660018613
R,y,1735660018615
P,Key.space,1735660018629
R,Key.space,1735660018630
P,m,1735660018646
R,m,1735660018647
P,a,1735660018660
R,a,1735660018661
P,n,1735660018676
R,n,1735660018677
P,y,1735660018690
R,y,1735660018692
P,Key.space,1735660018706
R,Key.space,1735660018707
P,a,1735660018721
R,a,1735660018723
P,s,1735660018737
R,s,1735660018738
P,Key.space,1735660018754
R,Key.space,1735660018756
P,i,1735660018768
R,i,1735660018769
P,n,1735660018783
R,n,1735660018785
P,s,1735660018799
R,s,1735660018800
P,e,1735660018815
R,e,1735660018817
P,n,1735660018831
R,n,1735660018831
P,s,1735660018846
R,s,1735660018847
P,i,1735660018862
R,i,1735660018863
P,t,1735660018877
R,t,1735660018878
P,i,1735660018894
R,i,1735660018895
P,v,1735660018908
R,v,1735660018909
P,e,1735660018924
R,e,1735660018925
P,Key.space,1735660018939
R,Key.space,1735660018940
P,a,1735660018954
R,a,1735660018956
P,n,1735660018969
R,n,1735660018970
P,d,1735660018985
R,d,1735660018986
P,Key.space,1735660019001
R,Key.space,1735660019003
P,c,1735660019016
R,c,1735660019017
P,r,1735660019031
R,r,1735660019033
P,u,1735660019047
R,u,1735660019049
P,e,1735660019062
R,e,1735660019063
P,l,1735660019078
R,l,1735660019079
P,.,1735660019094
R,.,1735660019096
P,Key.space,1735660019109
R,Key.space,1735660019110
P,Key.shift,1735660019125
P,B,1735660019126
R,B,1735660019127
R,Key.shift,1735660019128
P,u,1735660019141
R,u,1735660019142
P,t,1735660019156
R,t,1735660019158
