Press or Release,Key,Time
P,Key.ctrl,1735660013160
P,g,1735660013607
P,v,1735660018663
R,Key.ctrl,1735660018808
R,v,1735660018822
P,Key.space,1735660052087
R,Key.space,1735660052249
P,h,1735660053751
R,h,1735660053831
P,e,1735660053831
R,e,1735660053928
P,l,1735660054087
R,l,1735660054166
P,p,1735660054262
R,p,1735660054344
P,s,1735660054551
R,s,1735660054695
P,Key.space,1735660054727
R,Key.space,1735660054824
P,t,1735660055400
R,t,1735660055480
P,o,1735660055705
R,o,1735660055783
P,Key.space,1735660055912
R,Key.space,1735660056007
P,e,1735660057370
R,g,1735660057383
R,e,1735660057464
P,t,1735660057496
R,t,1735660057574
P,Key.space,1735660057720
R,Key.space,1735660057785
P,m,1735660057960
R,m,1735660058039
P,o,1735660058167
R,o,1735660058264
P,t,1735660058423
R,t,1735660058504
P,i,1735660058840
R,i,1735660058920
P,v,1735660059049
R,v,1735660059143
P,a,1735660059144
R,a,1735660059271
P,r,1735660059336
R,r,1735660059415
P,Key.backspace,1735660059895
R,Key.backspace,1735660060023
P,t,1735660060520
R,t,1735660060615
P,e,1735660060647
R,e,1735660060744
P,d,1735660060840
P,Key.space,1735660060920
R,d,1735660060984
R,Key.space,1735660061031
