Press or Release,Key,Time
P,t,1735660008882
R,t,1735660008952
P,h,1735660009092
R,h,1735660009172
P,Key.backspace,1735660009863
R,Key.backspace,1735660009952
P,Key.backspace,1735660010052
R,Key.backspace,1735660010154
P,s,1735660010592
R,s,1735660010752
P,e,1735660011682
R,e,1735660011761
P,e,1735660011833
R,e,1735660011911
P,Key.space,1735660012312
R,Key.space,1735660012411
P,t,1735660012602
R,t,1735660012663
P,h,1735660012795
R,h,1735660012866
P,i,1735660013101
R,i,1735660013162
P,d,1735660013423
R,d,1735660013491
P,Key.backspace,1735660013923
R,Key.backspace,1735660014022
P,s,1735660014151
R,s,1735660014258
P,Key.space,1735660014361
R,Key.space,1735660014453
P,b,1735660014683
R,b,1735660014761
P,i,1735660015012
R,i,1735660015092
P,d,1735660015247
R,d,1735660015322
P,e,1735660015456
R,e,1735660015542
P,o,1735660016244
R,o,1735660016283
P,Key.backspace,1735660017364
R,Key.backspace,1735660017443
P,Key.backspace,1735660017542
R,Key.backspace,1735660017638
P,Key.backspace,1735660017693
R,Key.backspace,1735660017782
P,Key.backspace,1735660017862
R,Key.backspace,1735660017923
P,Key.backspace,1735660018032
R,Key.backspace,1735660018102
P,v,1735660019432
R,v,1735660019522
P,i,1735660019723
R,i,1735660019808
P,d,1735660019984
R,d,1735660020081
P,e,1735660020454
R,e,1735660020553
P,p,1735660021773
R,p,1735660021831
P,Key.backspace,1735660023022
R,Key.backspace,1735660023122
P,o,1735660023683
R,o,1735660023756
P,Key.space,1735660023945
R,Key.space,1735660024033
P,a,1735660024942
R,a,1735660025032
P,n,1735660025256
R,n,1735660025332
P,d,1735660025592
R,d,1735660025674
P,Key.space,1735660025747
R,Key.space,1735660025822
P,i,1735660026159
R,i,1735660026231
P,t,1735660026514
R,t,1735660026571
P,s,1735660026761
R,s,1735660026850
P,Key.space,1735660026964
R,Key.space,1735660027051
P,n,1735660028034
R,n,1735660028113
P,o,1735660028345
R,o,1735660028421
P,t,1735660028787
R,t,1735660028818
P,Key.space,1735660029032
R,Key.space,1735660029112
P,f,1735660029483
R,f,1735660029552
P,a,1735660029682
R,a,1735660029803
P,i,1735660030012
R,i,1735660030091
P,r,1735660030643
R,r,1735660030723
P,Key.space,1735660030967
R,Key.space,1735660031054
P,a,1735660031254
R,a,1735660031331
P,n,1735660031493
R,n,1735660031603
P,d,1735660031814
R,d,1735660031892
P,Key.space,1735660031993
R,Key.space,1735660032081
P,t,1735660033134
R,t,1735660033232
P,h,1735660033361
R,h,1735660033461
P,i,1735660033622
R,i,1735660033701
P,s,1735660034101
R,s,1735660034184
P,Key.space,1735660034283
R,Key.space,1735660034382
P,n,1735660034582
R,n,1735660034661
P,a,1735660034748
R,a,1735660034853
P,t,1735660035103
R,t,1735660035164
P,i,1735660035623
R,i,1735660035683
P,o,1735660035805
R,o,1735660035891
P,n,1735660036094
R,n,1735660036162
P,a,1735660036443
R,a,1735660036563
P,l,1735660036746
R,l,1735660036822
P,Key.space,1735660037003
R,Key.space,1735660037092
P,s,1735660037361
R,s,1735660037466
P,h,1735660037852
R,h,1735660037922
P,o,1735660038106
R,o,1735660038193
P,w,1735660038676
R,w,1735660038749
P,Key.space,1735660039482
R,Key.space,1735660039581
P,a,1735660039844
R,a,1735660039963
P,Key.backspace,1735660040736
R,Key.backspace,1735660040813
P,Key.comma,1735660041934
R,Key.comma,1735660042011
P,p,1735660042339
R,p,1735660042417
P,l,1735660042613
R,l,1735660042699
P,e,1735660042982
R,e,1735660043122
P,s,1735660043283
R,s,1735660043362
P,e,1735660043613
R,e,1735660043732
P,Key.space,1735660043951
R,Key.space,1735660044059
P,d,1735660044821
R,d,1735660044924
P,o,1735660045118
R,o,1735660045194
P,n,1735660046893
R,n,1735660046972
P,',1735660047545
R,',1735660047632
P,t,1735660048541
R,t,1735660048620
P,Key.space,1735660048914
R,Key.space,1735660049001
P,d,1735660049141
R,d,1735660049244
P,o,1735660049403
R,o,1735660049513
P,Key.space,1735660049683
R,Key.space,1735660049761
P,t,1735660050022
R,t,1735660050091
P,h,1735660050233
R,h,1735660050302
P,i,1735660050452
R,i,1735660050554
P,Key.space,1735660050739
R,Key.space,1735660050831
P,Key.backspace,1735660052355
R,Key.backspace,1735660052441
P,s,1735660052976
R,s,1735660053104
P,Key.space,1735660053401
R,Key.space,1735660053519
P,a,1735660055505
R,a,1735660055603
P,g,1735660055971
R,g,1735660056061
P,a,1735660056172
R,a,1735660056291
P,i,1735660056442
R,i,1735660056532
P,n,1735660056802
R,n,1735660056882
P,Key.comma,1735660057461
R,Key.comma,1735660057542
P,t,1735660058491
R,t,1735660058575
P,h,1735660058712
R,h,1735660058842
P,a,1735660058894
R,a,1735660059013
P,n,1735660059122
R,n,1735660059192
