Press or Release,Key,Time
P,Key.shift,1735660009493
P,A,1735660009756
R,Key.shift,1735660009782
R,A,1735660009910
P,Key.space,1735660009912
R,Key.space,1735660010042
P,t,1735660010212
R,t,1735660010312
P,e,1735660010412
R,e,1735660010522
P,n,1735660010603
R,n,1735660010703
P,s,1735660011653
R,s,1735660011772
P,e,1735660011912
R,e,1735660012042
P,Key.space,1735660012066
R,Key.space,1735660012171
P,m,1735660012523
R,m,1735660012613
P,o,1735660012762
R,o,1735660012863
P,m,1735660013003
R,m,1735660013082
P,e,1735660013163
P,n,1735660013273
R,e,1735660013273
R,n,1735660013353
P,t,1735660013512
R,t,1735660013613
P,Key.space,1735660013737
R,Key.space,1735660013843
P,i,1735660014033
R,i,1735660014132
P,n,1735660014252
R,n,1735660014343
P,Key.space,1735660014432
R,Key.space,1735660014528
P,t,1735660014714
R,t,1735660014792
P,h,1735660014908
R,h,1735660014998
P,e,1735660015043
P,Key.space,1735660015134
R,e,1735660015176
R,Key.space,1735660015230
P,Key.shift,1735660015602
P,O,1735660015754
R,Key.shift,1735660015831
R,O,1735660015852
P,v,1735660016122
R,v,1735660016222
P,a,1735660016283
R,a,1735660016403
P,l,1735660016673
R,l,1735660016772
P,Key.space,1735660016893
R,Key.space,1735660016990
P,o,1735660017194
R,o,1735660017282
P,f,1735660017457
R,f,1735660017592
P,f,1735660017653
P,i,1735660017780
R,f,1735660017789
R,i,1735660017925
P,c,1735660018083
R,c,1735660018170
P,e,1735660018222
R,e,1735660018362
P,-,1735660018976
R,-,1735660019057
P,Key.shift,1735660028861
P,T,1735660029490
R,Key.shift,1735660029502
R,T,1735660029603
P,r,1735660029761
R,r,1735660029822
P,u,1735660030322
R,u,1735660030422
P,m,1735660030557
R,m,1735660030672
P,p,1735660030922
R,p,1735660031002
P,Key.space,1735660031161
R,Key.space,1735660031262
P,a,1735660031359
R,a,1735660031512
P,n,1735660031517
R,n,1735660031605
P,d,1735660031822
R,d,1735660031974
P,Key.space,1735660031975
R,Key.space,1735660032084
P,Key.shift,1735660032262
P,J,1735660032462
R,J,1735660032553
P,D,1735660032752
R,D,1735660032842
R,Key.shift,1735660032872
P,Key.space,1735660032972
R,Key.space,1735660033083
P,v,1735660033235
R,v,1735660033332
P,Key.backspace,1735660033985
R,Key.backspace,1735660034052
P,Key.shift,1735660034422
P,V,1735660034673
R,Key.shift,1735660034752
R,V,1735660034789
P,a,1735660034962
P,n,1735660035099
R,a,1735660035100
R,n,1735660035212
P,c,1735660035402
R,c,1735660035502
P,e,1735660035593
P,Key.space,1735660035702
R,e,1735660035732
R,Key.space,1735660035802
P,Key.shift,1735660036135
R,Key.shift,1735660036382
P,Key.shift,1735660036553
R,Key.shift,1735660036751
P,c,1735660037052
R,c,1735660037147
P,a,1735660037313
R,a,1735660037453
P,l,1735660037672
R,l,1735660037772
P,l,1735660037842
R,l,1735660037944
P,Key.space,1735660038052
R,Key.space,1735660038152
