Press or Release,Key,Time
P,h,1751132433776
R,h,1751132433836
P,e,1751132433941
R,e,1751132434014
P,l,1751132434048
R,l,1751132434108
P,l,1751132434181
R,l,1751132434250
P,l,1751132434341
R,l,1751132434361
P,o,1751132434533
R,o,1751132434638
P,Key.space,1751132434771
R,Key.space,1751132434832
P,l,1751132435311
R,l,1751132435393
P,a,1751132435550
R,a,1751132435678
P,k,1751132436145
R,k,1751132436264
P,d,1751132436326
R,d,1751132436455
P,j,1751132436490
R,j,1751132436574
P,f,1751132436679
R,f,1751132436817
P,n,1751132436986
R,n,1751132437085
P,g,1751132437201
R,g,1751132437289
P,h,1751132437344
R,h,1751132437411
P,u,1751132437512
R,u,1751132437603
P,m,1751132437781
R,m,1751132437925
P,s,1751132438310
R,s,1751132438395
P,n,1751132438456
R,n,1751132438543
P,d,1751132438753
R,d,1751132438842
P,h,1751132438928
R,h,1751132439016
P,e,1751132439234
R,e,1751132439342
P,j,1751132439401
R,j,1751132439484
P,e,1751132439552
R,e,1751132439624
P,l,1751132439696
R,l,1751132439792
P,d,1751132439976
R,d,1751132440071
P,n,1751132440121
R,n,1751132440201
P,s,1751132440272
R,s,1751132440368
P,h,1751132440404
R,h,1751132440463
P,s,1751132440570
R,s,1751132440673
P,y,1751132440696
R,y,1751132440780
P,f,1751132440977
R,f,1751132441055
P,s,1751132442011
R,s,1751132442100
P,k,1751132442472
R,k,1751132442534
P,s,1751132442582
R,s,1751132442644
P,i,1751132442698
R,i,1751132442761
P,s,1751132443042
R,s,1751132443120
P,j,1751132443174
R,j,1751132443217
P,s,1751132443270
R,s,1751132443349
P,m,1751132443393
R,m,1751132443448
P,n,1751132443690
R,n,1751132443762
P,s,1751132443821
R,s,1751132443927
P,h,1751132443958
R,h,1751132444017
P,y,1751132444401
R,y,1751132444468
P,f,1751132444553
R,f,1751132444637
P,n,1751132444735
R,n,1751132444816
P,f,1751132444915
R,f,1751132445016
P,h,1751132445080
R,h,1751132445158
P,y,1751132445360
P,u,1751132445376
R,u,1751132445399
R,y,1751132445407
P,s,1751132445543
R,s,1751132445633
P,;,1751132446786
P,l,1751132447048
R,;,1751132447188
P,j,1751132447268
R,l,1751132447272
R,j,1751132447402
P,a,1751132447614
P,s,1751132447693
P,d,1751132447751
R,a,1751132447761
P,f,1751132447885
R,s,1751132447889
R,d,1751132447976
R,f,1751132448058
P,;,1751132448153
P,l,1751132448276
R,;,1751132448335
P,k,1751132448341
R,l,1751132448384
P,j,1751132448404
R,k,1751132448484
R,j,1751132448529
P,s,1751132448655
P,d,1751132448712
P,f,1751132448803
R,s,1751132448809
R,d,1751132448882
R,f,1751132448934
P,;,1751132448951
P,l,1751132449034
P,k,1751132449053
R,l,1751132449135
R,;,1751132449136
P,j,1751132449145
R,k,1751132449205
R,j,1751132449286
P,s,1751132449415
P,d,1751132449506
P,f,1751132449604
R,s,1751132449624
R,d,1751132449645
R,f,1751132449733
P,;,1751132449767
P,l,1751132449869
P,k,1751132449904
R,;,1751132449966
P,j,1751132449984
R,l,1751132449986
R,k,1751132450058
R,j,1751132450108
P,a,1751132450221
P,s,1751132450322
P,d,1751132450328
R,a,1751132450355
R,s,1751132450418
P,f,1751132450489
R,d,1751132450520
P,;,1751132450537
R,f,1751132450588
P,l,1751132450626
P,k,1751132450673
R,;,1751132450728
R,l,1751132450751
P,j,1751132450774
R,k,1751132450800
R,j,1751132450873
P,a,1751132450986
P,s,1751132451068
P,d,1751132451113
R,a,1751132451146
P,f,1751132451216
R,s,1751132451224
P,;,1751132451299
R,d,1751132451302
R,f,1751132451348
P,l,1751132451357
P,k,1751132451374
P,j,1751132451437
R,;,1751132451438
R,l,1751132451439
R,k,1751132451499
R,j,1751132451571
P,a,1751132451684
P,s,1751132451762
P,d,1751132451797
R,a,1751132451842
R,s,1751132451933
P,;,1751132451956
P,f,1751132451981
R,d,1751132451996
P,l,1751132452021
R,f,1751132452032
P,k,1751132452067
R,;,1751132452100
P,j,1751132452136
R,l,1751132452164
R,k,1751132452199
R,j,1751132452288
P,a,1751132452395
P,s,1751132452471
P,d,1751132452494
R,a,1751132452525
R,s,1751132452614
P,;,1751132452664
R,d,1751132452692
P,l,1751132452735
P,k,1751132452767
R,;,1751132452807
P,j,1751132452866
R,l,1751132452881
R,k,1751132452907
R,j,1751132452969
P,a,1751132453088
P,s,1751132453106
P,d,1751132453184
R,a,1751132453224
P,f,1751132453307
R,s,1751132453349
R,d,1751132453401
R,f,1751132453441
P,l,1751132453473
P,k,1751132453497
P,j,1751132453573
R,l,1751132453596
R,k,1751132453631
R,j,1751132453711
P,a,1751132453795
P,s,1751132453828
P,d,1751132453898
R,a,1751132454016
R,s,1751132454052
P,f,1751132454056
R,d,1751132454101
R,f,1751132454174
P,k,1751132454183
P,l,1751132454186
P,j,1751132454265
R,l,1751132454287
R,k,1751132454348
R,j,1751132454393
P,a,1751132454482
P,s,1751132454584
P,d,1751132454609
R,a,1751132454710
R,s,1751132454736
R,d,1751132454801
P,l,1751132454836
P,;,1751132454858
P,k,1751132454927
R,;,1751132454959
P,j,1751132454998
R,l,1751132455000
R,k,1751132455036
R,j,1751132455106
P,;,1751132455343
P,l,1751132455371
P,k,1751132455430
R,;,1751132455468
P,j,1751132455521
R,l,1751132455528
R,k,1751132455603
R,j,1751132455619
P,;,1751132455828
P,l,1751132455838
P,k,1751132455892
R,;,1751132455916
P,j,1751132455966
R,l,1751132455971
R,k,1751132456025
R,j,1751132456040
P,a,1751132456103
P,d,1751132456224
P,s,1751132456225
R,a,1751132456281
R,s,1751132456334
P,f,1751132456399
R,d,1751132456409
R,f,1751132456462
P,k,1751132456512
P,l,1751132456515
P,j,1751132456604
R,l,1751132456606
P,s,1751132456653
R,k,1751132456658
P,d,1751132456674
R,j,1751132456715
R,s,1751132456757
R,d,1751132456816
P,;,1751132456887
P,l,1751132456925
P,k,1751132456973
R,;,1751132457017
P,j,1751132457054
R,l,1751132457055
R,k,1751132457109
R,j,1751132457157
P,a,1751132457161
P,s,1751132457223
R,a,1751132457252
P,d,1751132457259
R,s,1751132457375
R,d,1751132457443
P,l,1751132457534
P,k,1751132457566
P,j,1751132457677
R,l,1751132457679
R,k,1751132457737
R,j,1751132457783
P,a,1751132457886
P,s,1751132457968
P,d,1751132457985
R,a,1751132458077
R,s,1751132458121
P,f,1751132458126
R,d,1751132458178
R,f,1751132458243
P,;,1751132458244
P,l,1751132458324
P,k,1751132458354
R,;,1751132458427
P,j,1751132458453
R,l,1751132458458
R,k,1751132458504
R,j,1751132458587
P,a,1751132458636
P,s,1751132458734
P,d,1751132458756
R,a,1751132458810
R,s,1751132458846
P,f,1751132458857
R,f,1751132458903
R,d,1751132458909
