Press or Release,Key,Time
P,w,1735660010751
R,w,1735660010829
P,o,1735660010956
R,o,1735660011087
P,w,1735660011233
R,w,1735660011317
P,Key.space,1735660011394
R,Key.space,1735660011544
P,w,1735660011761
R,w,1735660011866
P,h,1735660011963
P,a,1735660012058
R,h,1735660012082
R,a,1735660012183
P,t,1735660012256
R,t,1735660012355
P,Key.space,1735660012394
R,Key.space,1735660012446
P,a,1735660012631
R,a,1735660012769
P,Key.space,1735660012839
R,Key.space,1735660012936
P,s,1735660013163
R,s,1735660013270
P,c,1735660013368
R,c,1735660013453
P,e,1735660013577
R,e,1735660013673
P,n,1735660015646
R,n,1735660015721
P,e,1735660015846
R,e,1735660015938
P,Key.space,1735660015968
R,Key.space,1735660016067
P,t,1735660016344
R,t,1735660016444
P,h,1735660016468
R,h,1735660016557
P,i,1735660016707
R,i,1735660016791
P,s,1735660016830
R,s,1735660016955
P,Key.space,1735660017002
R,Key.space,1735660017103
P,a,1735660017197
R,a,1735660017318
P,l,1735660017376
R,l,1735660017475
P,s,1735660017577
R,s,1735660017685
P,o,1735660017741
R,o,1735660017833
P,Key.space,1735660017919
R,Key.space,1735660018021
P,h,1735660018206
R,h,1735660018297
P,a,1735660018435
R,a,1735660018569
P,p,1735660018610
R,p,1735660018690
P,p,1735660018791
R,p,1735660018885
P,e,1735660018951
R,e,1735660019059
P,n,1735660019107
R,n,1735660019200
P,i,1735660019523
R,i,1735660019607
P,n,1735660019739
R,n,1735660019837
P,Key.space,1735660019952
R,Key.space,1735660020051
P,m,1735660020154
R,m,1735660020241
P,y,1735660020417
R,y,1735660020507
P,Key.space,1735660020590
R,Key.space,1735660020699
P,c,1735660022508
R,c,1735660022590
P,o,1735660022663
R,o,1735660022755
P,l,1735660023007
R,l,1735660023108
P,l,1735660023199
R,l,1735660023315
P,e,1735660023473
R,e,1735660023576
P,g,1735660023738
R,g,1735660023827
P,e,1735660023932
R,e,1735660024044
P,Key.space,1735660024196
R,Key.space,1735660024278
P,Key.backspace,1735660024750
R,Key.backspace,1735660025260
P,Key.backspace,1735660025478
R,Key.backspace,1735660025596
P,Key.backspace,1735660025678
R,Key.backspace,1735660025814
P,Key.backspace,1735660025925
R,Key.backspace,1735660026385
P,Key.backspace,1735660026775
R,Key.backspace,1735660026887
P,Key.backspace,1735660026964
R,Key.backspace,1735660027056
P,Key.backspace,1735660027137
R,Key.backspace,1735660027230
P,Key.backspace,1735660027321
R,Key.backspace,1735660027391
P,Key.backspace,1735660027495
R,Key.backspace,1735660027576
P,Key.backspace,1735660027689
R,Key.backspace,1735660027785
P,Key.backspace,1735660027905
R,Key.backspace,1735660027979
P,n,1735660029192
R,n,1735660029294
P,Key.space,1735660029336
R,Key.space,1735660029462
P,i,1735660029481
R,i,1735660029577
P,n,1735660029716
R,n,1735660029808
P,Key.space,1735660029880
R,Key.space,1735660029981
P,m,1735660029988
R,m,1735660030100
P,y,1735660030249
R,y,1735660030354
P,Key.space,1735660030527
R,Key.space,1735660030640
P,h,1735660030967
R,h,1735660031044
P,i,1735660031194
R,i,1735660031291
P,g,1735660031479
R,g,1735660031573
P,h,1735660031614
R,h,1735660031709
P,Key.space,1735660031801
R,Key.space,1735660031869
P,s,1735660032041
R,s,1735660032160
P,c,1735660032297
R,c,1735660032398
P,h,1735660032597
R,h,1735660032677
P,o,1735660032911
R,o,1735660033010
P,o,1735660033106
R,o,1735660033197
P,l,1735660033321
R,l,1735660033435
P,Key.space,1735660033453
R,Key.space,1735660033552
P,d,1735660033753
R,d,1735660033828
P,a,1735660033941
P,y,1735660034040
R,a,1735660034057
R,y,1735660034135
P,s,1735660034217
R,s,1735660034305
P,Key.space,1735660034347
R,Key.space,1735660034456
P,i,1735660034632
R,i,1735660034733
P,t,1735660034803
R,t,1735660034906
P,Key.space,1735660035068
P,i,1735660035123
R,Key.space,1735660035150
R,i,1735660035215
P,s,1735660035308
R,s,1735660035426
P,Key.space,1735660035433
R,Key.space,1735660035540
P,v,1735660035709
R,v,1735660035826
P,e,1735660035866
R,e,1735660035975
P,r,1735660036089
P,y,1735660036146
R,r,1735660036169
R,y,1735660036241
P,Key.space,1735660036381
R,Key.space,1735660036425
P,p,1735660036569
R,p,1735660036661
P,a,1735660036958
R,a,1735660037087
P,i,1735660037122
R,i,1735660037218
P,n,1735660037399
R,n,1735660037493
P,Key.space,1735660082620
R,Key.space,1735660082769
P,t,1735660083477
R,t,1735660083560
P,h,1735660083692
R,h,1735660083808
P,e,1735660083837
R,e,1735660083926
P,Key.space,1735660083967
R,Key.space,1735660084107
