Press or Release,Key,Time
P,i,1735660003582
R,i,1735660003727
P,Key.space,1735660003728
P,l,1735660003862
R,Key.space,1735660003950
R,l,1735660003966
P,i,1735660004070
R,i,1735660004158
P,k,1735660004244
R,k,1735660004342
P,e,1735660004525
P,Key.space,1735660004622
R,e,1735660004726
R,Key.space,1735660004790
P,t,1735660004878
P,h,1735660005062
R,t,1735660005070
R,h,1735660005158
P,i,1735660005222
R,i,1735660005374
P,s,1735660005461
P,Key.space,1735660005613
R,s,1735660005646
R,Key.space,1735660005782
P,f,1735660005974
R,f,1735660006158
P,o,1735660006246
R,o,1735660006382
P,r,1735660006533
P,Key.space,1735660006695
R,r,1735660006710
R,Key.space,1735660006830
P,m,1735660006990
R,m,1735660007118
P,o,1735660007213
R,o,1735660007358
P,r,1735660007438
R,r,1735660007631
P,e,1735660007990
R,e,1735660008189
P,Key.space,1735660008214
R,Key.space,1735660008374
P,t,1735660008765
R,t,1735660008950
P,h,1735660009558
R,h,1735660009727
P,i,1735660009741
R,i,1735660009902
P,d,1735660010118
R,d,1735660010310
P,Key.space,1735660010598
R,Key.space,1735660010766
P,b,1735660011646
R,b,1735660011798
P,e,1735660012062
R,e,1735660012174
P,a,1735660012310
R,a,1735660012486
P,u,1735660012876
R,u,1735660013022
P,t,1735660013125
P,i,1735660013286
R,t,1735660013294
R,i,1735660013437
P,f,1735660013782
R,f,1735660013974
P,i,1735660014029
R,i,1735660014157
P,l,1735660014582
R,l,1735660014719
P,Key.space,1735660014822
R,Key.space,1735660015038
P,l,1735660015318
R,l,1735660015470
P,i,1735660015558
R,i,1735660015655
P,k,1735660015726
R,k,1735660015846
P,e,1735660015902
P,Key.space,1735660016030
R,e,1735660016070
R,Key.space,1735660016181
P,t,1735660016470
R,t,1735660016646
P,i,1735660016678
R,i,1735660016838
P,Key.backspace,1735660017772
R,Key.backspace,1735660017974
P,o,1735660018102
R,o,1735660018229
P,Key.space,1735660018374
R,Key.space,1735660018566
P,r,1735660018694
R,r,1735660018878
P,i,1735660018973
R,i,1735660019134
P,c,1735660019350
P,h,1735660019518
R,c,1735660019541
R,h,1735660019686
P,Key.space,1735660019710
R,Key.space,1735660019902
P,o,1735660020478
R,o,1735660020645
P,f,1735660020822
P,Key.space,1735660020958
R,f,1735660020997
R,Key.space,1735660021126
P,c,1735660021630
P,a,1735660021782
R,c,1735660021797
P,r,1735660021967
R,a,1735660021974
R,r,1735660022078
P,Key.space,1735660022133
R,Key.space,1735660022326
P,m,1735660022534
R,m,1735660022678
P,o,1735660022692
R,o,1735660022901
P,r,1735660023046
R,r,1735660023189
P,e,1735660023261
P,Key.space,1735660023390
R,e,1735660023446
R,Key.space,1735660023542
P,m,1735660023678
R,m,1735660023828
P,o,1735660025030
R,o,1735660025157
P,v,1735660025942
R,v,1735660026109
P,e,1735660026221
R,e,1735660026398
P,m,1735660026726
R,m,1735660026885
P,e,1735660027069
R,e,1735660027254
P,n,1735660027254
R,n,1735660027412
P,t,1735660027613
R,t,1735660027757
P,Key.space,1735660027788
R,Key.space,1735660027973
P,r,1735660027998
R,r,1735660028189
P,i,1735660028277
R,i,1735660028476
P,c,1735660028541
R,c,1735660028741
P,j,1735660028805
R,j,1735660028957
P,h,1735660029077
R,h,1735660029245
P,Key.space,1735660029333
R,Key.space,1735660029564
P,s,1735660031206
R,s,1735660031405
P,o,1735660031412
R,o,1735660031589
P,Key.space,1735660031590
R,Key.space,1735660031789
P,g,1735660032189
R,g,1735660032365
P,o,1735660032469
R,o,1735660032541
P,o,1735660032630
R,o,1735660032718
P,d,1735660032789
R,d,1735660032972
P,Key.space,1735660032988
R,Key.space,1735660033109
P,l,1735660033309
R,l,1735660033413
P,i,1735660033517
R,i,1735660033598
P,k,1735660033685
R,k,1735660033773
P,e,1735660033781
P,Key.space,1735660033949
R,e,1735660033997
R,Key.space,1735660034061
P,t,1735660034212
R,t,1735660034405
P,h,1735660034428
R,h,1735660034532
P,i,1735660034654
R,i,1735660034781
P,Key.space,1735660034948
R,Key.space,1735660035013
P,z,1735660036141
R,z,1735660036365
P,Key.backspace,1735660037901
R,Key.backspace,1735660037997
P,Key.backspace,1735660040221
R,Key.backspace,1735660040493
P,s,1735660040693
R,s,1735660040893
P,Key.space,1735660041254
R,Key.space,1735660041429
P,w,1735660041687
R,w,1735660041886
P,r,1735660042141
R,r,1735660042269
P,Key.backspace,1735660042734
R,Key.backspace,1735660042925
P,e,1735660043013
R,e,1735660043173
P,e,1735660043301
R,e,1735660043453
P,k,1735660043852
R,k,1735660044013
P,Key.space,1735660044029
R,Key.space,1735660044276
P,l,1735660044301
R,l,1735660044406
P,o,1735660044501
R,o,1735660044589
P,o,1735660044661
R,o,1735660044757
P,k,1735660045076
R,k,1735660045204
