Press or Release,Key,Time
P,s,1735660002405
P,j,1735660002452
P,h,1735660002527
R,j,1735660002545
R,s,1735660002546
R,h,1735660002644
P,s,1735660002686
P,h,1735660002746
P,f,1735660002823
R,s,1735660002840
P,i,1735660002860
P,u,1735660002867
R,h,1735660002875
R,f,1735660002920
P,s,1735660002964
R,i,1735660002967
P,y,1735660002988
R,u,1735660003003
P,f,1735660003060
R,s,1735660003096
P,u,1735660003111
R,y,1735660003122
R,f,1735660003147
P,y,1735660003205
R,u,1735660003215
P,s,1735660003228
P,f,1735660003303
R,s,1735660003311
R,y,1735660003364
R,f,1735660003387
P,Key.space,1735660003463
P,s,1735660003466
R,s,1735660003569
P,s,1735660003728
P,f,1735660003802
R,s,1735660003804
R,Key.space,1735660003816
R,f,1735660003896
P,s,1735660003967
P,y,1735660003981
R,s,1735660004073
R,y,1735660004125
P,y,1735660004232
P,s,1735660004235
P,d,1735660004293
R,y,1735660004363
R,d,1735660004402
P,8,1735660004406
R,s,1735660004414
R,8,1735660004443
P,7,1735660004672
P,2,1735660004677
R,7,1735660004694
P,3,1735660004706
P,6,1735660004714
R,3,1735660004757
R,2,1735660004764
R,6,1735660004845
P,9,1735660004904
R,9,1735660004943
P,3,1735660004951
P,5,1735660004964
R,5,1735660005104
P,7,1735660005124
P,9,1735660005127
R,3,1735660005131
R,9,1735660005200
R,7,1735660005223
P,6,1735660005232
R,6,1735660005354
P,9,1735660005371
P,8,1735660005374
R,9,1735660005424
R,8,1735660005444
P,u,1735660005598
P,d,1735660005668
P,s,1735660005719
P,h,1735660005752
R,d,1735660005771
R,u,1735660005779
R,s,1735660005835
R,h,1735660005887
P,u,1735660005895
R,u,1735660005995
P,h,1735660006040
R,h,1735660006078
P,u,1735660006124
P,s,1735660006213
R,u,1735660006223
R,s,1735660006276
P,u,1735660006345
P,i,1735660006372
R,i,1735660006431
R,u,1735660006463
P,y,1735660006486
P,f,1735660006528
P,d,1735660006554
R,y,1735660006590
P,u,1735660006601
R,d,1735660006617
R,f,1735660006705
R,u,1735660006705
P,y,1735660006706
P,u,1735660006830
R,y,1735660006833
P,f,1735660006850
R,u,1735660006966
P,y,1735660006969
R,f,1735660006981
R,y,1735660007090
P,i,1735660007107
P,u,1735660007111
R,i,1735660007190
R,u,1735660007222
P,y,1735660007251
P,d,1735660007295
R,y,1735660007322
P,u,1735660007355
R,d,1735660007418
R,u,1735660007446
P,y,1735660007447
P,f,1735660007563
P,u,1735660007581
R,y,1735660007590
R,f,1735660007678
P,s,1735660007698
R,u,1735660007714
P,y,1735660007739
P,d,1735660007798
P,u,1735660007818
R,y,1735660007833
R,s,1735660007862
R,d,1735660007882
P,y,1735660007958
R,u,1735660007965
P,f,1735660008052
P,u,1735660008102
R,y,1735660008126
R,f,1735660008187
P,y,1735660008250
R,u,1735660008274
P,s,1735660008294
P,d,1735660008303
R,y,1735660008370
R,s,1735660008385
P,9,1735660008414
P,8,1735660008422
R,d,1735660008430
R,9,1735660008486
R,8,1735660008526
P,s,1735660008558
P,f,1735660008591
P,8,1735660008655
R,s,1735660008691
P,9,1735660008729
R,f,1735660008747
R,8,1735660008796
R,9,1735660008818
P,0,1735660009016
R,0,1735660009176
P,',1735660010004
R,',1735660010146
P,',1735660010297
P,;,1735660010321
P,Key.caps_lock,1735660010345
R,;,1735660010377
R,',1735660010433
P,',1735660010537
P,A,1735660010581
P,;,1735660010811
R,',1735660010814
P,.,1735660010858
R,;,1735660010878
R,A,1735660010929
P,S,1735660010932
R,.,1735660011008
R,S,1735660011030
P,',1735660011066
P,A,1735660011111
R,',1735660011113
P,.,1735660011163
P,S,1735660011207
R,.,1735660011275
P,',1735660011303
R,A,1735660011372
R,',1735660011403
P,.,1735660011431
R,S,1735660011434
P,S,1735660011651
R,.,1735660011667
P,.,1735660011715
R,.,1735660011731
P,.,1735660011751
P,A,1735660011767
R,S,1735660011807
R,A,1735660011859
P,Key.comma,1735660011931
R,.,1735660011956
R,Key.comma,1735660012031
P,.,1735660012048
P,/,1735660012071
R,/,1735660012128
R,.,1735660012139
P,Key.comma,1735660012163
R,Key.comma,1735660012279
P,/,1735660012280
P,.,1735660012319
R,.,1735660012387
R,/,1735660012408
P,L,1735660012635
R,L,1735660012739
P,A,1735660012871
P,O,1735660012925
P,P,1735660012949
R,O,1735660012997
P,S,1735660013004
P,O,1735660013013
R,O,1735660013072
P,O,1735660013093
P,D,1735660013113
R,A,1735660013116
R,P,1735660013129
P,I,1735660013133
R,S,1735660013140
R,O,1735660013148
R,D,1735660013233
R,I,1735660013253
P,A,1735660013256
P,D,1735660013382
P,S,1735660013396
P,I,1735660013400
R,A,1735660013437
R,S,1735660013444
P,P,1735660013473
R,I,1735660013493
P,O,1735660013509
R,D,1735660013545
