Press or Release,Key,Time
P,O,1735660003698
R,O,1735660003817
P,N,1735660003970
R,N,1735660004041
P,Key.space,1735660004154
R,Key.space,1735660004235
P,T,1735660004346
R,T,1735660004465
P,H,1735660004465
R,H,1735660004562
P,E,1735660004609
R,E,1735660004754
P,Key.space,1735660004754
R,Key.space,1735660004825
P,A,1735660006697
R,A,1735660006913
P,W,1735660007001
R,W,1735660007147
P,A,1735660007262
R,A,1735660007425
P,R,1735660007450
R,R,1735660007585
P,D,1735660007673
R,D,1735660007841
P,Key.space,1735660007876
R,Key.space,1735660007960
P,F,1735660008554
R,F,1735660008721
P,U,1735660008834
R,U,1735660008906
P,N,1735660009025
R,N,1735660009105
P,C,1735660009171
R,C,1735660009385
P,T,1735660009546
R,T,1735660009714
P,I,1735660010914
R,I,1735660010979
P,O,1735660011073
R,O,1735660011145
P,N,1735660011258
R,N,1735660011337
P,Key.space,1735660011459
R,Key.space,1735660011505
P,T,1735660018041
R,T,1735660018163
P,H,1735660018163
R,H,1735660018265
P,E,1735660018345
P,Key.space,1735660018462
R,E,1735660018497
R,Key.space,1735660018537
P,A,1735660018650
R,A,1735660018802
P,N,1735660018803
R,N,1735660018892
P,C,1735660018970
P,H,1735660019083
R,C,1735660019105
R,H,1735660019173
P,O,1735660019281
R,O,1735660019395
P,R,1735660019473
R,R,1735660019612
P,Key.space,1735660019612
R,Key.space,1735660019683
P,I,1735660019963
R,I,1735660020082
P,S,1735660020145
P,Key.space,1735660020290
R,S,1735660020306
R,Key.space,1735660020362
P,J,1735660020928
R,J,1735660021003
P,O,1735660021105
R,O,1735660021178
P,K,1735660021282
R,K,1735660021353
P,I,1735660021459
R,I,1735660021556
P,N,1735660021625
R,N,1735660021730
P,G,1735660021793
P,Key.space,1735660021978
R,G,1735660021978
R,Key.space,1735660021978
P,T,1735660022057
R,T,1735660022187
P,H,1735660022187
R,H,1735660022337
P,E,1735660022370
R,E,1735660022497
P,Key.space,1735660022525
R,Key.space,1735660022589
P,Key.backspace,1735660023105
R,Key.backspace,1735660023164
P,Key.backspace,1735660023258
R,Key.backspace,1735660023307
P,Key.backspace,1735660023409
R,Key.backspace,1735660023465
P,Key.backspace,1735660023569
R,Key.backspace,1735660023618
P,Key.backspace,1735660023714
