Press or Release,Key,Time
P,Key.alt,1735660010828
P,Key.shift,1735660075547
P,T,1735660075803
R,T,1735660075851
R,Key.shift,1735660075923
P,h,1735660075994
P,j,1735660076010
R,j,1735660076058
R,h,1735660076091
P,a,1735660076250
R,a,1735660076379
P,t,1735660076411
R,t,1735660076539
P,Key.ctrl,1735660076827
P,a,1735660076931
R,Key.ctrl,1735660076978
R,a,1735660077043
P,Key.shift,1735660077307
P,T,1735660077531
R,T,1735660077587
R,Key.shift,1735660077603
P,h,1735660077731
R,h,1735660077843
P,a,1735660077923
P,t,1735660078019
R,a,1735660078034
R,t,1735660078098
P,Key.space,1735660078275
R,Key.space,1735660078371
P,s,1735660078587
R,s,1735660078715
P,p,1735660078827
R,p,1735660078899
P,e,1735660078988
R,e,1735660079059
P,e,1735660079155
R,e,1735660079234
P,c,1735660079428
P,h,1735660079530
R,c,1735660079547
R,h,1735660079610
P,Key.space,1735660079699
R,Key.space,1735660079787
P,h,1735660079939
P,i,1735660080035
R,h,1735660080091
R,i,1735660080147
P,t,1735660080155
R,t,1735660080234
P,Key.space,1735660080299
R,Key.space,1735660080355
P,m,1735660080467
R,m,1735660080555
P,e,1735660080603
R,e,1735660080682
P,Key.space,1735660080723
R,Key.space,1735660080811
P,h,1735660081203
R,h,1735660081266
P,a,1735660081347
R,a,1735660081455
P,r,1735660081503
R,r,1735660081583
P,d,1735660081703
R,d,1735660081782
P,.,1735660082551
R,.,1735660082606
P,Key.space,1735660102019
R,Key.space,1735660102123
P,Key.shift,1735660102155
P,T,1735660102323
R,T,1735660102387
R,Key.shift,1735660102419
P,h,1735660102547
R,h,1735660102651
P,a,1735660102682
R,a,1735660102795
P,t,1735660102807
R,t,1735660102875
P,Key.space,1735660103019
R,Key.space,1735660103111
P,m,1735660103419
P,o,1735660103531
R,m,1735660103555
R,o,1735660103643
P,m,1735660103755
R,m,1735660103859
P,e,1735660104635
R,e,1735660104707
P,n,1735660104763
R,n,1735660104858
P,t,1735660104946
R,t,1735660105019
P,Key.space,1735660105103
R,Key.space,1735660105187
P,w,1735660106683
R,w,1735660106755
P,a,1735660106899
R,a,1735660106987
P,s,1735660107107
R,s,1735660107171
P,Key.space,1735660107207
P,s,1735660107307
R,Key.space,1735660107331
R,s,1735660107395
P,o,1735660107475
R,o,1735660107555
P,Key.space,1735660107643
R,Key.space,1735660107723
P,p,1735660107859
R,p,1735660107915
P,o,1735660108002
R,o,1735660108075
P,e,1735660108171
R,e,1735660108243
P,Key.backspace,1735660108723
R,Key.backspace,1735660108795
P,w,1735660108859
R,w,1735660108915
P,e,1735660109043
R,e,1735660109131
P,r,1735660109259
R,r,1735660109346
P,f,1735660109515
R,f,1735660109595
P,u,1735660109611
R,u,1735660109675
P,l,1735660109843
R,l,1735660109923
P,.,1735660110771
R,.,1735660110843
P,Key.space,1735660113431
R,Key.space,1735660113551
P,Key.shift,1735660113631
P,T,1735660113759
R,T,1735660113822
R,Key.shift,1735660113847
P,h,1735660113959
R,h,1735660114047
P,e,1735660114063
R,e,1735660114159
P,Key.space,1735660114191
R,Key.space,1735660114287
P,i,1735660114607
R,i,1735660114679
P,d,1735660114775
R,d,1735660114846
P,e,1735660114983
R,e,1735660115063
P,a,1735660115391
R,a,1735660115479
P,Key.space,1735660115567
R,Key.space,1735660115639
P,t,1735660122647
R,t,1735660122727
P,h,1735660122855
P,a,1735660122935
R,h,1735660122975
R,a,1735660123111
P,t,1735660123127
R,t,1735660123199
P,Key.space,1735660123643
R,Key.space,1735660123727
P,w,1735660123855
R,w,1735660123935
P,e,1735660124103
R,e,1735660124151
P,Key.space,1735660124183
R,Key.space,1735660124303
P,a,1735660124335
R,a,1735660124463
P,r,1735660124504
R,r,1735660124599
P,e,1735660124695
R,e,1735660124775
P,Key.space,1735660124879
R,Key.space,1735660124967
P,n,1735660126847
P,o,1735660126903
R,n,1735660126991
R,o,1735660127047
P,t,1735660127227
R,t,1735660127319
P,Key.space,1735660127423
R,Key.space,1735660127535
P,a,1735660127823
P,f,1735660127911
R,a,1735660127935
R,f,1735660127991
P,r,1735660128103
R,r,1735660128175
P,a,1735660128229
R,a,1735660128339
P,i,1735660128459
R,i,1735660128563
P,d,1735660128627
R,d,1735660128731
P,Key.space,1735660128851
R,Key.space,1735660128931
P,o,1735660131403
R,o,1735660131539
P,f,1735660131819
R,f,1735660131939
P,Key.space,1735660132131
R,Key.space,1735660132283
P,b,1735660132804
R,b,1735660132891
P,e,1735660132987
R,e,1735660133067
P,i,1735660133155
R,i,1735660133258
P,n,1735660133411
R,n,1735660133539
P,g,1735660133579
R,g,1735660133651
P,Key.space,1735660133731
R,Key.space,1735660133815
P,w,1735660135401
R,w,1735660135475
P,e,1735660135651
R,e,1735660135707
P,e,1735660135803
R,e,1735660135875
P,k,1735660135971
R,k,1735660136067
P,Key.space,1735660136219
R,Key.space,1735660136299
P,Key.backspace,1735660141091
R,Key.backspace,1735660141171
P,Key.comma,1735660141659
R,Key.comma,1735660141739
P,Key.space,1735660141859
R,Key.space,1735660141947
P,b,1735660142147
P,u,1735660142239
R,b,1735660142291
R,u,1735660142338
P,t,1735660142379
R,t,1735660142455
P,Key.space,1735660142531
R,Key.space,1735660142619
P,o,1735660144719
R,o,1735660144839
P,f,1735660144927
R,f,1735660145007
P,Key.space,1735660145039
R,Key.space,1735660145159
P,b,1735660145287
R,b,1735660145366
P,e,1735660145487
R,e,1735660145567
P,i,1735660145607
R,i,1735660145679
P,n,1735660145807
R,n,1735660145907
P,g,1735660145959
R,g,1735660146035
P,Key.space,1735660146087
R,Key.space,1735660146183
P,g,1735660147975
R,g,1735660148063
P,r,1735660148215
R,r,1735660148311
P,e,1735660148407
R,e,1735660148455
P,a,1735660148655
R,a,1735660148763
P,t,1735660148819
R,t,1735660148911
P,Key.space,1735660150695
R,Key.space,1735660150823
P,-,1735660150951
R,-,1735660151031
P,Key.space,1735660151079
R,Key.space,1735660151207
P,Key.ctrl,1735660153048
P,Key.shift,1735660153135
P,Key.left,1735660153255
R,Key.left,1735660153327
