Press or Release,Key,Time
P,c,1735660004137
R,c,1735660004284
P,h,1735660004294
R,h,1735660004381
P,Key.backspace,1735660005446
R,Key.backspace,1735660005493
P,Key.backspace,1735660005577
R,Key.backspace,1735660005643
P,Key.shift,1735660006371
P,C,1735660007264
R,C,1735660007337
R,Key.shift,1735660007355
P,h,1735660007902
R,h,1735660007970
P,r,1735660008372
R,r,1735660008481
P,i,1735660008587
R,i,1735660008652
P,s,1735660008940
R,s,1735660009059
P,Key.space,1735660009095
R,Key.space,1735660009138
P,r,1735660010841
R,r,1735660010951
P,o,1735660011250
R,o,1735660011319
P,c,1735660011512
R,c,1735660011593
P,k,1735660011870
R,k,1735660011936
P,Key.space,1735660012099
R,Key.space,1735660012146
P,w,1735660012935
R,w,1735660013021
P,a,1735660013150
R,a,1735660013279
P,s,1735660013290
P,Key.space,1735660013384
R,s,1735660013421
R,Key.space,1735660013452
P,p,1735660014831
R,p,1735660014890
P,r,1735660015404
R,r,1735660015487
P,e,1735660015618
R,e,1735660015673
P,s,1735660015824
R,s,1735660015921
P,e,1735660017630
R,e,1735660017757
P,n,1735660017888
R,n,1735660017956
P,t,1735660018304
R,t,1735660018352
P,i,1735660018576
R,i,1735660018656
P,n,1735660018841
R,n,1735660018910
P,g,1735660019132
R,g,1735660019212
P,Key.space,1735660019274
R,Key.space,1735660019341
P,t,1735660021572
R,t,1735660021584
P,h,1735660021698
R,h,1735660021774
P,e,1735660023071
R,e,1735660023178
P,Key.space,1735660023219
R,Key.space,1735660023280
P,a,1735660023587
R,a,1735660023727
P,w,1735660024222
R,w,1735660024312
P,a,1735660024496
R,a,1735660024645
P,r,1735660024878
R,r,1735660024947
P,d,1735660025101
R,d,1735660025190
P,Key.space,1735660025264
R,Key.space,1735660025351
P,Key.backspace,1735660026424
R,Key.backspace,1735660026485
P,s,1735660026579
R,s,1735660026691
P,Key.space,1735660026758
R,Key.space,1735660026812
P,Key.comma,1735660030853
R,Key.comma,1735660030900
P,Key.shift,1735660031167
R,Key.shift,1735660031324
P,a,1735660032347
R,a,1735660032495
P,n,1735660032537
R,n,1735660032619
P,d,1735660032812
R,d,1735660032905
P,Key.space,1735660032938
R,Key.space,1735660033026
P,t,1735660033287
R,t,1735660033417
P,h,1735660033469
R,h,1735660033563
P,e,1735660033648
R,e,1735660033771
P,Key.space,1735660033832
R,Key.space,1735660033888
P,Key.backspace,1735660034928
R,Key.backspace,1735660034994
P,n,1735660035413
R,n,1735660035489
P,Key.space,1735660035610
R,Key.space,1735660035665
P,h,1735660036910
R,h,1735660036992
P,e,1735660037062
R,e,1735660037187
P,Key.space,1735660037231
R,Key.space,1735660037292
P,m,1735660037549
R,m,1735660037602
P,a,1735660037636
R,a,1735660037784
P,d,1735660038579
R,d,1735660038665
P,e,1735660038716
R,e,1735660038828
P,Key.space,1735660038880
R,Key.space,1735660038944
P,a,1735660039311
R,a,1735660039453
P,Key.space,1735660039476
R,Key.space,1735660039529
P,j,1735660041581
R,j,1735660041641
P,o,1735660041901
R,o,1735660041970
P,k,1735660042132
R,k,1735660042196
P,e,1735660042282
R,e,1735660042372
P,Key.space,1735660042427
R,Key.space,1735660042471
P,a,1735660043509
R,a,1735660043641
P,b,1735660044397
R,b,1735660044484
P,o,1735660044791
R,o,1735660044883
P,u,1735660045026
R,u,1735660045067
P,t,1735660045335
R,t,1735660045416
P,Key.space,1735660045502
R,Key.space,1735660045557
P,w,1735660049137
R,w,1735660049198
P,i,1735660049464
R,i,1735660049534
P,l,1735660050536
R,l,1735660050594
P,l,1735660050672
R,l,1735660050721
P,Key.space,1735660050937
R,Key.space,1735660050981
P,s,1735660052044
R,s,1735660052150
P,m,1735660052288
R,m,1735660052375
P,i,1735660052506
R,i,1735660052597
P,t,1735660052839
R,t,1735660052926
P,h,1735660052955
R,h,1735660053055
P,',1735660053908
R,',1735660053959
P,s,1735660054419
R,s,1735660054505
P,Key.space,1735660054554
R,Key.space,1735660054592
P,w,1735660057809
R,w,1735660057937
P,i,1735660058225
R,i,1735660058305
P,f,1735660058983
R,f,1735660059084
P,e,1735660059165
R,e,1735660059284
P,Key.space,1735660059324
R,Key.space,1735660059382
P,w,1735660064996
R,w,1735660065129
P,h,1735660065279
R,h,1735660065340
P,o,1735660065943
R,o,1735660065995
P,Key.space,1735660066296
R,Key.space,1735660066327
P,h,1735660068613
R,h,1735660068692
P,a,1735660068739
R,a,1735660068883
P,d,1735660068990
R,d,1735660069083
P,Key.space,1735660069139
R,Key.space,1735660069205
P,a,1735660069586
R,a,1735660069721
P,Key.space,1735660069729
R,Key.space,1735660069788
P,m,1735660070261
R,m,1735660070325
P,e,1735660070475
R,e,1735660070592
P,d,1735660070694
R,d,1735660070781
P,i,1735660070981
R,i,1735660071058
P,c,1735660071408
R,c,1735660071496
P,a,1735660071749
R,a,1735660071878
P,l,1735660071936
R,l,1735660072006
P,Key.space,1735660072184
R,Key.space,1735660072233
P,c,1735660072532
R,c,1735660072625
P,o,1735660072945
R,o,1735660073010
P,n,1735660073166
R,n,1735660073215
P,f,1735660073411
R,f,1735660073468
P,Key.backspace,1735660074000
R,Key.backspace,1735660074057
P,d,1735660075776
R,d,1735660075897
