Press or Release,Key,Time
P,O,1735660004359
R,O,1735660004433
P,N,1735660004565
R,N,1735660004646
P,Key.space,1735660004742
R,Key.space,1735660004818
P,T,1735660004885
R,T,1735660005026
P,H,1735660005037
R,H,1735660005130
P,E,1735660005156
R,E,1735660005305
P,Key.space,1735660005305
R,Key.space,1735660005381
P,O,1735660005582
R,O,1735660005630
P,F,1735660005710
R,F,1735660005805
P,F,1735660005891
R,F,1735660006002
P,I,1735660006021
R,I,1735660006098
P,C,1735660006142
R,C,1735660006298
P,Key.space,1735660006395
P,E,1735660006414
R,Key.space,1735660006437
R,E,1735660006560
P,Key.backspace,1735660007715
R,Key.backspace,1735660007717
P,Key.backspace,1735660007727
R,Key.backspace,1735660007884
P,E,1735660008653
R,E,1735660008774
P,Key.space,1735660009006
R,Key.space,1735660009029
P,M,1735660009741
R,M,1735660009813
P,E,1735660009941
R,E,1735660010022
P,E,1735660010114
R,E,1735660010252
P,T,1735660010428
R,T,1735660010557
P,I,1735660010558
R,I,1735660010628
P,N,1735660010742
R,N,1735660010828
P,G,1735660010893
R,G,1735660011014
P,Key.space,1735660011014
R,Key.space,1735660011084
P,T,1735660012307
P,H,1735660012451
R,T,1735660012469
R,H,1735660012540
P,Key.backspace,1735660013852
R,Key.backspace,1735660013909
P,Key.backspace,1735660014053
R,Key.backspace,1735660014112
P,I,1735660014349
R,I,1735660014421
P,N,1735660014554
R,N,1735660014621
P,Key.space,1735660014725
R,Key.space,1735660014804
P,T,1735660014856
R,T,1735660014974
P,H,1735660014997
R,H,1735660015076
P,E,1735660015169
R,E,1735660015295
P,Key.space,1735660015295
R,Key.space,1735660015371
P,W,1735660015733
R,W,1735660015877
P,A,1735660015991
R,A,1735660016125
P,S,1735660016174
R,S,1735660016294
P,H,1735660016373
R,H,1735660016441
P,I,1735660016638
R,I,1735660016718
P,N,1735660016813
R,N,1735660016894
P,G,1735660016948
R,G,1735660017045
P,T,1735660017780
R,T,1735660017908
P,O,1735660018022
R,O,1735660018093
P,N,1735660018700
R,N,1735660018765
P,Key.comma,1735660019829
R,Key.comma,1735660019877
P,Key.space,1735660020053
R,Key.space,1735660020109
P,T,1735660020191
R,T,1735660020317
P,H,1735660020349
R,H,1735660020424
P,E,1735660020501
R,E,1735660020645
P,U,1735660021164
R,U,1735660021254
P,K,1735660021852
R,K,1735660021926
P,A,1735660022228
R,A,1735660022396
P,Key.backspace,1735660022869
R,Key.backspace,1735660022918
P,Key.backspace,1735660023021
R,Key.backspace,1735660023086
P,Key.backspace,1735660024212
R,Key.backspace,1735660024276
P,Key.space,1735660024480
R,Key.space,1735660024533
P,U,1735660024831
R,U,1735660024894
P,K,1735660029542
R,K,1735660029605
P,A,1735660030801
R,A,1735660030965
P,R,1735660031031
R,R,1735660031174
P,I,1735660031213
R,I,1735660031301
P,N,1735660031413
R,N,1735660031501
P,E,1735660031606
R,E,1735660031790
P,Key.backspace,1735660032790
R,Key.backspace,1735660032854
P,I,1735660033109
R,I,1735660033174
P,N,1735660033277
R,N,1735660033356
P,E,1735660033429
R,E,1735660033541
P,Key.space,1735660033581
R,Key.space,1735660033637
P,P,1735660034826
R,P,1735660034885
P,R,1735660034997
R,R,1735660035109
P,E,1735660035182
R,E,1735660035335
P,S,1735660035461
R,S,1735660035613
P,I,1735660035686
R,I,1735660035749
P,D,1735660035805
R,D,1735660035941
P,E,1735660036029
P,N,1735660036154
R,E,1735660036175
R,N,1735660036245
P,T,1735660036285
R,T,1735660036422
P,Key.space,1735660036422
R,Key.space,1735660036477
P,A,1735660036645
R,A,1735660036789
P,N,1735660036814
P,D,1735660036885
R,N,1735660036910
R,D,1735660037013
P,Key.space,1735660037045
R,Key.space,1735660037117
P,T,1735660037157
R,T,1735660037268
P,E,1735660037453
R,E,1735660037581
P,Key.backspace,1735660038308
R,Key.backspace,1735660038357
P,H,1735660038677
R,H,1735660038774
P,E,1735660038844
P,Key.space,1735660038964
R,E,1735660038998
R,Key.space,1735660039030
P,V,1735660039389
R,V,1735660039533
P,I,1735660040525
R,I,1735660040596
P,C,1735660040685
R,C,1735660040801
P,E,1735660040909
R,E,1735660041062
P,Key.space,1735660041062
R,Key.space,1735660041117
P,P,1735660041845
R,P,1735660041991
P,R,1735660042055
R,R,1735660042181
P,E,1735660042285
R,E,1735660042445
P,D,1735660042629
R,D,1735660042810
P,Key.backspace,1735660043558
R,Key.backspace,1735660043621
P,S,1735660043750
R,S,1735660043886
P,I,1735660043886
R,I,1735660043957
P,D,1735660044022
R,D,1735660044159
P,E,1735660044301
P,N,1735660044421
R,E,1735660044456
R,N,1735660044527
P,T,1735660044573
P,Key.space,1735660044692
R,T,1735660044701
R,Key.space,1735660044764
P,A,1735660049149
R,A,1735660049301
P,E,1735660049509
R,E,1735660049670
P,Key.space,1735660049741
R,Key.space,1735660049821
P,A,1735660050197
R,A,1735660050341
P,R,1735660050454
R,R,1735660050597
P,U,1735660050717
R,U,1735660050805
P,G,1735660050877
R,G,1735660050966
P,I,1735660051086
R,I,1735660051117
P,N,1735660052574
R,N,1735660052685
P,G,1735660052735
R,G,1735660052855
P,Key.space,1735660052876
R,Key.space,1735660052950
P,T,1735660054341
R,T,1735660054493
P,H,1735660054494
R,H,1735660054573
P,E,1735660054669
P,Key.space,1735660054797
R,E,1735660054821
R,Key.space,1735660054876
P,S,1735660055228
R,S,1735660055374
P,O,1735660055416
R,O,1735660055477
P,M,1735660055597
R,M,1735660055677
P,E,1735660055766
R,E,1735660055894
P,Key.space,1735660055917
R,Key.space,1735660055990
P,I,1735660056198
R,I,1735660056293
P,S,1735660056390
R,S,1735660056509
P,S,1735660057188
R,S,1735660057397
P,U,1735660057398
R,U,1735660057500
P,E,1735660058030
R,E,1735660058156
P,Key.space,1735660058277
R,Key.space,1735660058328
P,S,1735660059757
R,S,1735660059910
P,O,1735660060175
R,O,1735660060247
P,Key.comma,1735660060437
R,Key.comma,1735660060501
P,Key.space,1735660060620
R,Key.space,1735660060687
P,T,1735660060863
P,H,1735660060981
R,T,1735660060998
R,H,1735660061076
P,E,1735660061157
P,Key.space,1735660061260
R,E,1735660061302
R,Key.space,1735660061345
P,T,1735660061510
R,T,1735660061650
P,R,1735660061732
R,R,1735660061876
P,U,1735660062015
R,U,1735660062095
P,M,1735660062301
R,M,1735660062358
P,P,1735660062660
R,P,1735660062742
P,Key.space,1735660063261
R,Key.space,1735660063325
P,I,1735660063748
R,I,1735660063830
P,N,1735660063958
R,N,1735660064030
P,T,1735660064111
R,T,1735660064213
P,E,1735660064317
R,E,1735660064469
P,R,1735660064470
R,R,1735660064598
P,F,1735660064741
R,F,1735660064885
P,E,1735660065005
R,E,1735660065174
P,R,1735660065174
R,R,1735660065317
P,E,1735660065404
R,E,1735660065566
P,Key.space,1735660065926
R,Key.space,1735660066005
P,A,1735660066133
R,A,1735660066269
P,N,1735660066301
P,D,1735660066381
R,N,1735660066405
R,D,1735660066550
P,Key.space,1735660066551
R,Key.space,1735660066661
P,T,1735660066694
R,T,1735660066894
P,S,1735660067958
R,S,1735660068109
P,L,1735660068277
R,L,1735660068317
P,O,1735660068412
R,O,1735660068493
P,V,1735660068551
R,V,1735660068725
P,E,1735660068805
P,Key.space,1735660068965
R,E,1735660068991
R,Key.space,1735660069031
P,T,1735660069086
R,T,1735660069237
P,H,1735660069271
R,H,1735660069380
P,E,1735660069469
R,E,1735660069589
P,Key.space,1735660069637
R,Key.space,1735660069717
P,P,1735660069990
R,P,1735660070118
P,R,1735660070207
R,R,1735660070356
P,O,1735660070356
R,O,1735660070414
P,B,1735660071364
R,B,1735660071480
P,L,1735660071735
R,L,1735660071805
P,E,1735660071925
R,E,1735660072086
P,M,1735660072086
R,M,1735660072149
P,.,1735660072687
R,.,1735660072750
