Press or Release,Key,Time
P,Key.shift,1735660012324
R,Key.shift,1735660012529
P,u,1735660012534
R,u,1735660012662
P,n,1735660012783
R,n,1735660012917
P,r,1735660013161
R,r,1735660013283
P,e,1735660013366
R,e,1735660013468
P,a,1735660013570
R,a,1735660013728
P,l,1735660013780
R,l,1735660013895
P,Key.space,1735660014037
R,Key.space,1735660014158
P,t,1735660014379
R,t,1735660014479
P,e,1735660014597
R,e,1735660014727
P,n,1735660014896
R,n,1735660015029
P,t,1735660015270
R,t,1735660015351
P,i,1735660015577
R,i,1735660015705
P,o,1735660015805
R,o,1735660015902
P,n,1735660016069
R,n,1735660016295
P,Key.space,1735660016295
R,Key.space,1735660016377
P,i,1735660016560
R,i,1735660016636
P,n,1735660016761
R,n,1735660016853
P,Key.space,1735660016960
R,Key.space,1735660017087
P,t,1735660017245
R,t,1735660017347
P,h,1735660017462
R,h,1735660017554
P,e,1735660017623
P,Key.space,1735660017722
R,e,1735660017770
R,Key.space,1735660017825
P,o,1735660018005
R,o,1735660018114
P,v,1735660018318
R,v,1735660018429
P,a,1735660018482
R,a,1735660018654
P,l,1735660018711
R,l,1735660018816
P,Key.space,1735660018941
R,Key.space,1735660019035
P,o,1735660019192
R,o,1735660019283
P,f,1735660019595
R,f,1735660019740
P,f,1735660019824
R,f,1735660020004
P,i,1735660020008
R,i,1735660020095
P,c,1735660020296
R,c,1735660020387
P,e,1735660020470
P,Key.space,1735660020564
R,e,1735660020597
R,Key.space,1735660020692
P,Key.shift,1735660031698
R,Key.shift,1735660031991
P,t,1735660031996
R,t,1735660032052
P,r,1735660032148
R,r,1735660032260
P,u,1735660032714
R,u,1735660032832
P,m,1735660032973
R,m,1735660033090
P,p,1735660033282
R,p,1735660033379
P,Key.space,1735660033550
R,Key.space,1735660033671
P,a,1735660033810
R,a,1735660033953
P,n,1735660033965
R,n,1735660034073
P,d,1735660034267
P,Key.space,1735660034369
R,d,1735660034410
R,Key.space,1735660034578
P,Key.shift,1735660034882
P,V,1735660035066
R,Key.shift,1735660035077
R,V,1735660035177
P,a,1735660035247
R,a,1735660035422
P,n,1735660035661
R,n,1735660035795
P,c,1735660035996
R,c,1735660036101
P,e,1735660036160
P,Key.space,1735660036308
R,e,1735660036309
R,Key.space,1735660036411
P,c,1735660036750
R,c,1735660036859
P,a,1735660036967
R,a,1735660037128
P,l,1735660037289
R,l,1735660037389
P,l,1735660037468
R,l,1735660037583
P,i,1735660037714
R,i,1735660037800
P,n,1735660037911
R,n,1735660038035
P,g,1735660038211
R,g,1735660038305
P,Key.space,1735660038432
R,Key.space,1735660038538
P,Key.shift,1735660038789
P,Z,1735660039075
R,Key.shift,1735660039110
R,Z,1735660039181
P,e,1735660039465
R,e,1735660039652
P,l,1735660039682
P,e,1735660039784
R,l,1735660039798
R,e,1735660039944
P,n,1735660040063
R,n,1735660040167
P,s,1735660040577
R,s,1735660040712
P,k,1735660040944
R,k,1735660041069
P,y,1735660041364
R,y,1735660041452
P,y,1735660041529
R,y,1735660041623
P,Key.space,1735660041807
R,Key.space,1735660041912
P,',1735660042574
R,',1735660042671
P,d,1735660043314
R,d,1735660043489
P,i,1735660043524
R,i,1735660043630
P,s,1735660043645
R,s,1735660043831
P,r,1735660044389
R,r,1735660044484
P,e,1735660044572
R,e,1735660044703
P,s,1735660045043
R,s,1735660045194
P,p,1735660046050
R,p,1735660046146
P,e,1735660046273
R,e,1735660046403
P,c,1735660046477
R,c,1735660046589
P,t,1735660046738
R,t,1735660046825
P,f,1735660047117
R,f,1735660047291
P,u,1735660047332
R,u,1735660047408
P,l,1735660047786
R,l,1735660047886
P,;,1735660048487
R,;,1735660048562
P,Key.backspace,1735660049128
R,Key.backspace,1735660049308
P,',1735660049375
R,',1735660049471
P,Key.space,1735660049705
R,Key.space,1735660049808
P,h,1735660057664
R,h,1735660057785
P,i,1735660058018
R,i,1735660058110
P,g,1735660058298
R,g,1735660058406
P,h,1735660058518
R,h,1735660058612
P,l,1735660058889
R,l,1735660059009
P,i,1735660059143
R,i,1735660059243
P,g,1735660059473
R,g,1735660059527
P,h,1735660059618
R,h,1735660059733
P,t,1735660059836
R,t,1735660059929
P,s,1735660060113
P,Key.space,1735660060190
R,s,1735660060251
R,Key.space,1735660060296
P,j,1735660060978
R,j,1735660061079
P,u,1735660061207
R,u,1735660061305
P,s,1735660061368
R,s,1735660061514
P,t,1735660061618
R,t,1735660061719
P,Key.space,1735660061854
R,Key.space,1735660061983
P,h,1735660062217
R,h,1735660062341
P,o,1735660062585
R,o,1735660062687
P,w,1735660063101
P,Key.space,1735660063190
R,w,1735660063243
R,Key.space,1735660063297
P,f,1735660063655
R,f,1735660063761
P,r,1735660063859
R,r,1735660063993
P,a,1735660064144
R,a,1735660064308
P,g,1735660064544
R,g,1735660064598
P,i,1735660064794
R,i,1735660064920
P,l,1735660065031
R,l,1735660065120
P,e,1735660065180
R,e,1735660065331
P,Key.space,1735660065346
R,Key.space,1735660065435
P,g,1735660071266
R,g,1735660071364
P,l,1735660071676
R,l,1735660071797
P,o,1735660071899
R,o,1735660071992
P,b,1735660072203
R,b,1735660072293
P,a,1735660072372
R,a,1735660072524
P,l,1735660072580
R,l,1735660072675
P,Key.space,1735660072823
R,Key.space,1735660072921
P,d,1735660073269
R,d,1735660073416
P,i,1735660073494
R,i,1735660073596
P,p,1735660074314
R,p,1735660074397
P,l,1735660076985
R,l,1735660077094
P,o,1735660077223
R,o,1735660077307
P,m,1735660077928
R,m,1735660078053
P,a,1735660078112
R,a,1735660078263
P,n,1735660078283
R,n,1735660078326
P,Key.backspace,1735660079235
R,Key.backspace,1735660079361
P,c,1735660080667
R,c,1735660080769
P,y,1735660081038
R,y,1735660081135
P,Key.space,1735660081296
R,Key.space,1735660081399
P,c,1735660082144
R,c,1735660082269
P,a,1735660082319
R,a,1735660082463
P,n,1735660082493
R,n,1735660082599
P,Key.space,1735660082708
R,Key.space,1735660082815
P,b,1735660082960
R,b,1735660083061
P,e,1735660083143
R,e,1735660083282
P,.,1735660084069
R,.,1735660084155
P,Key.space,1735660084313
R,Key.space,1735660084423
P,Key.shift,1735660089983
P,H,1735660090103
R,Key.shift,1735660090154
R,H,1735660090207
P,i,1735660090457
R,i,1735660090567
P,s,1735660090635
R,s,1735660090786
P,t,1735660092415
P,o,1735660092508
R,t,1735660092542
R,o,1735660092642
P,r,1735660093219
R,r,1735660093314
P,y,1735660093497
R,y,1735660093591
P,Key.space,1735660093780
R,Key.space,1735660093864
P,u,1735660094356
R,u,1735660094461
P,n,1735660094629
R,n,1735660094738
P,f,1735660095247
R,f,1735660095404
P,o,1735660095543
R,o,1735660095645
P,l,1735660095754
R,l,1735660095853
P,d,1735660096117
R,d,1735660096256
P,i,1735660096259
R,i,1735660096378
P,n,1735660096570
R,n,1735660096685
P,g,1735660096832
R,g,1735660096944
P,Key.space,1735660097844
R,Key.space,1735660098026
P,.,1735660098105
R,.,1735660098188
