Press or Release,Key,Time
P,=,1735660005811
R,=,1735660005873
P,Key.backspace,1735660005895
R,Key.backspace,1735660005899
P,Key.shift,1735660005901
P,S,1735660005903
R,S,1735660005907
R,Key.shift,1735660005908
P,e,1735660005923
R,e,1735660005924
P,e,1735660005939
R,e,1735660005941
P,i,1735660005954
R,i,1735660005954
P,n,1735660005969
R,n,1735660005970
P,g,1735660005984
R,g,1735660005985
P,Key.space,1735660005999
R,Key.space,1735660006001
P,Key.shift,1735660006015
P,T,1735660006016
R,T,1735660006017
R,Key.shift,1735660006017
P,r,1735660006030
R,r,1735660006031
P,u,1735660006046
R,u,1735660006047
P,m,1735660006062
R,m,1735660006063
P,p,1735660006078
R,p,1735660006079
P,Key.space,1735660006093
R,Key.space,1735660006094
P,m,1735660006107
R,m,1735660006108
P,e,1735660006124
R,e,1735660006124
P,e,1735660006140
R,e,1735660006141
P,t,1735660006155
R,t,1735660006155
P,Key.space,1735660006171
R,Key.space,1735660006171
P,w,1735660006185
R,w,1735660006186
P,i,1735660006202
R,i,1735660006203
P,t,1735660006217
R,t,1735660006218
P,h,1735660006232
R,h,1735660006233
P,Key.space,1735660006248
R,Key.space,1735660006249
P,Key.shift,1735660006263
P,Z,1735660006264
R,Z,1735660006265
R,Key.shift,1735660006265
P,e,1735660006279
R,e,1735660006281
P,l,1735660006295
R,l,1735660006295
P,e,1735660006311
R,e,1735660006311
P,n,1735660006326
R,n,1735660006326
P,s,1735660006342
R,s,1735660006343
P,k,1735660006359
R,k,1735660006360
P,y,1735660006373
R,y,1735660006374
P,y,1735660006388
R,y,1735660006388
P,Key.space,1735660006403
R,Key.space,1735660006404
P,i,1735660006419
R,i,1735660006420
P,n,1735660006434
R,n,1735660006434
P,Key.space,1735660006449
R,Key.space,1735660006449
P,t,1735660006465
R,t,1735660006465
P,h,1735660006481
R,h,1735660006482
P,e,1735660006497
R,e,1735660006497
P,Key.space,1735660006511
R,Key.space,1735660006512
P,Key.shift,1735660006527
P,O,1735660006527
R,O,1735660006528
R,Key.shift,1735660006528
P,v,1735660006543
R,v,1735660006543
P,a,1735660006559
R,a,1735660006559
P,l,1735660006574
R,l,1735660006574
P,Key.space,1735660006589
R,Key.space,1735660006590
P,Key.shift,1735660006605
P,O,1735660006606
R,O,1735660006607
R,Key.shift,1735660006607
P,f,1735660006620
R,f,1735660006621
P,f,1735660006635
R,f,1735660006636
P,i,1735660006651
R,i,1735660006652
P,c,1735660006666
R,c,1735660006667
P,e,1735660006683
R,e,1735660006683
P,Key.space,1735660006699
R,Key.space,1735660006700
P,r,1735660006713
R,r,1735660006714
P,e,1735660006729
R,e,1735660006730
P,a,1735660006744
R,a,1735660006745
P,l,1735660006760
R,l,1735660006761
P,l,1735660006774
R,l,1735660006774
P,y,1735660006790
R,y,1735660006791
P,Key.space,1735660006805
R,Key.space,1735660006806
P,h,1735660006821
R,h,1735660006822
P,i,1735660006836
R,i,1735660006836
P,g,1735660006852
R,g,1735660006853
P,h,1735660006868
R,h,1735660006869
P,l,1735660006884
R,l,1735660006885
P,i,1735660006899
R,i,1735660006900
P,g,1735660006915
R,g,1735660006916
P,h,1735660006931
R,h,1735660006932
P,t,1735660006947
R,t,1735660006948
P,s,1735660006963
R,s,1735660006963
P,Key.space,1735660006977
R,Key.space,1735660006980
P,h,1735660006993
R,h,1735660006994
P,o,1735660007009
R,o,1735660007010
P,w,1735660007025
R,w,1735660007026
P,Key.space,1735660007042
R,Key.space,1735660007043
P,h,1735660007056
R,h,1735660007058
P,i,1735660007072
R,i,1735660007073
P,g,1735660007087
R,g,1735660007088
P,h,1735660007103
R,h,1735660007103
P,-,1735660007119
R,-,1735660007120
P,s,1735660007133
R,s,1735660007134
P,t,1735660007150
R,t,1735660007150
P,a,1735660007164
R,a,1735660007165
P,k,1735660007180
R,k,1735660007181
P,e,1735660007197
R,e,1735660007198
P,s,1735660007212
R,s,1735660007213
P,Key.space,1735660007227
R,Key.space,1735660007228
P,d,1735660007242
R,d,1735660007243
P,i,1735660007259
R,i,1735660007260
P,p,1735660007274
R,p,1735660007274
P,l,1735660007289
R,l,1735660007290
P,o,1735660007305
R,o,1735660007306
P,m,1735660007320
R,m,1735660007321
P,a,1735660007335
R,a,1735660007336
P,c,1735660007351
R,c,1735660007352
P,y,1735660007367
R,y,1735660007368
P,Key.space,1735660007399
R,Key.space,1735660007399
P,w,1735660007414
R,w,1735660007414
P,o,1735660007430
R,o,1735660007431
P,r,1735660007445
R,r,1735660007446
P,k,1735660007476
R,k,1735660007477
P,s,1735660007492
R,s,1735660007493
P,Key.space,1735660007523
R,Key.space,1735660007523
P,b,1735660007554
R,b,1735660007554
P,e,1735660007585
R,e,1735660007586
P,h,1735660007619
R,h,1735660007621
P,i,1735660007647
R,i,1735660007649
P,n,1735660007662
R,n,1735660007664
P,d,1735660007681
R,d,1735660007683
P,Key.space,1735660007708
R,Key.space,1735660007709
P,t,1735660007723
R,t,1735660007724
P,h,1735660007739
R,h,1735660007740
P,e,1735660007754
R,e,1735660007755
P,Key.space,1735660007770
R,Key.space,1735660007770
P,s,1735660007785
R,s,1735660007786
P,c,1735660007802
R,c,1735660007803
P,e,1735660007817
R,e,1735660007818
P,n,1735660007832
R,n,1735660007833
P,e,1735660007848
R,e,1735660007849
P,s,1735660007864
R,s,1735660007864
P,.,1735660007879
R,.,1735660007881
P,Key.space,1735660007895
R,Key.space,1735660007896
P,,1735660007909
R,,1735660007910
P,,1735660007925
R,,1735660007928
P,,1735660007940
R,,1735660007942
P,,1735660007957
R,,1735660007961
P,,1735660007973
R,,1735660007974
P,,1735660007987
R,,1735660007989
P,,1735660008002
R,,1735660008003
P,,1735660008019
R,,1735660008021
P,,1735660008033
R,,1735660008034
P,,1735660008049
R,,1735660008051
P,Key.space,1735660008065
R,Key.space,1735660008066
P,Key.shift,1735660008082
P,I,1735660008083
R,I,1735660008084
R,Key.shift,1735660008084
P,t,1735660008099
R,t,1735660008100
P,’,1735660008112
R,’,1735660008113
P,s,1735660008128
R,s,1735660008129
P,Key.space,1735660008144
R,Key.space,1735660008145
P,f,1735660008160
R,f,1735660008161
P,a,1735660008175
R,a,1735660008176
P,s,1735660008190
R,s,1735660008191
P,c,1735660008205
R,c,1735660008206
P,i,1735660008220
R,i,1735660008221
P,n,1735660008236
R,n,1735660008237
P,a,1735660008252
R,a,1735660008253
P,t,1735660008267
R,t,1735660008268
P,i,1735660008283
R,i,1735660008284
P,n,1735660008299
R,n,1735660008301
P,g,1735660008315
R,g,1735660008316
P,Key.space,1735660008330
R,Key.space,1735660008331
P,t,1735660008345
R,t,1735660008346
P,o,1735660008361
R,o,1735660008362
P,Key.space,1735660008376
R,Key.space,1735660008377
P,s,1735660008391
R,s,1735660008392
P,e,1735660008407
R,e,1735660008408
P,e,1735660008423
R,e,1735660008424
P,Key.space,1735660008440
R,Key.space,1735660008441
P,w,1735660008455
R,w,1735660008456
P,o,1735660008471
R,o,1735660008472
P,r,1735660008486
