Press or Release,Key,Time
P,Key.caps_lock,1735660004792
R,Key.caps_lock,1735660004954
P,A,1735660004998
R,A,1735660005072
P,Key.caps_lock,1735660005121
R,Key.caps_lock,1735660005234
P,l,1735660005412
R,l,1735660005499
P,l,1735660005619
P,Key.space,1735660005633
R,l,1735660005673
R,Key.space,1735660005810
P,s,1735660005949
R,s,1735660006074
P,t,1735660006249
R,t,1735660006309
P,u,1735660007084
R,u,1735660007129
P,d,1735660007229
R,d,1735660007300
P,e,1735660007394
R,e,1735660007517
P,n,1735660007580
R,n,1735660007665
P,t,1735660007823
R,t,1735660007884
P,Key.space,1735660007962
R,Key.space,1735660008096
P,a,1735660008598
R,a,1735660008730
P,r,1735660008823
R,r,1735660008884
P,e,1735660008947
R,e,1735660009065
P,Key.space,1735660009096
R,Key.space,1735660009229
P,d,1735660010451
R,d,1735660010517
P,i,1735660010704
R,i,1735660010756
P,s,1735660010878
R,s,1735660010983
P,r,1735660011644
R,r,1735660011700
P,e,1735660011794
R,e,1735660011883
P,s,1735660013262
R,s,1735660013337
P,p,1735660013367
R,p,1735660013450
P,e,1735660013529
R,e,1735660013646
P,c,1735660013865
R,c,1735660013918
P,t,1735660014043
R,t,1735660014084
P,Key.space,1735660014195
R,Key.space,1735660014283
P,t,1735660014392
R,t,1735660014459
P,h,1735660014545
R,h,1735660014647
P,e,1735660014663
R,e,1735660014764
P,Key.space,1735660014811
R,Key.space,1735660014914
P,c,1735660015551
R,c,1735660015648
P,o,1735660015788
R,o,1735660015850
P,a,1735660016376
R,a,1735660016449
P,c,1735660016623
R,c,1735660016746
P,h,1735660016824
R,h,1735660016885
P,Key.space,1735660016963
R,Key.space,1735660017095
P,b,1735660017552
R,b,1735660017634
P,u,1735660017837
R,u,1735660017918
P,t,1735660018074
R,t,1735660018134
P,Key.space,1735660018227
R,Key.space,1735660018363
P,o,1735660018975
R,o,1735660019032
P,n,1735660019206
R,n,1735660019283
P,e,1735660019553
R,e,1735660019633
P,Key.space,1735660019696
R,Key.space,1735660019799
P,s,1735660020127
R,s,1735660020231
P,t,1735660020387
R,t,1735660020450
P,u,1735660020637
R,u,1735660020716
P,d,1735660020935
R,d,1735660021002
P,e,1735660021111
R,e,1735660021182
P,n,1735660021307
R,n,1735660021398
P,t,1735660021596
R,t,1735660021666
P,Key.space,1735660021760
R,Key.space,1735660021911
P,w,1735660022223
R,w,1735660022315
P,i,1735660022425
R,i,1735660022485
P,l,1735660022626
R,l,1735660022715
P,l,1735660022793
R,l,1735660022896
P,Key.space,1735660022943
R,Key.space,1735660023062
P,s,1735660023788
R,s,1735660023882
P,t,1735660024022
R,t,1735660024083
P,a,1735660024193
R,a,1735660024282
P,n,1735660024360
R,n,1735660024448
P,d,1735660024636
R,d,1735660024793
P,u,1735660025509
R,u,1735660025566
P,p,1735660025707
R,p,1735660025783
P,Key.space,1735660026002
R,Key.space,1735660026129
P,a,1735660027447
R,a,1735660027566
P,b,1735660027628
R,b,1735660027676
P,d,1735660028515
R,d,1735660028584
P,Key.space,1735660028772
R,Key.space,1735660028850
P,Key.backspace,1735660029799
R,Key.backspace,1735660029883
P,Key.backspace,1735660029946
R,Key.backspace,1735660030032
P,n,1735660030948
R,n,1735660031032
P,d,1735660031219
R,d,1735660031314
P,Key.space,1735660031423
R,Key.space,1735660031531
P,Key.backspace,1735660032126
R,Key.backspace,1735660032199
P,Key.backspace,1735660032293
R,Key.backspace,1735660032351
P,Key.backspace,1735660032445
R,Key.backspace,1735660032531
P,Key.backspace,1735660032594
R,Key.backspace,1735660032677
P,n,1735660036715
R,n,1735660036785
P,d,1735660036910
R,d,1735660036999
P,Key.space,1735660037061
R,Key.space,1735660037148
P,g,1735660037947
R,g,1735660038017
P,i,1735660038189
