Press or Release,Key,Time
P,r,1735660004102
P,Key.space,1735660004104
R,r,1735660004135
R,Key.space,1735660004159
P,i,1735660004159
R,i,1735660004239
P,Key.space,1735660004239
P,Key.shift,1735660004279
P,Q,1735660004279
P,E,1735660004282
P,R,1735660004283
R,Key.shift,1735660004424
R,Q,1735660004424
R,E,1735660004424
R,R,1735660004424
P,i,1735660004424
R,Key.space,1735660004470
R,i,1735660004488
P,e,1735660004591
P,r,1735660004614
P,i,1735660004664
P,Key.space,1735660004665
R,i,1735660004687
R,e,1735660004744
R,r,1735660004744
P,i,1735660004847
P,o,1735660004855
R,Key.space,1735660004870
R,i,1735660004903
R,o,1735660004903
P,q,1735660004966
P,e,1735660004975
P,r,1735660004999
P,Key.space,1735660005000
P,i,1735660005063
R,q,1735660005111
R,e,1735660005112
R,r,1735660005112
R,i,1735660005151
R,Key.space,1735660005255
P,i,1735660005294
P,o,1735660005295
P,q,1735660005310
P,e,1735660005311
P,j,1735660005351
R,i,1735660005384
R,o,1735660005384
R,j,1735660005384
P,r,1735660005400
P,n,1735660005423
P,Key.space,1735660005430
R,q,1735660005463
R,e,1735660005495
R,n,1735660005496
R,r,1735660005542
R,Key.space,1735660005544
P,o,1735660005567
P,j,1735660005615
P,h,1735660005664
R,o,1735660005703
R,j,1735660005703
P,e,1735660005703
P,r,1735660005704
P,Key.space,1735660005705
R,h,1735660005735
R,e,1735660005854
R,r,1735660005854
P,j,1735660005887
R,j,1735660005913
R,Key.space,1735660006039
P,q,1735660006095
P,e,1735660006096
P,o,1735660006103
P,r,1735660006120
P,Key.space,1735660006166
R,o,1735660006192
P,Key.caps_lock,1735660006192
P,H,1735660006216
R,q,1735660006287
R,e,1735660006287
R,r,1735660006287
R,Key.space,1735660006288
R,Key.caps_lock,1735660006288
R,H,1735660006288
P,I,1735660006343
P,O,1735660006346
R,I,1735660006415
R,O,1735660006438
P,Key.space,1735660006463
P,Q,1735660006495
P,E,1735660006497
P,R,1735660006497
R,R,1735660006518
R,Key.space,1735660006623
R,Q,1735660006623
R,E,1735660006623
P,I,1735660006623
P,K,1735660006624
R,I,1735660006695
R,K,1735660006695
P,H,1735660006719
P,Key.space,1735660006743
R,H,1735660006767
R,Key.space,1735660006782
P,Q,1735660006831
P,E,1735660006832
P,R,1735660006880
P,Key.space,1735660006881
R,Q,1735660006959
R,E,1735660006990
R,R,1735660006990
R,Key.space,1735660007071
P,I,1735660007088
P,O,1735660007089
R,I,1735660007174
R,O,1735660007174
P,H,1735660007215
P,Key.space,1735660007216
R,H,1735660007239
P,Q,1735660007240
P,E,1735660007241
P,R,1735660007271
R,Q,1735660007376
R,E,1735660007408
R,R,1735660007408
R,Key.space,1735660007599
P,O,1735660007638
