Press or Release,Key,Time
P,a,1735660006059
R,a,1735660006160
P,l,1735660006496
R,l,1735660006577
P,l,1735660006627
R,l,1735660006689
P,Key.space,1735660006845
R,Key.space,1735660006904
P,t,1735660007147
R,t,1735660007206
P,h,1735660007340
R,h,1735660007419
P,e,1735660007624
R,e,1735660007680
P,Key.space,1735660007832
R,Key.space,1735660007902
P,p,1735660008315
R,p,1735660008382
P,l,1735660008516
R,l,1735660008594
P,a,1735660008648
R,a,1735660008814
P,y,1735660009163
R,y,1735660009235
P,e,1735660009572
R,e,1735660009630
P,r,1735660009757
R,r,1735660009816
P,s,1735660009967
R,s,1735660010022
P,Key.space,1735660010192
R,Key.space,1735660010251
P,d,1735660057232
R,d,1735660057313
P,i,1735660057909
R,i,1735660057975
P,s,1735660058105
R,s,1735660058263
P,l,1735660058428
R,l,1735660058502
P,i,1735660058664
R,i,1735660058729
P,k,1735660058848
R,k,1735660058920
P,e,1735660059237
R,e,1735660059301
P,Key.space,1735660059503
R,Key.space,1735660059569
P,t,1735660062094
R,t,1735660062158
P,h,1735660062310
R,h,1735660062392
P,e,1735660062635
R,e,1735660062744
P,i,1735660062907
R,i,1735660062976
P,r,1735660063275
R,r,1735660063334
P,Key.space,1735660063523
R,Key.space,1735660063588
P,c,1735660063752
R,c,1735660063799
P,o,1735660064315
R,o,1735660064378
P,a,1735660064508
R,a,1735660064643
P,c,1735660064804
R,c,1735660064862
P,h,1735660065361
R,h,1735660065421
P,Key.space,1735660067796
R,Key.space,1735660067865
P,b,1735660068093
R,b,1735660068167
P,e,1735660068504
R,e,1735660068555
P,c,1735660068739
R,c,1735660068803
P,a,1735660068906
R,a,1735660069051
P,u,1735660069381
R,u,1735660069439
P,s,1735660069807
R,s,1735660069871
P,e,1735660069987
R,e,1735660070046
P,Key.space,1735660070232
R,Key.space,1735660070285
P,h,1735660070554
R,h,1735660070631
P,e,1735660070858
R,e,1735660070919
P,Key.space,1735660071088
R,Key.space,1735660071143
P,c,1735660071294
R,c,1735660071340
P,o,1735660071946
R,o,1735660072015
P,m,1735660072634
R,m,1735660072685
P,p,1735660072979
R,p,1735660073030
P,e,1735660075418
R,e,1735660075482
P,l,1735660075993
R,l,1735660076052
P,l,1735660076136
R,l,1735660076191
P,Key.space,1735660076362
R,Key.space,1735660076425
P,t,1735660076647
R,t,1735660076705
P,h,1735660076825
R,h,1735660076899
P,e,1735660077096
R,e,1735660077179
P,m,1735660077331
R,m,1735660077385
P,Key.space,1735660077526
R,Key.space,1735660077596
P,t,1735660077790
R,t,1735660077848
P,o,1735660078222
R,o,1735660078283
P,Key.space,1735660078462
R,Key.space,1735660078525
P,s,1735660078718
R,s,1735660078854
P,t,1735660079009
R,t,1735660079071
P,u,1735660079302
R,u,1735660079364
P,d,1735660079749
R,d,1735660079807
P,y,1735660080217
R,y,1735660080278
P,Key.space,1735660080463
R,Key.space,1735660080530
P,a,1735660080781
R,a,1735660080883
P,n,1735660080900
R,n,1735660080966
P,s,1735660081266
R,s,1735660081327
