Press or Release,Key,Time
P,Key.shift,1735660006405
P,T,1735660006592
R,Key.shift,1735660006730
R,T,1735660006730
P,h,1735660006967
R,h,1735660007121
P,e,1735660007318
R,e,1735660007543
P,Key.space,1735660007672
R,Key.space,1735660007781
P,Key.shift,1735660008900
P,U,1735660009133
R,U,1735660009277
P,>,1735660010025
R,>,1735660010152
P,S,1735660010503
R,S,1735660010732
R,Key.shift,1735660010837
P,Key.backspace,1735660012140
R,Key.backspace,1735660012216
P,Key.backspace,1735660012343
R,Key.backspace,1735660012449
P,Key.backspace,1735660012574
R,Key.backspace,1735660012691
P,Key.shift,1735660014272
P,U,1735660014387
R,U,1735660014529
R,Key.shift,1735660014624
P,.,1735660015155
R,.,1735660015279
P,Key.shift,1735660016057
P,S,1735660016310
R,Key.shift,1735660016498
R,S,1735660016511
P,Key.space,1735660016997
R,Key.space,1735660017160
P,p,1735660017972
R,p,1735660018064
P,r,1735660018619
R,r,1735660018762
P,e,1735660018902
R,e,1735660019059
P,s,1735660019249
R,s,1735660019437
P,i,1735660019591
R,i,1735660019713
P,d,1735660019887
R,d,1735660020062
P,e,1735660020186
R,e,1735660020340
P,n,1735660020556
R,n,1735660020684
P,t,1735660020920
R,t,1735660021043
P,Key.space,1735660021185
R,Key.space,1735660021309
P,Key.shift,1735660022501
P,T,1735660022613
R,T,1735660022748
R,Key.shift,1735660022800
P,r,1735660022869
R,r,1735660022996
P,u,1735660023527
R,u,1735660023637
P,m,1735660023828
R,m,1735660023949
P,p,1735660024275
R,p,1735660024402
P,Key.space,1735660025514
R,Key.space,1735660025652
P,a,1735660026199
R,a,1735660026387
P,n,1735660026525
R,n,1735660026637
P,d,1735660026828
P,Key.space,1735660027030
R,d,1735660027053
R,Key.space,1735660027120
P,Key.shift,1735660029163
P,V,1735660029454
R,Key.shift,1735660029537
R,V,1735660029590
P,i,1735660030185
R,i,1735660030306
P,c,1735660030903
R,c,1735660031084
P,e,1735660031133
P,Key.space,1735660031285
R,e,1735660031320
R,Key.space,1735660031418
P,p,1735660031997
R,p,1735660032123
P,r,1735660032712
R,r,1735660032735
P,e,1735660034033
R,e,1735660034184
P,s,1735660034383
R,s,1735660034562
P,i,1735660034685
R,i,1735660034809
P,d,1735660034963
R,d,1735660035106
P,e,1735660035233
R,e,1735660035420
P,n,1735660035562
R,n,1735660035713
P,t,1735660035978
R,t,1735660036087
P,Key.space,1735660036226
R,Key.space,1735660036340
P,Key.shift,1735660037056
P,V,1735660037213
R,Key.shift,1735660037324
R,V,1735660037372
P,a,1735660037564
R,a,1735660037752
P,n,1735660037939
R,n,1735660038061
P,c,1735660038514
R,c,1735660038650
P,e,1735660038826
R,e,1735660038997
P,Key.space,1735660039258
R,Key.space,1735660039370
P,Key.shift,1735660048544
P,U,1735660048848
R,U,1735660048981
R,Key.shift,1735660049016
P,k,1735660049457
R,k,1735660049591
P,r,1735660050090
R,r,1735660050247
P,a,1735660050480
R,a,1735660050672
P,i,1735660050983
R,i,1735660051104
P,n,1735660051389
R,n,1735660051484
P,i,1735660054153
R,i,1735660054276
P,a,1735660054672
R,a,1735660054856
P,n,1735660054918
R,n,1735660055160
P,Key.space,1735660057715
R,Key.space,1735660057845
P,p,1735660058840
R,p,1735660059017
P,r,1735660059496
R,r,1735660059628
P,e,1735660059713
R,e,1735660059908
P,s,1735660060142
R,s,1735660060332
P,i,1735660060738
R,i,1735660060856
P,d,1735660060984
R,d,1735660061182
P,e,1735660061295
R,e,1735660061526
P,n,1735660061558
R,n,1735660061738
P,t,1735660061931
R,t,1735660062064
P,Key.space,1735660062243
R,Key.space,1735660062380
P,Key.shift,1735660064751
P,Z,1735660064996
R,Key.shift,1735660065068
R,Z,1735660065177
P,e,1735660065487
R,e,1735660065677
P,l,1735660065973
R,l,1735660066089
P,e,1735660066248
R,e,1735660066421
P,n,1735660066634
R,n,1735660066793
P,s,1735660067404
R,s,1735660067560
P,k,1735660067863
R,k,1735660067996
P,y,1735660068418
R,y,1735660068477
P,y,1735660068574
R,y,1735660068674
P,Key.space,1735660068968
R,Key.space,1735660069089
P,c,1735660070391
R,c,1735660070556
P,o,1735660070652
R,o,1735660070796
P,n,1735660071093
R,n,1735660071227
P,d,1735660071700
R,d,1735660071857
P,u,1735660071981
R,u,1735660072119
P,c,1735660072598
R,c,1735660072783
P,t,1735660072869
R,t,1735660072972
P,Key.space,1735660073107
R,Key.space,1735660073247
P,t,1735660074219
R,t,1735660074372
P,h,1735660074560
R,h,1735660074702
P,e,1735660074972
P,Key.space,1735660075191
R,e,1735660075207
R,Key.space,1735660075306
P,m,1735660075706
R,m,1735660075838
P,e,1735660076156
R,e,1735660076236
P,e,1735660076369
R,e,1735660076541
P,t,1735660076813
R,t,1735660076966
P,i,1735660077388
R,i,1735660077482
P,n,1735660077801
R,n,1735660077903
P,g,1735660078088
R,g,1735660078183
P,Key.space,1735660078339
R,Key.space,1735660078465
P,a,1735660079485
R,a,1735660079662
P,t,1735660079994
R,t,1735660080106
P,Key.space,1735660080248
R,Key.space,1735660080377
P,Key.shift,1735660080869
P,W,1735660081060
R,Key.shift,1735660081199
R,W,1735660081263
P,a,1735660081470
R,a,1735660081619
P,s,1735660081734
R,s,1735660081902
P,h,1735660082434
R,h,1735660082559
P,i,1735660083018
R,i,1735660083097
P,n,1735660083293
R,n,1735660083418
P,g,1735660083562
R,g,1735660083667
P,t,1735660085295
R,t,1735660085417
P,o,1735660085912
R,o,1735660086027
P,n,1735660086250
R,n,1735660086361
P,Key.comma,1735660086824
R,Key.comma,1735660086861
P,Key.backspace,1735660087689
R,Key.backspace,1735660087837
P,.,1735660088150
R,.,1735660088283
P,Key.space,1735660089112
R,Key.space,1735660089214
P,Key.shift,1735660097139
P,A,1735660099458
R,Key.shift,1735660099548
R,A,1735660099607
P,l,1735660100078
R,l,1735660100167
P,l,1735660100295
R,l,1735660100398
P,Key.backspace,1735660101785
R,Key.backspace,1735660101906
P,Key.backspace,1735660102035
R,Key.backspace,1735660102136
P,Key.backspace,1735660102268
R,Key.backspace,1735660102370
P,Key.shift,1735660103639
P,V,1735660104458
R,Key.shift,1735660104508
R,V,1735660104559
P,a,1735660104813
R,a,1735660104965
P,n,1735660105235
R,n,1735660105371
P,v,1735660105871
R,v,1735660105995
P,Key.backspace,1735660106960
R,Key.backspace,1735660107058
P,c,1735660107606
R,c,1735660107731
P,e,1735660107907
R,e,1735660108103
P,Key.space,1735660108135
R,Key.space,1735660108217
P,a,1735660109025
R,a,1735660109184
P,n,1735660109448
R,n,1735660109575
P,d,1735660109847
R,d,1735660110039
P,Key.space,1735660110092
R,Key.space,1735660110200
P,Key.backspace,1735660113933
R,Key.backspace,1735660114017
P,Key.backspace,1735660114155
R,Key.backspace,1735660114242
P,Key.backspace,1735660114343
R,Key.backspace,1735660114434
P,Key.backspace,1735660114557
R,Key.backspace,1735660114647
P,Key.backspace,1735660114767
R,Key.backspace,1735660114871
P,Key.backspace,1735660114962
R,Key.backspace,1735660115071
P,Key.backspace,1735660115187
R,Key.backspace,1735660115277
P,Key.backspace,1735660115427
R,Key.backspace,1735660115492
P,Key.backspace,1735660115636
R,Key.backspace,1735660115717
P,Key.backspace,1735660115870
R,Key.backspace,1735660115943
P,Key.shift,1735660117640
P,W,1735660117907
R,Key.shift,1735660117995
R,W,1735660118083
P,e,1735660118280
R,e,1735660118436
P,Key.space,1735660118587
R,Key.space,1735660118716
P,a,1735660118931
R,a,1735660119118
P,r,1735660119464
R,r,1735660119575
P,e,1735660119735
R,e,1735660119952
P,Key.space,1735660119957
R,Key.space,1735660120090
P,d,1735660121136
R,d,1735660121312
P,i,1735660121560
R,i,1735660121668
P,s,1735660121826
R,s,1735660121981
P,c,1735660122266
R,c,1735660122387
P,u,1735660123124
R,u,1735660123275
P,s,1735660123841
R,s,1735660123922
P,s,1735660123997
R,s,1735660124089
P,e,1735660124209
R,e,1735660124307
P,d,1735660124421
R,d,1735660124527
P,Key.space,1735660125281
R,Key.space,1735660125306
P,t,1735660125493
R,t,1735660125623
P,h,1735660125785
R,h,1735660125935
P,e,1735660126190
R,e,1735660126408
P,Key.space,1735660126413
R,Key.space,1735660126529
P,s,1735660127384
R,s,1735660127543
P,o,1735660127877
R,o,1735660127996
P,m,1735660128219
R,m,1735660128397
P,e,1735660128681
R,e,1735660128877
P,Key.space,1735660128919
R,Key.space,1735660129027
P,t,1735660130378
R,t,1735660130512
P,o,1735660131056
R,o,1735660131151
P,p,1735660131310
R,p,1735660131497
P,i,1735660131704
R,i,1735660131859
P,c,1735660132340
R,c,1735660132547
P,Key.space,1735660132669
R,Key.space,1735660132779
P,a,1735660133871
R,a,1735660134065
P,n,1735660134237
R,n,1735660134371
P,d,1735660134564
R,d,1735660134766
P,Key.space,1735660134772
R,Key.space,1735660134886
P,m,1735660138581
R,m,1735660138700
P,a,1735660138871
R,a,1735660139074
P,k,1735660139452
R,k,1735660139574
P,e,1735660139909
R,e,1735660140107
P,Key.space,1735660140136
R,Key.space,1735660140250
P,d,1735660141399
R,d,1735660141529
P,e,1735660141672
R,e,1735660141868
P,c,1735660142126
R,c,1735660142295
P,i,1735660142556
R,i,1735660142699
P,s,1735660143497
R,s,1735660143656
P,i,1735660143942
R,i,1735660144059
P,o,1735660144213
R,o,1735660144308
P,n,1735660144556
R,n,1735660144638
P,s,1735660147735
R,s,1735660147900
P,Key.space,1735660147954
R,Key.space,1735660148059
P,s,1735660149431
R,s,1735660149553
P,e,1735660149715
R,e,1735660149961
P,r,1735660150127
R,r,1735660150338
P,i,1735660150728
R,i,1735660150837
P,u,1735660151298
R,u,1735660151387
P,Key.backspace,1735660152607
R,Key.backspace,1735660152745
P,o,1735660153059
R,o,1735660153212
P,u,1735660153465
R,u,1735660153559
P,s,1735660153795
R,s,1735660153982
P,l,1735660154119
R,l,1735660154246
P,y,1735660154611
R,y,1735660154744
P,Key.comma,1735660158497
R,Key.comma,1735660158587
P,Key.space,1735660158809
R,Key.space,1735660158901
P,Key.shift,1735660159528
P,T,1735660159681
R,Key.shift,1735660159782
R,T,1735660159814
P,r,1735660160006
R,r,1735660160137
P,u,1735660160797
R,u,1735660160917
P,m,1735660161144
R,m,1735660161293
P,o,1735660161673
R,o,1735660161703
P,Key.backspace,1735660163107
R,Key.backspace,1735660163223
P,p,1735660163564
R,p,1735660163713
P,Key.space,1735660163993
R,Key.space,1735660164122
P,w,1735660164377
R,w,1735660164496
P,a,1735660164672
R,a,1735660164843
P,t,1735660165282
R,t,1735660165396
P,c,1735660165689
R,c,1735660165867
P,h,1735660166049
R,h,1735660166158
P,e,1735660166477
R,e,1735660166622
P,d,1735660167168
R,d,1735660167363
P,Key.space,1735660167482
R,Key.space,1735660167621
P,a,1735660169018
R,a,1735660169117
P,n,1735660169334
R,n,1735660169433
P,d,1735660169685
R,d,1735660169858
P,Key.space,1735660169864
R,Key.space,1735660170001
P,s,1735660170337
R,s,1735660170449
P,o,1735660170769
R,o,1735660170902
P,l,1735660171213
R,l,1735660171309
P,v,1735660171841
R,v,1735660171993
P,e,1735660172222
R,e,1735660172417
P,d,1735660172592
R,d,1735660172747
