Press or Release,Key,Time
P,T,1735660005963
R,T,1735660006043
P,R,1735660006298
R,R,1735660006402
P,U,1735660006588
R,U,1735660006658
P,M,1735660007120
R,M,1735660007197
P,P,1735660007338
R,P,1735660007418
P,Key.space,1735660007611
R,Key.space,1735660007689
P,M,1735660007834
R,M,1735660007898
P,E,1735660007989
R,E,1735660008086
P,E,1735660008178
R,E,1735660008259
P,T,1735660008426
R,T,1735660008538
P,I,1735660008658
R,I,1735660008722
P,N,1735660008860
R,N,1735660008937
P,G,1735660009290
R,G,1735660009409
P,Key.space,1735660009489
R,Key.space,1735660009578
P,I,1735660009837
R,I,1735660009913
P,S,1735660010019
R,S,1735660010156
P,Key.space,1735660010206
R,Key.space,1735660010266
P,A,1735660010371
R,A,1735660010545
P,N,1735660010610
R,N,1735660010666
P,Key.space,1735660010828
R,Key.space,1735660010897
P,J,1735660019226
R,J,1735660019306
P,O,1735660019558
R,O,1735660019659
P,I,1735660019978
R,I,1735660020065
P,N,1735660020650
R,N,1735660020721
P,E,1735660020911
R,E,1735660020985
P,D,1735660021134
R,D,1735660021257
P,Key.space,1735660021369
R,Key.space,1735660021450
P,O,1735660021601
R,O,1735660021682
P,N,1735660021810
R,N,1735660021943
P,Key.space,1735660022002
R,Key.space,1735660022076
P,A,1735660022193
R,A,1735660022297
P,Key.space,1735660022361
R,Key.space,1735660022422
P,V,1735660027594
R,V,1735660027666
P,A,1735660027795
R,A,1735660027930
P,N,1735660028053
R,N,1735660028138
P,S,1735660028266
R,S,1735660028378
P,E,1735660028514
R,E,1735660028625
P,Key.space,1735660028738
R,Key.space,1735660028818
P,A,1735660028929
R,A,1735660029058
P,N,1735660029154
R,N,1735660029217
P,D,1735660029353
R,D,1735660029474
P,Key.space,1735660029602
R,Key.space,1735660029657
P,Z,1735660030338
R,Z,1735660030458
P,E,1735660030617
R,E,1735660030713
P,E,1735660030778
R,E,1735660030857
P,L,1735660030993
R,L,1735660031065
P,A,1735660031146
R,A,1735660031305
P,N,1735660031386
R,N,1735660031457
P,X,1735660031667
R,X,1735660031787
P,Y,1735660031994
R,Y,1735660032057
P,Key.space,1735660032281
R,Key.space,1735660032338
P,T,1735660033465
R,T,1735660033545
P,O,1735660033737
R,O,1735660033809
P,G,1735660034057
R,G,1735660034113
P,E,1735660034283
R,E,1735660034402
P,T,1735660034537
R,T,1735660034586
P,E,1735660034785
P,H,1735660034819
R,H,1735660034866
R,E,1735660034897
P,R,1735660035084
R,R,1735660035202
P,Key.space,1735660035427
R,Key.space,1735660035492
P,Key.space,1735660035833
R,Key.space,1735660035937
P,T,1735660036369
R,T,1735660036417
P,H,1735660036617
R,H,1735660036697
P,I,1735660036882
R,I,1735660036937
P,U,1735660037265
R,U,1735660037331
P,S,1735660037490
R,S,1735660037609
P,Key.space,1735660037697
R,Key.space,1735660037761
P,D,1735660037961
R,D,1735660038073
P,I,1735660038209
R,I,1735660038289
P,S,1735660038609
R,S,1735660038723
P,C,1735660038905
R,C,1735660038986
P,U,1735660039169
R,U,1735660039234
P,S,1735660039361
R,S,1735660039433
P,S,1735660039523
R,S,1735660039625
P,Key.space,1735660039729
R,Key.space,1735660039785
P,T,1735660039938
R,T,1735660040057
P,H,1735660040146
R,H,1735660040229
P,E,1735660040313
R,E,1735660040442
P,Key.space,1735660040545
R,Key.space,1735660040618
P,M,1735660040810
R,M,1735660040882
P,E,1735660040994
R,E,1735660041091
P,E,1735660041161
R,E,1735660041251
P,T,1735660041386
R,T,1735660041490
P,I,1735660041696
R,I,1735660041761
P,N,1735660041906
R,N,1735660041977
P,G,1735660042106
R,G,1735660042225
P,.,1735660042512
R,.,1735660042577
P,Key.space,1735660042697
R,Key.space,1735660042761
P,Key.space,1735660042851
R,Key.space,1735660042928
P,T,1735660043033
R,T,1735660043138
P,H,1735660043305
R,H,1735660043353
P,E,1735660043467
R,E,1735660043570
P,Key.space,1735660043664
R,Key.space,1735660043737
P,T,1735660044081
R,T,1735660044194
P,R,1735660044297
R,R,1735660044457
P,U,1735660044593
R,U,1735660044656
P,M,1735660044849
R,M,1735660044922
P,P,1735660045082
R,P,1735660045137
P,Key.space,1735660045329
R,Key.space,1735660045404
P,S,1735660045536
R,S,1735660045669
P,I,1735660045745
R,I,1735660045811
P,Key.backspace,1735660047282
R,Key.backspace,1735660047329
P,Key.backspace,1735660047419
R,Key.backspace,1735660047489
P,I,1735660048490
R,I,1735660048554
P,S,1735660048665
R,S,1735660048785
P,Key.space,1735660048905
R,Key.space,1735660048969
P,A,1735660049147
R,A,1735660049265
P,N,1735660049449
R,N,1735660049521
P,Key.space,1735660049658
R,Key.space,1735660049737
P,P,1735660049889
R,P,1735660049960
P,R,1735660050184
R,R,1735660050297
P,E,1735660050393
R,E,1735660050577
P,S,1735660051074
R,S,1735660051177
P,I,1735660051393
R,I,1735660051506
P,D,1735660052106
R,D,1735660052177
P,E,1735660052401
R,E,1735660052513
P,N,1735660052644
R,N,1735660052749
P,T,1735660052852
R,T,1735660052969
P,Key.space,1735660053073
R,Key.space,1735660053161
P,T,1735660053657
R,T,1735660053760
P,O,1735660053929
R,O,1735660053992
P,Key.space,1735660054209
R,Key.space,1735660054273
P,G,1735660054578
R,G,1735660054674
P,O,1735660054835
R,O,1735660054874
P,O,1735660054938
R,O,1735660055017
P,D,1735660055105
R,D,1735660055256
P,Key.space,1735660055344
R,Key.space,1735660055392
P,S,1735660055529
R,S,1735660055673
P,U,1735660055825
R,U,1735660055907
P,Key.backspace,1735660056281
R,Key.backspace,1735660056345
P,O,1735660056593
R,O,1735660056673
P,U,1735660056824
R,U,1735660056898
P,L,1735660057081
R,L,1735660057153
P,Key.space,1735660057323
R,Key.space,1735660057392
P,T,1735660057513
R,T,1735660057609
P,O,1735660057753
R,O,1735660057817
P,Key.space,1735660058793
R,Key.space,1735660058853
P,M,1735660059085
R,M,1735660059140
P,A,1735660059241
R,A,1735660059385
P,N,1735660059456
R,N,1735660059515
P,A,1735660059906
R,A,1735660060065
P,G,1735660060291
R,G,1735660060362
P,E,1735660060500
R,E,1735660060609
P,Key.space,1735660060680
R,Key.space,1735660060754
P,T,1735660060876
R,T,1735660060973
P,H,1735660061106
R,H,1735660061185
P,E,1735660061280
R,E,1735660061384
P,Key.space,1735660061513
R,Key.space,1735660061570
P,G,1735660061833
R,G,1735660061898
P,O,1735660062145
R,O,1735660062217
P,B,1735660062457
R,B,1735660062506
P,Key.backspace,1735660062963
R,Key.backspace,1735660063025
P,V,1735660063289
R,V,1735660063433
P,E,1735660063705
P,R,1735660063899
R,E,1735660063937
R,R,1735660064025
P,N,1735660064177
R,N,1735660064245
P,E,1735660064376
R,E,1735660064515
P,M,1735660064608
R,M,1735660064688
P,R,1735660064768
R,R,1735660064888
P,Key.backspace,1735660065466
R,Key.backspace,1735660065530
