Press or Release,Key,Time
P,t,1735660002656
R,t,1735660002727
P,h,1735660002878
R,h,1735660002981
P,e,1735660003142
R,e,1735660003240
P,Key.space,1735660003319
R,Key.space,1735660003414
P,m,1735660004273
R,m,1735660004377
P,e,1735660004676
R,e,1735660004751
P,e,1735660004843
R,e,1735660004916
P,t,1735660005156
R,t,1735660005242
P,i,1735660005443
R,i,1735660005537
P,n,1735660006066
R,n,1735660006171
P,g,1735660006388
R,g,1735660006413
P,Key.space,1735660006542
R,Key.space,1735660006643
P,w,1735660007707
R,w,1735660007786
P,a,1735660007909
R,a,1735660007986
P,s,1735660008147
R,s,1735660008272
P,Key.space,1735660008322
R,Key.space,1735660008409
P,t,1735660011454
R,t,1735660011587
P,h,1735660011647
R,h,1735660011732
P,e,1735660011864
R,e,1735660011972
P,Key.space,1735660012047
R,Key.space,1735660012116
P,i,1735660012977
R,i,1735660013026
P,m,1735660013192
R,m,1735660013271
P,p,1735660013482
R,p,1735660013587
P,o,1735660014048
R,o,1735660014127
P,r,1735660014363
R,r,1735660014438
P,t,1735660014684
R,t,1735660014752
P,a,1735660015104
R,a,1735660015221
P,n,1735660015362
R,n,1735660015446
P,c,1735660015728
R,c,1735660015806
P,e,1735660015922
R,e,1735660016055
P,Key.space,1735660017761
R,Key.space,1735660017874
P,o,1735660019213
R,o,1735660019293
P,d,1735660019593
R,d,1735660019683
P,Key.space,1735660019970
R,Key.space,1735660020043
P,Key.backspace,1735660020725
R,Key.backspace,1735660020863
P,Key.backspace,1735660020942
R,Key.backspace,1735660021027
P,f,1735660028821
R,f,1735660028881
P,Key.space,1735660029102
R,Key.space,1735660029184
P,d,1735660029407
R,d,1735660029461
P,i,1735660030033
R,i,1735660030088
P,p,1735660030553
R,p,1735660030626
P,l,1735660032144
R,l,1735660032230
P,o,1735660032365
R,o,1735660032462
P,m,1735660032748
R,m,1735660032843
P,s,1735660033253
R,s,1735660033319
P,Key.backspace,1735660034786
R,Key.backspace,1735660034862
P,a,1735660036084
R,a,1735660036149
P,t,1735660036664
R,t,1735660036734
P,c,1735660037080
R,c,1735660037142
P,Key.backspace,1735660041994
R,Key.backspace,1735660042074
P,i,1735660042560
R,i,1735660042635
P,c,1735660042975
R,c,1735660043035
P,Key.space,1735660116408
R,Key.space,1735660116543
P,e,1735660117546
R,e,1735660117651
P,n,1735660117869
R,n,1735660117962
P,g,1735660118298
R,g,1735660118378
P,a,1735660118536
R,a,1735660118663
P,e,1735660119366
R,e,1735660119471
P,m,1735660120349
R,m,1735660120421
P,e,1735660120672
R,e,1735660120758
P,n,1735660120821
R,n,1735660120897
P,t,1735660121137
R,t,1735660121208
P,Key.space,1735660121466
R,Key.space,1735660121547
P,Key.space,1735660125871
R,Key.space,1735660126003
P,b,1735660127333
R,b,1735660127406
P,e,1735660127711
R,e,1735660127791
P,t,1735660128018
R,t,1735660128106
P,w,1735660128552
R,w,1735660128669
P,e,1735660128917
R,e,1735660129010
P,e,1735660129081
R,e,1735660129162
P,n,1735660129241
R,n,1735660129326
P,Key.space,1735660129533
R,Key.space,1735660129669
P,n,1735660131278
R,n,1735660131362
P,a,1735660131658
R,a,1735660131752
P,t,1735660131928
R,t,1735660131993
P,i,1735660132466
R,i,1735660132546
P,o,1735660132733
R,o,1735660132778
P,n,1735660132966
R,n,1735660133048
P,s,1735660133263
R,s,1735660133372
P,Key.space,1735660133521
R,Key.space,1735660133721
P,a,1735660135626
R,a,1735660135752
P,n,1735660135937
R,n,1735660136026
P,d,1735660136271
R,d,1735660136362
P,Key.space,1735660136521
R,Key.space,1735660136609
P,h,1735660138833
R,h,1735660138881
P,o,1735660139276
R,o,1735660139373
P,w,1735660140476
R,w,1735660140577
P,Key.space,1735660140682
R,Key.space,1735660140711
P,d,1735660151203
R,d,1735660151331
P,i,1735660151475
R,i,1735660151586
P,s,1735660152083
R,s,1735660152206
P,c,1735660152432
R,c,1735660152556
P,u,1735660152774
R,u,1735660152862
P,s,1735660153947
R,s,1735660154035
P,s,1735660154137
R,s,1735660154231
P,i,1735660154522
R,i,1735660154593
P,o,1735660154712
R,o,1735660154807
P,n,1735660155101
R,n,1735660155192
P,s,1735660155346
R,s,1735660155466
P,Key.space,1735660155653
R,Key.space,1735660155747
P,t,1735660156844
R,t,1735660156931
P,h,1735660157088
R,h,1735660157183
P,e,1735660157322
R,e,1735660157441
P,Key.space,1735660157624
R,Key.space,1735660157740
P,h,1735660159001
R,h,1735660159068
P,i,1735660159642
R,i,1735660159720
P,g,1735660160195
R,g,1735660160261
P,h,1735660160418
R,h,1735660160484
P,e,1735660161047
R,e,1735660161113
P,s,1735660161282
R,s,1735660161419
P,t,1735660161884
R,t,1735660161947
P,Key.space,1735660164131
R,Key.space,1735660164288
P,l,1735660165371
R,l,1735660165482
P,e,1735660165660
R,e,1735660165766
P,v,1735660166061
R,v,1735660166131
P,e,1735660166321
R,e,1735660166410
P,;,1735660166597
P,l,1735660166598
R,;,1735660166676
R,l,1735660166677
P,Key.backspace,1735660168036
R,Key.backspace,1735660168097
P,Key.backspace,1735660168208
R,Key.backspace,1735660168278
P,l,1735660169359
R,l,1735660169441
P,s,1735660169537
R,s,1735660169669
P,Key.space,1735660169821
R,Key.space,1735660169902
P,c,1735660173800
R,c,1735660173867
P,a,1735660174057
R,a,1735660174191
P,n,1735660174356
R,n,1735660174433
