Press or Release,Key,Time
P,t,1735660003052
R,t,1735660003092
P,h,1735660003231
R,h,1735660003297
P,i,1735660003456
R,i,1735660003511
P,s,1735660003592
R,s,1735660003712
P,Key.space,1735660003767
R,Key.space,1735660003817
P,o,1735660004037
R,o,1735660004072
P,s,1735660004158
R,s,1735660004237
P,c,1735660004451
R,c,1735660004502
P,a,1735660004537
R,a,1735660004637
P,r,1735660004697
R,r,1735660004753
P,Key.space,1735660005533
R,Key.space,1735660005556
P,f,1735660005852
R,f,1735660005961
P,i,1735660006007
R,i,1735660006046
P,l,1735660006231
R,l,1735660006271
P,m,1735660006438
R,m,1735660006477
P,Key.space,1735660006597
R,Key.space,1735660006659
P,a,1735660006817
R,a,1735660006927
P,w,1735660007052
R,w,1735660007132
P,a,1735660007241
R,a,1735660007342
P,r,1735660007472
R,r,1735660007512
P,d,1735660007597
R,d,1735660007697
P,Key.space,1735660007757
R,Key.space,1735660007817
P,f,1735660007997
R,f,1735660008117
P,u,1735660008172
R,u,1735660008227
P,n,1735660008533
R,n,1735660008577
P,c,1735660008732
R,c,1735660008847
P,t,1735660008886
R,t,1735660008937
P,i,1735660009132
R,i,1735660009177
P,o,1735660009313
R,o,1735660009373
P,n,1735660009537
R,n,1735660009593
P,Key.space,1735660009732
R,Key.space,1735660009787
P,Key.space,1735660011292
R,Key.space,1735660011322
P,w,1735660011539
R,w,1735660011632
P,i,1735660011697
R,i,1735660011727
P,l,1735660011897
R,l,1735660011946
P,l,1735660012037
R,l,1735660012093
P,Key.space,1735660012257
R,Key.space,1735660012296
P,s,1735660012512
R,s,1735660012622
P,m,1735660012642
R,m,1735660012701
P,i,1735660012857
R,i,1735660012916
P,t,1735660013117
P,y,1735660013118
R,t,1735660013159
R,y,1735660013160
P,h,1735660013307
R,h,1735660013357
P,Key.backspace,1735660014218
R,Key.backspace,1735660014261
P,Key.backspace,1735660014812
R,Key.backspace,1735660014912
P,h,1735660015271
R,h,1735660015317
P,Key.space,1735660015477
R,Key.space,1735660015522
P,i,1735660015692
R,i,1735660015711
P,s,1735660015817
R,s,1735660015916
P,Key.space,1735660015952
R,Key.space,1735660016011
P,v,1735660016162
R,v,1735660016212
P,e,1735660016331
R,e,1735660016431
P,r,1735660016552
R,r,1735660016652
P,y,1735660016677
R,y,1735660016731
P,Key.space,1735660016917
R,Key.space,1735660016961
P,a,1735660017137
R,a,1735660017252
P,n,1735660017331
R,n,1735660017392
P,g,1735660017612
R,g,1735660017652
P,r,1735660017856
R,r,1735660017977
P,y,1735660018051
R,y,1735660018081
P,Key.space,1735660018292
R,Key.space,1735660018346
P,t,1735660018532
R,t,1735660018577
P,o,1735660018872
R,o,1735660018902
P,Key.space,1735660019172
R,Key.space,1735660019212
P,t,1735660019551
R,t,1735660019587
P,a,1735660019707
R,a,1735660019797
P,l,1735660019887
R,l,1735660019938
P,k,1735660020077
R,k,1735660020116
P,Key.space,1735660020277
R,Key.space,1735660020336
P,a,1735660020472
R,a,1735660020577
P,b,1735660020707
R,b,1735660020757
P,o,1735660020977
R,o,1735660021016
P,u,1735660021177
R,u,1735660021232
P,t,1735660021397
R,t,1735660021442
P,Key.space,1735660021631
R,Key.space,1735660021696
P,t,1735660021837
R,t,1735660021897
P,h,1735660022042
R,h,1735660022111
P,e,1735660022577
R,e,1735660022696
P,Key.space,1735660022787
R,Key.space,1735660022831
P,m,1735660023187
R,m,1735660023252
P,o,1735660023427
R,o,1735660023462
P,v,1735660023717
R,v,1735660023812
P,i,1735660023891
R,i,1735660023938
P,e,1735660024017
R,e,1735660024152
P,Key.space,1735660024352
R,Key.space,1735660024411
P,Key.space,1735660027277
R,Key.space,1735660027337
P,r,1735660027837
R,r,1735660027957
P,o,1735660027957
R,o,1735660027992
P,l,1735660028127
R,l,1735660028187
P,e,1735660028252
R,e,1735660028352
P,Key.space,1735660028412
R,Key.space,1735660028456
P,n,1735660028617
R,n,1735660028672
P,a,1735660028687
R,a,1735660028806
P,m,1735660028842
R,m,1735660028897
P,e,1735660028977
R,e,1735660029092
P,Key.space,1735660029092
R,Key.space,1735660029152
P,Key.caps_lock,1735660029857
R,Key.caps_lock,1735660029957
P,Key.caps_lock,1735660030783
R,Key.caps_lock,1735660030882
P,j,1735660031677
R,j,1735660031707
P,a,1735660031807
R,a,1735660031911
P,i,1735660032202
R,i,1735660032211
P,l,1735660032407
R,l,1735660032447
P,e,1735660032791
R,e,1735660032857
P,r,1735660032992
R,r,1735660033086
P,.,1735660033831
R,.,1735660033877
P,Key.space,1735660034076
R,Key.space,1735660034102
P,t,1735660034722
R,t,1735660034766
P,h,1735660034912
R,h,1735660034957
P,e,1735660035003
R,e,1735660035111
P,n,1735660035142
R,n,1735660035176
P,Key.space,1735660035317
R,Key.space,1735660035373
P,w,1735660035572
R,w,1735660035682
P,i,1735660035772
R,i,1735660035817
P,l,1735660035977
R,l,1735660035997
P,l,1735660036092
R,l,1735660036133
P,Key.space,1735660036312
R,Key.space,1735660036352
P,s,1735660036497
R,s,1735660036607
P,m,1735660036632
R,m,1735660036687
P,i,1735660036847
R,i,1735660036892
P,t,1735660037051
R,t,1735660037112
P,h,1735660037277
R,h,1735660037312
P,Key.space,1735660037447
R,Key.space,1735660037512
P,i,1735660037627
R,i,1735660037692
P,s,1735660037771
R,s,1735660037891
P,Key.space,1735660037913
R,Key.space,1735660037937
P,v,1735660038102
R,v,1735660038141
P,e,1735660038257
R,e,1735660038352
P,r,1735660038477
R,r,1735660038562
P,y,1735660038592
R,y,1735660038632
P,Key.space,1735660038817
R,Key.space,1735660038871
P,h,1735660039012
R,h,1735660039072
P,u,1735660039177
R,u,1735660039217
P,n,1735660039378
R,n,1735660039417
P,g,1735660039857
R,g,1735660039917
P,r,1735660040067
R,r,1735660040182
P,y,1735660040237
R,y,1735660040287
P,Key.space,1735660040461
R,Key.space,1735660040537
P,Key.backspace,1735660041057
R,Key.backspace,1735660041117
P,Key.backspace,1735660041236
R,Key.backspace,1735660041292
P,Key.backspace,1735660041372
R,Key.backspace,1735660041417
P,Key.backspace,1735660041502
R,Key.backspace,1735660041571
P,Key.backspace,1735660041652
R,Key.backspace,1735660041688
P,Key.backspace,1735660041772
R,Key.backspace,1735660041812
P,Key.backspace,1735660041917
R,Key.backspace,1735660041956
P,a,1735660042817
R,a,1735660042937
P,n,1735660043241
R,n,1735660043282
P,g,1735660043473
R,g,1735660043517
P,r,1735660043742
R,r,1735660043856
P,y,1735660043857
R,y,1735660043917
P,Key.space,1735660044097
R,Key.space,1735660044142
P,a,1735660044187
R,a,1735660044312
P,n,1735660044382
R,n,1735660044417
P,d,1735660044468
R,d,1735660044592
P,Key.space,1735660044672
R,Key.space,1735660044711
P,t,1735660044977
R,t,1735660045032
P,a,1735660045172
R,a,1735660045262
P,l,1735660045352
R,l,1735660045416
P,k,1735660045537
R,k,1735660045592
P,Key.space,1735660045752
R,Key.space,1735660045807
P,v,1735660045997
R,v,1735660046037
P,e,1735660046197
R,e,1735660046271
P,r,1735660046401
R,r,1735660046497
P,y,1735660046517
R,y,1735660046567
P,Key.space,1735660046737
R,Key.space,1735660046796
P,b,1735660046912
P,a,1735660046957
R,b,1735660046964
R,a,1735660047077
P,d,1735660047197
R,d,1735660047347
P,Key.space,1735660047432
R,Key.space,1735660047473
P,w,1735660047831
R,w,1735660047942
P,o,1735660048597
R,o,1735660048647
P,r,1735660048927
R,r,1735660048973
P,d,1735660049878
R,d,1735660049880
P,s,1735660049880
R,s,1735660049932
P,Key.space,1735660049997
R,Key.space,1735660050051
P,f,1735660050577
R,f,1735660050717
P,u,1735660050767
R,u,1735660050817
P,c,1735660051502
R,c,1735660051597
P,k,1735660051822
R,k,1735660051857
P,i,1735660052557
R,i,1735660052612
P,n,1735660052771
R,n,1735660052836
P,g,1735660052942
R,g,1735660053017
P,Key.space,1735660053158
R,Key.space,1735660053217
P,m,1735660053382
R,m,1735660053422
P,a,1735660053532
R,a,1735660053616
P,m,1735660053632
R,m,1735660053676
