Press or Release,Key,Time
P,t,1735660003089
R,t,1735660003134
P,r,1735660003334
R,r,1735660003468
P,u,1735660003535
R,u,1735660003589
P,m,1735660003749
R,m,1735660003794
P,p,1735660003954
R,p,1735660004009
P,Key.space,1735660004169
R,Key.space,1735660004233
P,a,1735660004288
R,a,1735660004429
P,n,1735660004469
R,n,1735660004529
P,d,1735660004609
R,d,1735660004733
P,Key.space,1735660004774
R,Key.space,1735660004789
P,u,1735660005373
R,u,1735660005414
P,k,1735660005674
R,k,1735660005734
P,r,1735660006009
R,r,1735660006053
P,a,1735660006154
R,a,1735660006289
P,i,1735660006289
R,i,1735660006328
P,n,1735660006469
R,n,1735660006529
P,e,1735660006609
P,Key.space,1735660006694
R,e,1735660006756
R,Key.space,1735660006756
P,p,1735660006953
R,p,1735660006988
P,r,1735660007153
R,r,1735660007254
P,e,1735660007393
R,e,1735660007509
P,s,1735660007694
R,s,1735660007789
P,i,1735660007919
R,i,1735660007974
P,d,1735660008349
R,d,1735660008429
P,e,1735660008534
R,e,1735660008648
P,n,1735660008668
R,n,1735660008724
P,t,1735660008854
R,t,1735660008910
P,Key.space,1735660009088
R,Key.space,1735660009134
P,c,1735660011169
R,c,1735660011308
P,o,1735660011493
R,o,1735660011524
P,n,1735660011738
R,n,1735660011793
P,v,1735660011988
R,v,1735660012039
P,e,1735660012194
R,e,1735660012293
P,r,1735660012374
R,r,1735660012469
P,s,1735660012653
R,s,1735660012743
P,a,1735660012864
R,a,1735660012974
P,t,1735660013069
R,t,1735660013130
P,i,1735660013314
R,i,1735660013354
P,o,1735660013494
R,o,1735660013534
P,n,1735660013709
R,n,1735660013754
P,Key.space,1735660013889
R,Key.space,1735660013923
P,a,1735660014054
P,b,1735660014174
R,a,1735660014191
R,b,1735660014224
P,o,1735660014469
R,o,1735660014489
P,u,1735660014689
R,u,1735660014729
P,t,1735660014894
R,t,1735660014939
P,Key.space,1735660015105
R,Key.space,1735660015169
P,t,1735660015314
R,t,1735660015369
P,h,1735660015514
R,h,1735660015558
P,a,1735660015648
R,a,1735660015779
P,t,1735660015779
R,t,1735660015819
P,Key.space,1735660016518
R,Key.space,1735660016559
P,u,1735660017129
R,u,1735660017154
P,k,1735660017328
R,k,1735660017389
P,r,1735660017674
R,r,1735660017734
P,a,1735660017815
R,a,1735660017953
P,i,1735660017954
R,i,1735660017985
P,n,1735660018140
R,n,1735660018203
P,e,1735660018268
R,e,1735660018373
P,Key.space,1735660018379
R,Key.space,1735660018424
P,a,1735660018539
P,n,1735660018639
R,a,1735660018661
R,n,1735660018708
P,d,1735660018804
R,d,1735660018929
P,Key.space,1735660018934
R,Key.space,1735660018963
P,r,1735660019315
R,r,1735660019423
P,u,1735660019468
R,u,1735660019529
P,s,1735660019673
R,s,1735660019748
P,s,1735660019834
R,s,1735660019893
P,i,1735660019930
R,i,1735660019974
P,a,1735660020069
R,a,1735660020174
P,Key.space,1735660020234
R,Key.space,1735660020289
P,w,1735660020369
R,w,1735660020463
P,a,1735660020578
R,a,1735660020699
P,r,1735660020749
R,r,1735660020793
P,.,1735660021494
R,.,1735660021539
P,Key.space,1735660021734
R,Key.space,1735660021754
P,t,1735660022214
R,t,1735660022255
P,h,1735660022394
R,h,1735660022429
P,i,1735660022574
R,i,1735660022629
P,s,1735660022694
R,s,1735660022814
P,Key.space,1735660022863
R,Key.space,1735660022928
P,w,1735660023130
R,w,1735660023213
P,a,1735660023339
R,a,1735660023448
P,r,1735660023534
R,r,1735660023574
P,Key.space,1735660023749
R,Key.space,1735660023804
P,i,1735660023939
R,i,1735660023994
P,s,1735660024094
R,s,1735660024208
P,Key.space,1735660024234
R,Key.space,1735660024289
P,l,1735660024449
R,l,1735660024513
P,i,1735660024629
R,i,1735660024674
P,k,1735660024810
R,k,1735660024864
P,e,1735660024934
R,e,1735660025054
P,Key.space,1735660025124
R,Key.space,1735660025153
P,w,1735660025634
R,w,1735660025789
P,o,1735660025793
R,o,1735660025829
P,r,1735660026009
R,r,1735660026129
P,l,1735660026179
R,l,1735660026239
P,d,1735660026393
R,d,1735660026518
P,Key.space,1735660026630
R,Key.space,1735660026694
P,w,1735660026999
R,w,1735660027135
P,a,1735660027329
R,a,1735660027453
P,r,1735660027453
R,r,1735660027508
P,Key.space,1735660027695
R,Key.space,1735660027743
P,i,1735660029190
R,i,1735660029254
P,i,1735660029338
R,i,1735660029448
P,Key.backspace,1735660030459
R,Key.backspace,1735660030528
P,Key.backspace,1735660030613
R,Key.backspace,1735660030669
P,3,1735660031219
R,3,1735660031334
P,Key.space,1735660031749
R,Key.space,1735660031790
P,.,1735660032929
R,.,1735660032968
P,Key.space,1735660033130
R,Key.space,1735660033155
P,s,1735660033334
R,s,1735660033449
P,o,1735660033454
