Press or Release,Key,Time
P,t,1735660003658
R,t,1735660003711
P,h,1735660003856
R,h,1735660003896
P,i,1735660004032
R,i,1735660004081
P,s,1735660004131
R,s,1735660004236
P,Key.space,1735660004271
R,Key.space,1735660004332
P,m,1735660004456
R,m,1735660004497
P,o,1735660004671
R,o,1735660004757
P,v,1735660004831
R,v,1735660004931
P,i,1735660004976
R,i,1735660005041
P,e,1735660005136
R,e,1735660005231
P,Key.space,1735660005257
R,Key.space,1735660005332
P,c,1735660005547
R,c,1735660005591
P,a,1735660005656
R,a,1735660005786
P,r,1735660005797
R,r,1735660005851
P,t,1735660005981
R,t,1735660006041
P,e,1735660006071
R,e,1735660006171
P,r,1735660006192
R,r,1735660006257
P,Key.space,1735660006402
R,Key.space,1735660006456
P,c,1735660006593
P,l,1735660006731
R,c,1735660006753
R,l,1735660006816
P,i,1735660006917
R,i,1735660006972
P,p,1735660007111
R,p,1735660007172
P,Key.space,1735660007972
R,Key.space,1735660008011
P,i,1735660008331
R,i,1735660008362
P,s,1735660008512
R,s,1735660008957
P,Key.space,1735660008957
R,Key.space,1735660008958
P,s,1735660008958
P,h,1735660008959
R,h,1735660008960
R,s,1735660009032
P,o,1735660010176
R,o,1735660010218
P,w,1735660010351
R,w,1735660010442
P,Key.space,1735660010472
R,Key.space,1735660010512
P,t,1735660010697
R,t,1735660010736
P,h,1735660010891
R,h,1735660010956
P,a,1735660011016
R,a,1735660011122
P,t,1735660011122
R,t,1735660011156
P,Key.space,1735660011331
R,Key.space,1735660011372
P,m,1735660011771
R,m,1735660011812
P,o,1735660011972
R,o,1735660012011
P,v,1735660012597
R,v,1735660012676
P,i,1735660012766
R,i,1735660012831
P,e,1735660012921
R,e,1735660013021
P,Key.space,1735660013097
R,Key.space,1735660013157
P,i,1735660013831
R,i,1735660013896
P,s,1735660013976
R,s,1735660014051
P,Key.space,1735660014107
R,Key.space,1735660014176
P,c,1735660014857
R,c,1735660014891
P,o,1735660015372
R,o,1735660015421
P,a,1735660015612
R,a,1735660015661
P,c,1735660016706
R,c,1735660016786
P,h,1735660016846
R,h,1735660016886
P,Key.space,1735660017027
R,Key.space,1735660017117
P,c,1735660017332
R,c,1735660017376
P,a,1735660017737
R,a,1735660017851
P,r,1735660017891
R,r,1735660017951
P,t,1735660018132
R,t,1735660018176
P,e,1735660018252
R,e,1735660018331
P,r,1735660018356
R,r,1735660018416
P,Key.space,1735660018611
R,Key.space,1735660018637
P,m,1735660018807
R,m,1735660018857
P,o,1735660019091
R,o,1735660019124
P,v,1735660019246
R,v,1735660019351
P,i,1735660019412
R,i,1735660019461
P,e,1735660019552
R,e,1735660019652
P,Key.space,1735660019717
R,Key.space,1735660019757
P,c,1735660019956
R,c,1735660020076
P,l,1735660020076
R,l,1735660020141
P,i,1735660020281
R,i,1735660020331
P,p,1735660020471
R,p,1735660020511
P,.,1735660020736
R,.,1735660020782
P,Key.space,1735660020956
R,Key.space,1735660020991
P,i,1735660021216
R,i,1735660021271
P,t,1735660021471
R,t,1735660021507
P,Key.space,1735660021661
R,Key.space,1735660021717
P,i,1735660021857
R,i,1735660021911
P,s,1735660022011
R,s,1735660022111
P,Key.space,1735660022136
R,Key.space,1735660022192
P,v,1735660022301
R,v,1735660022351
P,e,1735660022411
R,e,1735660022491
P,r,1735660022616
R,r,1735660022693
P,y,1735660022756
R,y,1735660022812
P,Key.space,1735660022942
R,Key.space,1735660023011
P,g,1735660023131
R,g,1735660023176
P,o,1735660023371
R,o,1735660023431
P,o,1735660023516
R,o,1735660023597
P,d,1735660023671
R,d,1735660023757
P,Key.space,1735660023812
R,Key.space,1735660023872
P,a,1735660023972
R,a,1735660024057
P,n,1735660024096
R,n,1735660024162
P,d,1735660024222
R,d,1735660024301
P,Key.space,1735660024356
R,Key.space,1735660024411
P,s,1735660024522
R,s,1735660024601
P,e,1735660024752
R,e,1735660024796
P,e,1735660024931
R,e,1735660024991
P,Key.space,1735660025091
R,Key.space,1735660025152
P,a,1735660025231
R,a,1735660025331
P,f,1735660025511
R,f,1735660025556
P,t,1735660025711
R,t,1735660025771
P,e,1735660025826
R,e,1735660025912
P,r,1735660025931
R,r,1735660025991
P,b,1735660026151
P,Key.space,1735660026159
R,b,1735660026191
R,Key.space,1735660026192
P,t,1735660026342
R,t,1735660026374
P,h,1735660026527
R,h,1735660026593
P,a,1735660026676
P,t,1735660026732
R,a,1735660026752
R,t,1735660026791
P,Key.space,1735660026976
R,Key.space,1735660027032
P,Key.backspace,1735660027351
R,Key.backspace,1735660027397
P,Key.backspace,1735660027491
R,Key.backspace,1735660027546
P,Key.backspace,1735660027632
R,Key.backspace,1735660027692
P,Key.backspace,1735660027771
R,Key.backspace,1735660027817
P,Key.backspace,1735660027872
R,Key.backspace,1735660027951
P,Key.backspace,1735660028007
R,Key.backspace,1735660028076
P,Key.backspace,1735660028131
R,Key.backspace,1735660028217
P,Key.backspace,1735660028271
R,Key.backspace,1735660028317
P,r,1735660029372
R,r,1735660029411
P,Key.space,1735660029597
R,Key.space,1735660029657
P,t,1735660029812
R,t,1735660029836
P,h,1735660029976
R,h,1735660030051
P,a,1735660030097
R,a,1735660030196
P,t,1735660030196
R,t,1735660030251
P,Key.space,1735660030397
R,Key.space,1735660030451
P,l,1735660030717
R,l,1735660030777
P,o,1735660030902
R,o,1735660030951
P,n,1735660031152
R,n,1735660031192
P,g,1735660031331
R,g,1735660031374
P,Key.space,1735660031497
R,Key.space,1735660031556
P,t,1735660031716
R,t,1735660031753
P,i,1735660031931
R,i,1735660031996
P,m,1735660032141
R,m,1735660032191
P,e,1735660032236
R,e,1735660032371
P,.,1735660032696
R,.,1735660032746
P,Key.space,1735660032946
R,Key.space,1735660033001
P,i,1735660033257
R,i,1735660033311
P,Key.space,1735660033472
R,Key.space,1735660033551
P,r,1735660034111
R,r,1735660034156
P,e,1735660034252
R,e,1735660034336
P,a,1735660034492
R,a,1735660034557
P,l,1735660034652
R,l,1735660034692
P,l,1735660034777
R,l,1735660034851
P,y,1735660035011
R,y,1735660035056
P,Key.space,1735660035211
R,Key.space,1735660035271
P,e,1735660035356
R,e,1735660035461
P,n,1735660035511
R,n,1735660035562
P,j,1735660035706
R,j,1735660035756
P,o,1735660035926
R,o,1735660035992
P,y,1735660036158
R,y,1735660036196
P,Key.space,1735660036341
R,Key.space,1735660036412
P,t,1735660036531
R,t,1735660036576
P,o,1735660036856
R,o,1735660036911
P,Key.space,1735660037092
R,Key.space,1735660037106
P,s,1735660037217
R,s,1735660037316
P,e,1735660037471
R,e,1735660037506
P,e,1735660037631
R,e,1735660037697
P,Key.space,1735660037772
R,Key.space,1735660037837
P,t,1735660038127
R,t,1735660038171
P,h,1735660038336
R,h,1735660038377
P,i,1735660038551
R,i,1735660038611
P,s,1735660038712
R,s,1735660038817
P,.,1735660039788
R,.,1735660039836
P,Key.space,1735660040056
R,Key.space,1735660040071
P,t,1735660042432
R,t,1735660042491
P,h,1735660042652
R,h,1735660042696
P,i,1735660042856
P,o,1735660042858
R,i,1735660042891
R,o,1735660042896
P,Key.backspace,1735660043396
R,Key.backspace,1735660043437
P,Key.backspace,1735660043546
R,Key.backspace,1735660043616
P,Key.backspace,1735660043697
R,Key.backspace,1735660043757
P,Key.backspace,1735660043816
R,Key.backspace,1735660043866
P,Key.backspace,1735660043976
R,Key.backspace,1735660044011
P,i,1735660045062
R,i,1735660045116
P,Key.space,1735660045326
R,Key.space,1735660045374
P,l,1735660046076
R,l,1735660046131
P,i,1735660046266
R,i,1735660046326
P,e,1735660046462
R,e,1735660046593
P,Key.space,1735660046792
R,Key.space,1735660046861
P,t,1735660047036
R,t,1735660047077
P,h,1735660047217
R,h,1735660047282
P,i,1735660047442
R,i,1735660047491
P,Key.backspace,1735660047912
R,Key.backspace,1735660047972
P,Key.backspace,1735660048071
R,Key.backspace,1735660048131
P,Key.backspace,1735660048217
R,Key.backspace,1735660048287
P,Key.backspace,1735660048342
R,Key.backspace,1735660048412
P,Key.backspace,1735660048477
R,Key.backspace,1735660048521
P,k,1735660049372
R,k,1735660049411
P,e,1735660049502
R,e,1735660049636
P,Key.space,1735660049637
R,Key.space,1735660049666
P,t,1735660049882
R,t,1735660049917
P,h,1735660050076
R,h,1735660050111
P,i,1735660050282
R,i,1735660050331
P,s,1735660050456
R,s,1735660050536
P,Key.space,1735660050576
R,Key.space,1735660050623
P,t,1735660050831
R,t,1735660050877
P,y,1735660051076
R,y,1735660051106
P,p,1735660051451
R,p,1735660051497
P,r,1735660051737
R,r,1735660051836
P,Key.backspace,1735660052211
R,Key.backspace,1735660052256
P,e,1735660052332
R,e,1735660052421
P,Key.space,1735660053111
R,Key.space,1735660053136
P,o,1735660053396
R,o,1735660053437
P,f,1735660053536
R,f,1735660053636
P,Key.space,1735660053666
R,Key.space,1735660053736
P,m,1735660054002
R,m,1735660054057
P,o,1735660054257
R,o,1735660054307
P,v,1735660054597
R,v,1735660054666
P,i,1735660054782
R,i,1735660054832
P,e,1735660054951
R,e,1735660055066
P,Key.space,1735660055106
R,Key.space,1735660055154
P,a,1735660055572
R,a,1735660055647
P,n,1735660055692
R,n,1735660055736
P,d,1735660055851
R,d,1735660055951
P,Key.space,1735660055986
R,Key.space,1735660056051
P,i,1735660056331
R,i,1735660056372
P,Key.space,1735660056532
R,Key.space,1735660056597
P,r,1735660056812
R,r,1735660056852
P,e,1735660056951
R,e,1735660057011
P,a,1735660057187
R,a,1735660057272
P,l,1735660057331
R,l,1735660057402
P,l,1735660057467
R,l,1735660057551
P,y,1735660057712
R,y,1735660057772
P,Key.space,1735660057941
R,Key.space,1735660058031
P,e,1735660058192
R,e,1735660058312
P,n,1735660058371
R,n,1735660058431
P,j,1735660058572
R,j,1735660058612
P,o,1735660058772
R,o,1735660058836
P,y,1735660058991
R,y,1735660059036
P,Key.space,1735660059187
R,Key.space,1735660059248
P,f,1735660059391
R,f,1735660059526
P,o,1735660059532
R,o,1735660059586
P,r,1735660059711
R,r,1735660059812
P,Key.space,1735660059851
R,Key.space,1735660059931
P,t,1735660060111
R,t,1735660060171
P,h,1735660061456
R,h,1735660061511
P,a,1735660061592
R,a,1735660061682
P,t,1735660061706
R,t,1735660061771
P,Key.space,1735660061941
R,Key.space,1735660062011
P,m,1735660062597
R,m,1735660062657
P,o,1735660062896
R,o,1735660062942
P,v,1735660063116
R,v,1735660063211
P,i,1735660063271
R,i,1735660063331
P,e,1735660063447
R,e,1735660063526
P,Key.space,1735660063651
R,Key.space,1735660063702
P,.,1735660064906
R,.,1735660064967
